# timestamp tx ty tz qx qy qz qw
1755487229.758132 0.000205 0.003722 -0.007410 0.001105 0.001011 -0.001481 0.999998
1755487229.837433 0.003477 -0.045418 -0.014606 0.000367 0.005447 -0.006879 0.999961
1755487229.856529 0.048557 -0.055390 -0.028641 -0.001431 0.009001 -0.010918 0.999899
1755487229.937488 0.118136 -0.055710 -0.020439 0.003214 0.012428 -0.005433 0.999903
1755487229.958148 0.133780 -0.056938 -0.022379 0.003934 0.014266 -0.004685 0.999880
1755487230.037412 0.210883 -0.068111 -0.025482 0.006950 0.017358 0.002377 0.999822
1755487230.057938 0.233963 -0.065122 -0.022680 0.008246 0.018244 0.004454 0.999790
1755487230.137794 0.306017 -0.080293 -0.028087 0.009741 0.017396 0.012850 0.999719
1755487230.157907 0.318706 -0.081485 -0.027092 0.009194 0.016149 0.016317 0.999694
1755487230.236716 0.383487 -0.091612 -0.022912 0.008049 0.011891 0.022692 0.999639
1755487230.257499 0.401348 -0.090870 -0.016774 0.006791 0.008987 0.027512 0.999558
1755487230.336318 0.458224 -0.093832 -0.002130 0.002254 0.007145 0.031588 0.999473
1755487230.355522 0.473466 -0.084952 0.001920 -0.000140 0.005685 0.034234 0.999398
1755487230.436752 0.534469 -0.080583 0.001656 -0.002791 0.004114 0.044563 0.998994
1755487230.456447 0.548133 -0.076963 0.001158 -0.004079 0.004242 0.047182 0.998869
1755487230.537218 0.608677 -0.075118 0.004128 -0.005412 0.007164 0.052560 0.998577
1755487230.556366 0.624080 -0.073183 0.003141 -0.005901 0.008222 0.054299 0.998473
1755487230.636504 0.692632 -0.075603 -0.001306 -0.006645 0.010533 0.055010 0.998408
1755487230.656112 0.696059 -0.077575 -0.003573 -0.006796 0.010699 0.054890 0.998412
1755487230.734679 0.761193 -0.079426 -0.014758 -0.007390 0.012956 0.051912 0.998540
1755487230.754662 0.769425 -0.078643 -0.016092 -0.008023 0.013608 0.051716 0.998537
1755487230.835678 0.836027 -0.079468 -0.033068 -0.008546 0.013312 0.046032 0.998815
1755487230.855551 0.852636 -0.079490 -0.036409 -0.009103 0.013812 0.045745 0.998816
1755487230.937165 0.919444 -0.081893 -0.039829 -0.007755 0.007165 0.044252 0.998965
1755487230.956516 0.936981 -0.083886 -0.039734 -0.007509 0.006544 0.045148 0.998931
1755487231.036366 1.001969 -0.091049 -0.029782 -0.004705 -0.000274 0.039958 0.999190
1755487231.056032 1.016542 -0.093394 -0.028414 -0.004660 -0.000008 0.037607 0.999282
1755487231.156368 1.097959 -0.102949 -0.032506 0.000383 -0.001576 0.026625 0.999644
1755487231.238187 1.165026 -0.111834 -0.034320 0.001769 -0.000278 0.020124 0.999796
1755487231.256700 1.173537 -0.113776 -0.033773 0.002129 0.001049 0.019521 0.999807
1755487231.336900 1.241483 -0.119606 -0.029063 0.003447 0.004793 0.018340 0.999814
1755487231.356097 1.257940 -0.121815 -0.030296 0.003786 0.006787 0.017452 0.999817
1755487231.437324 1.327322 -0.127663 -0.031700 0.006135 0.009703 0.021903 0.999694
1755487231.457976 1.345170 -0.130457 -0.033630 0.006868 0.012172 0.022347 0.999653
1755487231.536484 1.415237 -0.136803 -0.035354 0.009635 0.014185 0.027331 0.999479
1755487231.556293 1.432795 -0.138928 -0.035817 0.010069 0.015465 0.026936 0.999467
1755487231.637584 1.503980 -0.142936 -0.031804 0.012783 0.013860 0.033147 0.999273
1755487231.657896 1.521405 -0.144024 -0.029959 0.013196 0.014110 0.032991 0.999269
1755487231.735971 1.586375 -0.140411 -0.016339 0.011522 0.009802 0.034525 0.999289
1755487231.756079 1.602608 -0.139096 -0.011659 0.010348 0.009794 0.034899 0.999289
1755487231.837418 1.665044 -0.130079 -0.000131 0.006273 0.009082 0.038104 0.999213
1755487231.856544 1.679606 -0.127813 0.001600 0.005096 0.009115 0.040208 0.999137
1755487231.936315 1.740227 -0.115509 0.006892 0.000259 0.012248 0.041741 0.999053
1755487231.956177 1.755995 -0.112687 0.008199 -0.001200 0.013447 0.042313 0.999013
1755487232.037493 1.819447 -0.102949 0.007602 -0.003907 0.017415 0.042623 0.998932
1755487232.056939 1.835108 -0.101261 0.006944 -0.004577 0.018401 0.043733 0.998863
1755487232.136281 1.898061 -0.093984 0.000112 -0.006392 0.021463 0.041406 0.998891
1755487232.155981 1.913762 -0.092057 -0.001688 -0.007349 0.021998 0.041448 0.998871
1755487232.236877 1.976521 -0.081220 -0.011200 -0.010218 0.022245 0.036851 0.999021
1755487232.256368 1.991472 -0.078516 -0.012972 -0.011226 0.022190 0.036988 0.999006
1755487232.336576 2.049465 -0.065182 -0.016960 -0.013578 0.017285 0.034231 0.999172
1755487232.356401 2.063580 -0.062458 -0.015470 -0.014554 0.016049 0.035785 0.999125
1755487232.436979 2.118831 -0.053772 -0.004097 -0.013147 0.009741 0.037370 0.999168
1755487232.456936 2.131475 -0.052453 -0.001414 -0.012905 0.008794 0.037090 0.999190
1755487232.536942 2.179688 -0.047759 0.003928 -0.012897 0.003849 0.027409 0.999534
1755487232.556630 2.191709 -0.047197 0.004314 -0.013320 0.003601 0.025537 0.999579
1755487232.637280 2.244722 -0.048858 0.008675 -0.011464 0.004033 0.016947 0.999783
1755487232.656410 2.257809 -0.050222 0.009195 -0.011133 0.005117 0.015493 0.999805
1755487232.737890 2.316469 -0.056995 0.009102 -0.008350 0.008514 0.010953 0.999869
1755487232.757024 2.330284 -0.059440 0.008233 -0.007993 0.009895 0.011173 0.999857
1755487232.837533 2.390186 -0.071488 0.002776 -0.004649 0.013529 0.011628 0.999830
1755487232.857517 2.404896 -0.075539 0.001065 -0.003963 0.014554 0.013614 0.999794
1755487232.937284 2.459931 -0.092601 -0.005471 -0.000343 0.015862 0.018606 0.999701
1755487232.956321 2.473389 -0.097427 -0.006736 -0.000016 0.015957 0.020147 0.999670
1755487233.037731 2.530233 -0.116767 -0.008682 0.001439 0.013014 0.023117 0.999647
1755487233.056906 2.543290 -0.121682 -0.008155 0.001280 0.012298 0.023318 0.999652
