# timestamp tx ty tz qx qy qz qw
1755487229.758132 0.000204 0.003723 -0.007398 0.001105 0.001011 -0.001481 0.999998
1755487229.837433 0.003429 -0.045607 -0.015024 0.000439 0.005491 -0.006974 0.999961
1755487229.856529 0.048487 -0.055570 -0.029125 -0.001358 0.009050 -0.010976 0.999898
1755487229.937488 0.117701 -0.055932 -0.020698 0.003290 0.012469 -0.005542 0.999901
1755487229.958148 0.136041 -0.055067 -0.020403 0.003718 0.014364 -0.005121 0.999877
1755487230.037412 0.264897 -0.075394 0.011506 0.007665 0.017556 0.002905 0.999812
1755487230.057938 0.277871 -0.063678 0.007775 0.009334 0.016321 0.004030 0.999815
1755487230.137794 0.349303 -0.083629 -0.002008 0.008955 0.017676 0.013167 0.999717
1755487230.157907 0.370278 -0.081297 -0.001247 0.009545 0.014899 0.016040 0.999715
1755487230.236716 0.436283 -0.097949 -0.001876 0.007097 0.012168 0.022953 0.999637
1755487230.257499 0.452095 -0.098972 -0.002111 0.006982 0.008397 0.027498 0.999562
1755487230.336318 0.508601 -0.107535 0.003538 0.002043 0.007428 0.032343 0.999447
1755487230.355522 0.521518 -0.106537 0.002759 0.001100 0.006133 0.034431 0.999388
1755487230.436752 0.577301 -0.104162 0.000116 -0.002733 0.004149 0.045755 0.998940
1755487230.456447 0.590958 -0.103133 0.000159 -0.003509 0.004795 0.048772 0.998792
1755487230.537218 0.644664 -0.102410 0.001230 -0.004970 0.007301 0.054345 0.998483
1755487230.556366 0.655113 -0.102971 -0.000694 -0.005287 0.008845 0.056334 0.998359
1755487230.636504 0.710802 -0.106387 -0.008273 -0.006206 0.010644 0.056495 0.998327
1755487230.656112 0.712700 -0.108706 -0.008050 -0.006465 0.010827 0.056603 0.998317
1755487230.734679 0.771163 -0.108398 -0.015951 -0.007305 0.013102 0.053495 0.998455
1755487230.754662 0.775291 -0.109763 -0.018416 -0.007734 0.013959 0.053333 0.998449
1755487230.835678 0.835607 -0.105436 -0.026960 -0.008934 0.013621 0.047275 0.998749
1755487230.855551 0.845995 -0.104612 -0.029997 -0.009277 0.013943 0.046701 0.998769
1755487230.937165 0.906313 -0.099524 -0.029862 -0.008190 0.007553 0.045077 0.998921
1755487230.956516 0.919098 -0.098987 -0.028359 -0.008187 0.006699 0.045581 0.998905
1755487231.036366 0.977104 -0.094354 -0.013992 -0.005788 0.000382 0.040098 0.999179
1755487231.056032 0.989276 -0.093716 -0.012231 -0.005765 -0.000067 0.037709 0.999272
1755487231.156368 1.057143 -0.087554 -0.006265 -0.006371 -0.002137 0.026179 0.999635
1755487231.238187 1.121940 -0.089976 -0.003943 -0.001369 -0.000228 0.018934 0.999820
1755487231.256700 1.131137 -0.091582 -0.003709 -0.000980 0.000928 0.019044 0.999818
1755487231.336900 1.196862 -0.091487 0.000530 0.001626 0.005336 0.017107 0.999838
1755487231.356097 1.208274 -0.091995 -0.001513 0.001806 0.006775 0.017572 0.999821
1755487231.437324 1.275906 -0.097785 -0.006826 0.004570 0.010227 0.020600 0.999725
1755487231.457976 1.292815 -0.100884 -0.008690 0.005260 0.011480 0.022781 0.999661
1755487231.536484 1.364245 -0.109569 -0.013446 0.008321 0.014842 0.026036 0.999516
1755487231.556293 1.378797 -0.110871 -0.015251 0.008955 0.015182 0.026833 0.999485
