# timestamp tx ty tz qx qy qz qw
1755487229.758132 0.000204 0.003723 -0.007398 0.001105 0.001011 -0.001481 0.999998
1755487229.837433 0.003425 -0.045692 -0.015002 0.000426 0.005492 -0.006968 0.999961
1755487229.856529 0.048506 -0.055727 -0.030122 -0.001235 0.009057 -0.010848 0.999899
1755487229.937488 0.117839 -0.055989 -0.021012 0.003374 0.012422 -0.005450 0.999902
1755487229.958148 0.135697 -0.054904 -0.020768 0.003859 0.014314 -0.005022 0.999877
1755487230.037412 0.264250 -0.076824 0.008625 0.007602 0.017383 0.002972 0.999816
1755487230.057938 0.280333 -0.067371 0.002683 0.009248 0.016578 0.004842 0.999808
1755487230.137794 0.361975 -0.084259 0.004921 0.008841 0.015870 0.013156 0.999748
1755487230.157907 0.380220 -0.079857 0.004754 0.009647 0.013735 0.016283 0.999727
1755487230.236716 0.449437 -0.090163 0.016817 0.007544 0.008364 0.022409 0.999685
1755487230.257499 0.464861 -0.091802 0.018449 0.006968 0.005998 0.028087 0.999563
1755487230.336318 0.529978 -0.097242 0.043952 0.001037 0.003018 0.031685 0.999493
1755487230.355522 0.546834 -0.096135 0.044959 0.000008 0.002030 0.033695 0.999430
1755487230.436752 0.600455 -0.094722 0.051000 -0.003798 -0.000060 0.044561 0.998999
1755487230.456447 0.611934 -0.094071 0.049325 -0.004152 0.000901 0.048172 0.998830
1755487230.537218 0.665016 -0.092156 0.048472 -0.006885 0.004531 0.053167 0.998552
1755487230.556366 0.677432 -0.092637 0.047306 -0.006981 0.005415 0.055448 0.998422
1755487230.636504 0.731088 -0.093976 0.036176 -0.008130 0.008276 0.055294 0.998403
1755487230.656112 0.734396 -0.095524 0.036204 -0.008024 0.008489 0.055477 0.998392
1755487230.734679 0.788276 -0.098010 0.021261 -0.008969 0.011184 0.052398 0.998523
1755487230.754662 0.795516 -0.098913 0.019403 -0.009063 0.011719 0.052646 0.998503
1755487230.835678 0.854131 -0.097518 -0.002190 -0.009912 0.011798 0.046410 0.998804
1755487230.855551 0.869429 -0.097799 -0.006039 -0.010351 0.012142 0.046864 0.998774
1755487230.937165 0.931150 -0.095808 -0.020163 -0.008538 0.005952 0.044653 0.998948
1755487230.956516 0.946751 -0.096721 -0.019911 -0.008740 0.005544 0.045829 0.998896
1755487231.036366 1.002049 -0.094749 -0.018756 -0.005413 -0.001021 0.039699 0.999196
1755487231.056032 1.014937 -0.095257 -0.019643 -0.005781 -0.000748 0.037725 0.999271
1755487231.156368 1.081591 -0.093158 -0.030939 -0.006479 -0.000877 0.025122 0.999663
1755487231.238187 1.136938 -0.096709 -0.037615 -0.000955 0.001595 0.018513 0.999827
1755487231.256700 1.143967 -0.096338 -0.039088 -0.000133 0.002589 0.018986 0.999816
1755487231.336900 1.200269 -0.095474 -0.049666 0.002524 0.007542 0.016539 0.999832
1755487231.356097 1.215348 -0.094743 -0.053973 0.003288 0.009044 0.017409 0.999802
1755487231.437324 1.273953 -0.097882 -0.073613 0.005943 0.013241 0.019800 0.999699
1755487231.457976 1.289216 -0.099436 -0.079665 0.006212 0.015634 0.022264 0.999611
1755487231.536484 1.349697 -0.101978 -0.099919 0.010134 0.018664 0.024917 0.999464
1755487231.556293 1.364755 -0.104020 -0.105203 0.010418 0.020129 0.026172 0.999400
1755487231.637584 1.432928 -0.115014 -0.113015 0.013582 0.018533 0.031224 0.999248
1755487231.657896 1.447983 -0.116682 -0.115458 0.013928 0.019474 0.033024 0.999168
1755487231.735971 1.510583 -0.118767 -0.112009 0.013208 0.014519 0.032850 0.999268
1755487231.756079 1.527828 -0.117820 -0.112981 0.012239 0.015300 0.034042 0.999228
1755487231.837418 1.590689 -0.117662 -0.106444 0.007553 0.014527 0.036693 0.999192
1755487231.856544 1.606890 -0.115654 -0.106641 0.006726 0.015044 0.039885 0.999068
1755487231.936315 1.670179 -0.110815 -0.105650 0.002136 0.017216 0.040675 0.999022
1755487231.956177 1.686092 -0.108494 -0.106852 0.001009 0.019643 0.042526 0.998902
1755487232.037493 1.753846 -0.106316 -0.109821 -0.002186 0.023250 0.041719 0.998856
1755487232.056939 1.769221 -0.104162 -0.113420 -0.002288 0.025182 0.043450 0.998736
1755487232.136281 1.837811 -0.100396 -0.121116 -0.004509 0.027118 0.040711 0.998793
1755487232.155981 1.852270 -0.097747 -0.126960 -0.004918 0.028678 0.040964 0.998737
1755487232.236877 1.922134 -0.087373 -0.136002 -0.008459 0.028371 0.036252 0.998904
1755487232.256368 1.939579 -0.083892 -0.138416 -0.009237 0.028961 0.036597 0.998868
1755487232.336576 2.007138 -0.070791 -0.142304 -0.011625 0.023404 0.033565 0.999095
1755487232.356401 2.024187 -0.067303 -0.141117 -0.012481 0.022717 0.035292 0.999041
1755487232.436979 2.091809 -0.060348 -0.124347 -0.011393 0.015432 0.036718 0.999142
1755487232.456936 2.107182 -0.058877 -0.120681 -0.010929 0.015051 0.036924 0.999145
1755487232.536942 2.168533 -0.053529 -0.111466 -0.010917 0.009251 0.027007 0.999533
1755487232.556630 2.180766 -0.053807 -0.109556 -0.011467 0.009410 0.025179 0.999573
1755487232.637280 2.244940 -0.055967 -0.098358 -0.009991 0.009498 0.016492 0.999769
1755487232.656410 2.258777 -0.057151 -0.095800 -0.009514 0.010593 0.015442 0.999779
1755487232.737890 2.327079 -0.065207 -0.093876 -0.006894 0.013998 0.010553 0.999823
1755487232.757024 2.341834 -0.067716 -0.094279 -0.006508 0.015408 0.011040 0.999799
1755487232.837533 2.409007 -0.081073 -0.091097 -0.003938 0.018974 0.011294 0.999748
1755487232.857517 2.426069 -0.085675 -0.091506 -0.003146 0.019631 0.013381 0.999713
1755487232.937284 2.496622 -0.105138 -0.095355 0.000641 0.021365 0.018349 0.999603
1755487232.956321 2.514166 -0.109932 -0.096044 0.001045 0.021042 0.019915 0.999580
1755487233.037731 2.577524 -0.131791 -0.090725 0.001837 0.018375 0.022706 0.999572
1755487233.056906 2.598063 -0.136899 -0.088830 0.001652 0.016869 0.022814 0.999596
1755487233.137218 2.659050 -0.156306 -0.079365 0.000868 0.011216 0.022994 0.999672
1755487233.156666 2.677061 -0.160096 -0.075036 -0.000093 0.009665 0.023784 0.999670
1755487233.235789 2.735711 -0.173166 -0.061947 -0.002894 0.006703 0.020601 0.999761
1755487233.255970 2.752209 -0.175575 -0.058947 -0.003030 0.005489 0.021757 0.999744
1755487233.338192 2.811131 -0.184484 -0.044766 -0.004737 0.005376 0.022089 0.999730
1755487233.358382 2.829512 -0.185405 -0.040247 -0.004505 0.005251 0.022772 0.999717
1755487233.437274 2.889080 -0.193711 -0.030572 -0.004996 0.007405 0.018087 0.999797
1755487233.456749 2.907658 -0.194912 -0.028150 -0.004871 0.007809 0.017955 0.999796
1755487233.539590 2.974999 -0.201030 -0.027894 -0.004444 0.011818 0.010362 0.999867
1755487233.557840 2.990862 -0.201867 -0.027364 -0.004563 0.012676 0.009073 0.999868
1755487233.637963 3.058686 -0.204508 -0.028891 -0.004779 0.016269 -0.001431 0.999855
1755487233.656961 3.076898 -0.204228 -0.027675 -0.005337 0.016831 -0.003214 0.999839
1755487233.736609 3.143785 -0.204905 -0.023910 -0.006005 0.015952 -0.014538 0.999749
1755487233.755843 3.165686 -0.204102 -0.019708 -0.005856 0.014959 -0.015070 0.999757
1755487233.837733 3.232708 -0.203202 0.000478 -0.005072 0.010419 -0.020761 0.999717
1755487233.856884 3.247533 -0.202379 0.005397 -0.005219 0.010186 -0.022418 0.999683
1755487233.937366 3.306152 -0.201321 0.027318 -0.004259 0.007055 -0.032420 0.999440
1755487233.956972 3.319697 -0.201634 0.031041 -0.003978 0.007764 -0.034031 0.999383
1755487234.037733 3.378436 -0.206810 0.052857 -0.001180 0.009460 -0.040111 0.999150
1755487234.057633 3.395240 -0.208535 0.057243 -0.000629 0.011327 -0.040548 0.999113
1755487234.137820 3.455065 -0.215873 0.067434 0.000804 0.015889 -0.044094 0.998901
1755487234.157830 3.472492 -0.217720 0.069315 0.001487 0.017406 -0.043833 0.998886
1755487234.238272 3.536721 -0.232026 0.074086 0.003671 0.022577 -0.044240 0.998759
1755487234.257073 3.551945 -0.235827 0.074126 0.005205 0.023021 -0.042824 0.998804
1755487234.337023 3.613278 -0.259094 0.074510 0.008391 0.025508 -0.042209 0.998748
1755487234.356085 3.629212 -0.264581 0.074135 0.009685 0.024601 -0.042062 0.998765
1755487234.436883 3.687822 -0.288775 0.069698 0.013218 0.021480 -0.039550 0.998899
1755487234.456721 3.704692 -0.294327 0.071160 0.014173 0.019045 -0.039001 0.998957
1755487234.538053 3.760412 -0.312203 0.080179 0.013310 0.012354 -0.039816 0.999042
1755487234.558256 3.774996 -0.315110 0.083563 0.012661 0.010514 -0.039765 0.999074
1755487234.637426 3.827041 -0.320727 0.091314 0.007174 0.007594 -0.040567 0.999122
1755487234.657217 3.840364 -0.321570 0.092081 0.006202 0.006091 -0.039095 0.999198
1755487234.738110 3.898637 -0.323348 0.092686 0.001017 0.007735 -0.039793 0.999177
1755487234.757679 3.913939 -0.323820 0.094062 0.000149 0.008384 -0.039547 0.999183
1755487234.837769 3.976908 -0.327199 0.093246 -0.002534 0.011801 -0.038633 0.999181
1755487234.857647 3.991524 -0.328033 0.092374 -0.002656 0.012497 -0.037760 0.999205
1755487234.936836 4.053658 -0.332038 0.082162 -0.004243 0.013789 -0.039561 0.999113
1755487234.957303 4.068705 -0.333381 0.078880 -0.004894 0.014488 -0.039663 0.999096
1755487235.038900 4.132402 -0.334691 0.064692 -0.006437 0.013417 -0.041603 0.999023
1755487235.058529 4.148388 -0.335776 0.061659 -0.006793 0.013988 -0.040915 0.999042
1755487235.139332 4.213241 -0.336157 0.054651 -0.006838 0.007808 -0.038849 0.999191
1755487235.157519 4.227520 -0.336388 0.054278 -0.007075 0.006417 -0.036626 0.999283
1755487235.238426 4.287138 -0.336882 0.060526 -0.005461 -0.004715 -0.030768 0.999501
1755487235.258119 4.295144 -0.337474 0.062577 -0.005264 -0.004723 -0.030707 0.999503
1755487235.337953 4.354204 -0.339866 0.071581 -0.003787 -0.011318 -0.037139 0.999239
1755487235.357282 4.368592 -0.342071 0.073316 -0.003730 -0.010629 -0.037749 0.999224
1755487235.437979 4.438314 -0.353065 0.081622 -0.000122 -0.009532 -0.042477 0.999052
1755487235.457678 4.452599 -0.357002 0.084028 0.000332 -0.007055 -0.043002 0.999050
1755487235.537418 4.526526 -0.370635 0.084681 0.003234 -0.002838 -0.044157 0.999015
1755487235.557297 4.543496 -0.374630 0.084060 0.003373 -0.000406 -0.043445 0.999050
1755487235.638728 4.621486 -0.391001 0.076645 0.005795 0.005160 -0.042431 0.999069
1755487235.658350 4.628775 -0.393549 0.075898 0.005928 0.006543 -0.041767 0.999088
1755487235.738975 4.707035 -0.412709 0.068560 0.008652 0.010827 -0.034354 0.999314
1755487235.758191 4.726523 -0.418292 0.067977 0.008964 0.012303 -0.032288 0.999363
1755487235.838500 4.803206 -0.437945 0.063920 0.009386 0.011714 -0.028376 0.999485
1755487235.857799 4.821255 -0.442179 0.065032 0.008680 0.012020 -0.029566 0.999453
1755487235.939471 4.892881 -0.454020 0.074490 0.003772 0.008748 -0.035844 0.999312
1755487235.958695 4.911243 -0.457167 0.078957 0.002476 0.009071 -0.034567 0.999358
1755487236.037956 4.977298 -0.466049 0.089978 -0.000453 0.008244 -0.030507 0.999500
1755487236.057255 4.985601 -0.468329 0.091174 -0.000848 0.008791 -0.029572 0.999524
1755487236.139617 5.054104 -0.476251 0.099382 -0.003147 0.010517 -0.024786 0.999633
1755487236.159895 5.072012 -0.478050 0.100182 -0.003410 0.012090 -0.023185 0.999652
1755487236.238105 5.140308 -0.484868 0.103954 -0.003094 0.016402 -0.020038 0.999660
1755487236.257046 5.158392 -0.485373 0.103714 -0.002813 0.018325 -0.019189 0.999644
1755487236.338870 5.231373 -0.491215 0.101720 -0.002789 0.022768 -0.020489 0.999527
1755487236.358377 5.248645 -0.493065 0.101416 -0.002733 0.024116 -0.020986 0.999485
1755487236.439326 5.317063 -0.494940 0.095134 -0.002551 0.025863 -0.025933 0.999326
1755487236.458554 5.326617 -0.494934 0.094331 -0.002591 0.026264 -0.026544 0.999299
1755487236.539373 5.391890 -0.490985 0.088801 -0.003103 0.023602 -0.032354 0.999193
1755487236.558392 5.406113 -0.490944 0.089831 -0.003069 0.022284 -0.032455 0.999220
1755487236.638926 5.464618 -0.486675 0.093867 0.000307 0.015548 -0.026898 0.999517
1755487236.658388 5.469803 -0.487266 0.095841 0.000910 0.015004 -0.026351 0.999540
1755487236.738899 5.523104 -0.483673 0.102668 0.003333 0.008010 -0.029966 0.999513
1755487236.758799 5.536376 -0.484664 0.106208 0.003086 0.007101 -0.031243 0.999482
1755487236.838808 5.587578 -0.481916 0.111142 0.004007 0.004696 -0.037543 0.999276
1755487236.858204 5.602223 -0.483368 0.113544 0.004238 0.005354 -0.038986 0.999216
1755487236.938464 5.656976 -0.484528 0.114012 0.005168 0.007314 -0.045699 0.998915
1755487236.959269 5.672890 -0.485833 0.114593 0.005101 0.008416 -0.046904 0.998851
1755487237.038349 5.726713 -0.488676 0.109757 0.004761 0.011308 -0.052253 0.998558
1755487237.057576 5.741372 -0.490176 0.108675 0.004890 0.012310 -0.052462 0.998535
1755487237.139015 5.798224 -0.499478 0.101001 0.006010 0.013511 -0.052694 0.998501
1755487237.158967 5.815057 -0.504242 0.101979 0.006252 0.013621 -0.051641 0.998553
1755487237.239792 5.872237 -0.519253 0.095217 0.008373 0.012041 -0.048761 0.998703
1755487237.259680 5.880594 -0.521460 0.094325 0.008693 0.011638 -0.047754 0.998753
1755487237.337903 5.936378 -0.536764 0.092824 0.009412 0.006845 -0.045359 0.998903
1755487237.356923 5.953140 -0.540397 0.095366 0.008865 0.005737 -0.043741 0.998987
1755487237.438578 6.014614 -0.549382 0.108914 0.004857 0.003230 -0.043684 0.999028
1755487237.457610 6.024089 -0.550635 0.111206 0.004412 0.003732 -0.043086 0.999055
1755487237.538577 6.084271 -0.557007 0.117624 0.001690 0.002920 -0.037027 0.999309
1755487237.557730 6.099234 -0.558738 0.119807 0.000945 0.003677 -0.035532 0.999361
1755487237.638375 6.159095 -0.564453 0.125239 -0.000035 0.006130 -0.031894 0.999472
1755487237.657699 6.174031 -0.566448 0.125636 0.000088 0.007439 -0.030746 0.999500
1755487237.738381 6.233873 -0.574565 0.123610 0.000882 0.009833 -0.027993 0.999559
1755487237.757463 6.247668 -0.576548 0.123491 0.000963 0.010856 -0.027413 0.999565
1755487237.838330 6.308147 -0.582126 0.118615 0.001242 0.012132 -0.026313 0.999579
1755487237.859688 6.324045 -0.583542 0.117106 0.001243 0.012919 -0.025656 0.999587
1755487237.937638 6.384376 -0.582774 0.111103 0.000190 0.013079 -0.026748 0.999557
1755487237.956991 6.399442 -0.582019 0.108720 0.000056 0.013157 -0.026789 0.999555
1755487238.038909 6.460413 -0.577263 0.104433 -0.001926 0.007951 -0.028225 0.999568
1755487238.057638 6.474190 -0.576299 0.104342 -0.002017 0.007016 -0.027356 0.999599
1755487238.138327 6.532760 -0.571882 0.109847 -0.001332 0.000367 -0.023734 0.999717
1755487238.158162 6.547540 -0.570914 0.111272 -0.001162 -0.000025 -0.025558 0.999673
1755487238.239371 6.605535 -0.566454 0.118132 -0.003266 -0.001737 -0.034031 0.999414
1755487238.258018 6.620214 -0.566399 0.120122 -0.003472 -0.000886 -0.035404 0.999367
1755487238.338370 6.683974 -0.569355 0.127679 -0.002275 0.002443 -0.040894 0.999158
1755487238.357469 6.700675 -0.571110 0.129404 -0.001813 0.004125 -0.041412 0.999132
1755487238.437916 6.765987 -0.579622 0.129145 -0.000412 0.009436 -0.043689 0.999001
1755487238.457050 6.782887 -0.581185 0.126385 0.000022 0.011049 -0.043752 0.998981
1755487238.536362 6.848854 -0.593188 0.115986 0.002548 0.015822 -0.043419 0.998928
1755487238.555969 6.865421 -0.597278 0.113301 0.003531 0.017318 -0.042132 0.998956
1755487238.639639 6.937027 -0.618616 0.105201 0.008542 0.019312 -0.036701 0.999103
1755487238.658738 6.945289 -0.621523 0.103454 0.009134 0.019501 -0.035495 0.999138
1755487238.737278 7.006307 -0.642906 0.100382 0.013575 0.015068 -0.028251 0.999395
1755487238.756470 7.020494 -0.647656 0.100777 0.013943 0.014613 -0.028597 0.999387
1755487238.837994 7.079896 -0.661259 0.111852 0.012241 0.007326 -0.025882 0.999563
1755487238.857982 7.094765 -0.662872 0.113848 0.011228 0.006749 -0.024597 0.999612
1755487238.938545 7.150519 -0.665079 0.126704 0.007195 0.003300 -0.019197 0.999784
1755487238.957914 7.166067 -0.664001 0.125776 0.005919 0.003532 -0.017567 0.999822
1755487239.038945 7.229182 -0.660910 0.131414 0.000580 0.005474 -0.016439 0.999850
1755487239.058122 7.246977 -0.660136 0.133415 -0.000868 0.007468 -0.015354 0.999854
1755487239.138276 7.318917 -0.659811 0.137354 -0.004423 0.012266 -0.014009 0.999817
1755487239.156672 7.333437 -0.660529 0.137243 -0.005217 0.014121 -0.013599 0.999794
1755487239.239058 7.406971 -0.660320 0.131754 -0.007457 0.018230 -0.014719 0.999698
1755487239.258483 7.416301 -0.661612 0.131286 -0.007867 0.019124 -0.014967 0.999674
1755487239.337127 7.488606 -0.660358 0.126623 -0.009568 0.021387 -0.016424 0.999591
