# timestamp tx ty tz qx qy qz qw
1755487229.853871 0.002962 -0.002192 -0.005069 0.003565 0.005456 -0.004475 0.999969
1755487229.953527 0.096404 -0.011315 -0.007566 0.005637 0.010562 0.000639 0.999928
1755487230.053129 0.231138 -0.027938 -0.012593 0.009093 0.014724 0.009876 0.999801
1755487230.152883 0.342127 -0.047923 -0.019584 0.011564 0.013593 0.021056 0.999619
1755487230.252767 0.427086 -0.063389 -0.018401 0.009929 0.007158 0.032163 0.999408
1755487230.352952 0.497875 -0.067707 -0.004800 0.003941 0.003407 0.039890 0.999190
1755487230.452944 0.561881 -0.065840 0.003358 -0.000914 0.001292 0.053659 0.998558
1755487230.553313 0.630973 -0.064036 0.011884 -0.003203 0.004994 0.061490 0.998090
1755487230.653706 0.700615 -0.062361 0.008382 -0.004877 0.008367 0.061906 0.998035
1755487230.754284 0.771993 -0.059330 -0.002421 -0.005923 0.010693 0.058688 0.998202
1755487230.854756 0.845688 -0.052750 -0.011934 -0.007373 0.010199 0.052255 0.998554
1755487230.954661 0.917564 -0.046317 -0.011576 -0.006306 0.003188 0.051153 0.998666
1755487231.054662 0.986820 -0.041946 0.000395 -0.003529 -0.003549 0.043403 0.999045
1755487231.254188 1.157926 -0.037224 0.008714 0.003514 -0.002225 0.014885 0.999881
1755487231.353625 1.229865 -0.043179 0.011352 0.004166 0.003298 0.022259 0.999738
1755487231.453067 1.303160 -0.051395 0.003190 0.007378 0.008051 0.027864 0.999552
1755487231.552723 1.382445 -0.062187 -0.005450 0.010950 0.012177 0.032479 0.999338
1755487231.652762 1.463473 -0.072539 -0.006424 0.014403 0.011128 0.038675 0.999086
1755487231.752707 1.542453 -0.074229 0.007655 0.012120 0.007095 0.040460 0.999082
1755487231.852906 1.618687 -0.068307 0.018444 0.007021 0.006369 0.045223 0.998932
1755487231.953228 1.696814 -0.057174 0.024485 0.000906 0.010589 0.047526 0.998813
1755487232.053659 1.779135 -0.048060 0.024600 -0.002578 0.015599 0.048892 0.998679
1755487232.153866 1.863341 -0.038538 0.018089 -0.005407 0.019191 0.046822 0.998704
1755487232.253563 1.947295 -0.024281 0.009442 -0.009160 0.019518 0.042288 0.998873
1755487232.354154 2.029356 -0.006318 0.008562 -0.012651 0.013337 0.041112 0.998985
1755487232.453992 2.106517 0.005057 0.024083 -0.011114 0.005926 0.042586 0.999013
1755487232.554082 2.176782 0.011435 0.031281 -0.011428 0.000633 0.031319 0.999444
1755487232.654170 2.252418 0.008647 0.037126 -0.009316 0.001930 0.021165 0.999731
1755487232.753846 2.332565 -0.000203 0.036623 -0.006274 0.006687 0.016696 0.999819
1755487232.853332 2.413703 -0.015841 0.029052 -0.002308 0.011439 0.018724 0.999757
1755487232.952883 2.493296 -0.037194 0.021318 0.001740 0.013112 0.025518 0.999587
1755487233.052796 2.569824 -0.060981 0.019139 0.003090 0.009573 0.028934 0.999531
1755487233.152813 2.642358 -0.082048 0.030672 0.001342 0.002464 0.029724 0.999554
1755487233.253040 2.710939 -0.096946 0.043602 -0.001438 -0.001427 0.027177 0.999629
1755487233.353146 2.780600 -0.108494 0.054025 -0.002989 -0.001337 0.028339 0.999593
1755487233.453456 2.856414 -0.119007 0.057408 -0.002930 0.001783 0.023678 0.999714
1755487233.553798 2.937889 -0.127117 0.049703 -0.002661 0.006921 0.015201 0.999857
1755487233.653991 3.023747 -0.129891 0.037887 -0.003398 0.011809 0.002636 0.999921
1755487233.754223 3.107043 -0.128356 0.031813 -0.004029 0.010996 -0.009475 0.999887
1755487233.853849 3.185184 -0.125722 0.042568 -0.003371 0.006762 -0.016740 0.999831
1755487233.953698 3.258046 -0.125872 0.052918 -0.002754 0.005220 -0.028550 0.999575
1755487234.053517 3.335019 -0.134534 0.060601 0.000628 0.009713 -0.035170 0.999334
1755487234.152641 3.416144 -0.145191 0.058009 0.003131 0.016467 -0.038350 0.999124
1755487234.252380 3.501221 -0.163046 0.049339 0.007413 0.022781 -0.037637 0.999004
1755487234.352697 3.583897 -0.188352 0.038808 0.013020 0.024789 -0.036342 0.998947
1755487234.452570 3.660431 -0.215499 0.033689 0.017523 0.019473 -0.033430 0.999098
1755487234.552663 3.734825 -0.234999 0.046483 0.016852 0.010655 -0.033874 0.999227
1755487234.653061 3.808041 -0.242098 0.058882 0.010248 0.005933 -0.033705 0.999362
1755487234.753216 3.885917 -0.244730 0.068603 0.003879 0.007668 -0.033734 0.999394
1755487234.853362 3.967808 -0.249020 0.076694 0.000478 0.011621 -0.032208 0.999414
1755487234.953661 4.047547 -0.253736 0.072147 -0.001877 0.013347 -0.033847 0.999336
1755487235.053500 4.127973 -0.255551 0.063498 -0.004127 0.012564 -0.035272 0.999290
1755487235.153811 4.208683 -0.255237 0.061603 -0.004734 0.005271 -0.031243 0.999487
1755487235.253302 4.283359 -0.256224 0.075109 -0.003171 -0.007014 -0.024992 0.999658
1755487235.353610 4.358959 -0.261484 0.087247 -0.001743 -0.012549 -0.031950 0.999409
1755487235.453447 4.443663 -0.275169 0.096043 0.002394 -0.009244 -0.037116 0.999265
