# timestamp tx ty tz qx qy qz qw
1755487229.837433 0.002194 -0.001659 -0.002813 0.002848 0.004427 -0.004319 0.999977
1755487229.856529 0.013198 -0.004197 -0.005443 0.003784 0.005662 -0.004328 0.999967
1755487229.937488 0.099851 -0.009410 -0.001964 0.004906 0.009849 -0.000763 0.999939
1755487229.958148 0.130755 -0.017322 -0.012261 0.004203 0.011547 0.001179 0.999924
1755487230.037412 0.249645 -0.031881 -0.004407 0.007920 0.014830 0.008130 0.999826
1755487230.057938 0.274698 -0.024569 -0.013606 0.009831 0.015653 0.011032 0.999768
1755487230.137794 0.377395 -0.036792 -0.011546 0.011305 0.014665 0.019559 0.999637
1755487230.157907 0.400733 -0.045211 -0.005157 0.011755 0.012632 0.022550 0.999597
1755487230.236716 0.489972 -0.059532 0.008855 0.009351 0.009260 0.029572 0.999476
1755487230.257499 0.513800 -0.061791 0.009876 0.009064 0.005809 0.034333 0.999352
1755487230.336318 0.597568 -0.062894 0.030698 0.003363 0.004110 0.038886 0.999230
1755487230.355522 0.617732 -0.061810 0.033046 0.002147 0.002372 0.041385 0.999138
1755487230.436752 0.698758 -0.055261 0.043548 -0.002325 0.000996 0.051673 0.998661
1755487230.456447 0.718769 -0.055204 0.046288 -0.003054 0.000186 0.055377 0.998461
1755487230.537218 0.804811 -0.054321 0.060839 -0.005466 0.004870 0.059897 0.998178
1755487230.556366 0.823464 -0.050640 0.062994 -0.005973 0.003679 0.062043 0.998049
1755487230.636504 0.911887 -0.047864 0.063238 -0.007376 0.007981 0.061253 0.998063
1755487230.656112 0.916666 -0.047433 0.062421 -0.007267 0.007868 0.061281 0.998063
1755487230.734679 1.004569 -0.043182 0.063119 -0.008998 0.010715 0.057838 0.998228
1755487230.754662 1.015856 -0.041483 0.062087 -0.009002 0.010115 0.058379 0.998203
1755487230.835678 1.106551 -0.037160 0.057675 -0.010951 0.011026 0.051477 0.998553
1755487230.855551 1.128563 -0.034743 0.056192 -0.011129 0.008658 0.052668 0.998513
1755487230.937165 1.220607 -0.028161 0.050270 -0.009727 0.004796 0.049394 0.998720
1755487230.956516 1.241950 -0.027332 0.050520 -0.009354 0.001897 0.051436 0.998631
1755487231.036366 1.329962 -0.027035 0.059391 -0.007246 -0.002526 0.044152 0.998995
1755487231.056032 1.352000 -0.026579 0.060368 -0.007018 -0.004765 0.043881 0.999001
1755487231.156368 1.458225 -0.027545 0.059231 -0.006668 -0.006659 0.031849 0.999448
1755487231.238187 1.549838 -0.035591 0.053995 -0.001691 -0.003329 0.024094 0.999703
1755487231.256700 1.563087 -0.036596 0.053200 -0.001284 -0.002916 0.024718 0.999689
1755487231.336900 1.653958 -0.047528 0.052094 0.001665 0.002446 0.022069 0.999752
1755487231.356097 1.676555 -0.050159 0.049292 0.001862 0.003305 0.023510 0.999716
1755487231.437324 1.772269 -0.063865 0.038141 0.005267 0.007323 0.026168 0.999617
1755487231.457976 1.796471 -0.069287 0.032567 0.005987 0.008663 0.029429 0.999511
1755487231.536484 1.892780 -0.087026 0.019163 0.009374 0.011671 0.031926 0.999378
1755487231.556293 1.917241 -0.092001 0.015594 0.009657 0.012652 0.033113 0.999325
1755487231.637584 2.014338 -0.115517 0.009068 0.013445 0.011216 0.038708 0.999097
1755487231.657896 2.038747 -0.119002 0.008620 0.013928 0.011953 0.039420 0.999054
1755487231.735971 2.132033 -0.129895 0.014143 0.012704 0.006863 0.040764 0.999064
1755487231.756079 2.157059 -0.130843 0.016117 0.011442 0.007557 0.041100 0.999061
1755487231.837418 2.251708 -0.135831 0.020155 0.008061 0.005973 0.044998 0.998937
1755487231.856544 2.273986 -0.136290 0.019906 0.007189 0.007424 0.046067 0.998885
1755487231.936315 2.367608 -0.135884 0.023666 0.002367 0.008989 0.049180 0.998747
1755487231.956177 2.388697 -0.134572 0.025115 0.000996 0.012030 0.047573 0.998795
1755487232.037493 2.484569 -0.130599 0.026194 -0.001696 0.014204 0.050320 0.998631
1755487232.056939 2.507914 -0.130670 0.025369 -0.001841 0.016813 0.049443 0.998634
1755487232.136281 2.602607 -0.122640 0.025570 -0.004364 0.018272 0.049164 0.998614
1755487232.155981 2.626536 -0.120419 0.024566 -0.004993 0.019785 0.047569 0.998659
1755487232.236877 2.723224 -0.104868 0.024291 -0.008514 0.019230 0.044332 0.998795
1755487232.256368 2.745374 -0.100742 0.024191 -0.009302 0.019832 0.042936 0.998838
1755487232.336576 2.836944 -0.081937 0.030050 -0.012342 0.014379 0.041310 0.998967
1755487232.356401 2.858639 -0.077810 0.033304 -0.013059 0.013194 0.042015 0.998944
1755487232.436979 2.947831 -0.063283 0.052680 -0.012289 0.006887 0.044128 0.998927
1755487232.456936 2.968319 -0.060565 0.057731 -0.011705 0.005611 0.043479 0.998970
1755487232.536942 3.049247 -0.050466 0.068409 -0.012334 0.001027 0.033764 0.999353
1755487232.556630 3.069593 -0.048986 0.070470 -0.012495 0.000175 0.032016 0.999409
1755487232.637280 3.155364 -0.046562 0.078210 -0.011096 0.001261 0.023032 0.999672
1755487232.656410 3.176298 -0.047310 0.079702 -0.010462 0.001549 0.022175 0.999698
1755487232.737890 3.267545 -0.052399 0.081123 -0.008122 0.005687 0.016985 0.999807
1755487232.757024 3.288914 -0.054538 0.080799 -0.007537 0.006386 0.017803 0.999793
1755487232.837533 3.377554 -0.067172 0.074414 -0.004467 0.010639 0.017529 0.999780
1755487232.857517 3.399398 -0.071511 0.073153 -0.003452 0.011086 0.020429 0.999724
1755487232.937284 3.486130 -0.090380 0.064990 -0.000029 0.012983 0.024474 0.999616
1755487232.956321 3.506626 -0.095288 0.064002 0.000430 0.012629 0.026573 0.999567
1755487233.037731 3.590823 -0.117761 0.059578 0.001796 0.009988 0.029136 0.999524
1755487233.056906 3.610163 -0.123646 0.060091 0.001909 0.009124 0.030085 0.999504
1755487233.137218 3.689458 -0.144756 0.066602 0.000927 0.002999 0.029321 0.999565
1755487233.156666 3.708543 -0.148908 0.070352 0.000000 0.002015 0.030708 0.999526
1755487233.235789 3.783606 -0.163511 0.079037 -0.002078 -0.001015 0.026696 0.999641
1755487233.255970 3.801262 -0.167364 0.081097 -0.002445 -0.001640 0.028465 0.999590
1755487233.338192 3.878220 -0.180240 0.088390 -0.003684 -0.001939 0.028306 0.999591
1755487233.358382 3.897314 -0.183451 0.090340 -0.004018 -0.001183 0.029212 0.999564
1755487233.437274 3.974557 -0.194521 0.092736 -0.003855 0.000715 0.024496 0.999692
1755487233.456749 3.993912 -0.197801 0.092335 -0.003881 0.001944 0.024352 0.999694
1755487233.539590 4.079537 -0.206975 0.085477 -0.003433 0.005711 0.017031 0.999833
1755487233.557840 4.099126 -0.209231 0.083456 -0.003567 0.007235 0.015492 0.999847
1755487233.637963 4.185570 -0.213272 0.073533 -0.003921 0.010663 0.004874 0.999924
1755487233.656961 4.205928 -0.214101 0.071453 -0.004305 0.012062 0.003085 0.999913
1755487233.736609 4.288598 -0.214467 0.065998 -0.004843 0.011080 -0.008298 0.999892
1755487233.755843 4.307857 -0.214816 0.066386 -0.004916 0.010935 -0.008935 0.999888
1755487233.837733 4.387495 -0.213770 0.075710 -0.004254 0.006532 -0.014638 0.999862
1755487233.856884 4.405411 -0.213810 0.079002 -0.004159 0.006764 -0.016223 0.999837
1755487233.937366 4.477990 -0.214072 0.088857 -0.003914 0.004387 -0.026465 0.999632
1755487233.956972 4.495637 -0.216043 0.091263 -0.003479 0.005239 -0.028157 0.999584
1755487234.037733 4.570601 -0.223300 0.098671 -0.000721 0.008199 -0.033826 0.999394
1755487234.057633 4.589062 -0.225428 0.100047 0.000016 0.009890 -0.034484 0.999356
1755487234.137820 4.666039 -0.234364 0.098993 0.001944 0.014925 -0.037624 0.999179
1755487234.157830 4.685235 -0.237337 0.098039 0.002486 0.016644 -0.037633 0.999150
1755487234.238272 4.763584 -0.251599 0.091507 0.005671 0.021537 -0.037726 0.999040
1755487234.257073 4.780807 -0.256138 0.089914 0.006806 0.022729 -0.036568 0.999049
1755487234.337023 4.854759 -0.276751 0.081643 0.011357 0.024320 -0.035741 0.999001
1755487234.356085 4.871525 -0.282478 0.080217 0.012239 0.024460 -0.035517 0.998995
1755487234.436883 4.939430 -0.304997 0.075427 0.016004 0.020168 -0.033171 0.999118
1755487234.456721 4.955217 -0.310735 0.075785 0.016850 0.018977 -0.032545 0.999148
1755487234.538053 5.020195 -0.327118 0.084824 0.016543 0.011000 -0.033345 0.999246
1755487234.558256 5.035839 -0.329497 0.089207 0.015733 0.010264 -0.033298 0.999269
1755487234.637426 5.096351 -0.334272 0.099218 0.010312 0.006036 -0.034060 0.999348
1755487234.657217 5.111002 -0.335186 0.100633 0.009192 0.005698 -0.032438 0.999415
1755487234.738110 5.174466 -0.336312 0.107526 0.003927 0.006390 -0.033258 0.999419
1755487234.757679 5.190133 -0.337193 0.110309 0.002771 0.007743 -0.032895 0.999425
1755487234.837769 5.255379 -0.339959 0.116682 0.000012 0.010558 -0.032042 0.999431
1755487234.857647 5.270894 -0.341330 0.117232 -0.000467 0.011662 -0.031125 0.999447
1755487234.936836 5.331147 -0.345150 0.113769 -0.002165 0.012615 -0.032983 0.999374
1755487234.957303 5.346149 -0.346070 0.112399 -0.002900 0.013273 -0.033035 0.999362
1755487235.038900 5.407630 -0.346914 0.104458 -0.004791 0.012139 -0.034985 0.999303
1755487235.058529 5.422448 -0.347301 0.103223 -0.005033 0.012459 -0.034226 0.999324
1755487235.139332 5.481994 -0.346688 0.101109 -0.005479 0.006628 -0.032303 0.999441
1755487235.157519 5.494465 -0.346605 0.101946 -0.005658 0.004691 -0.030066 0.999521
1755487235.238426 5.549117 -0.346643 0.112937 -0.004434 -0.005942 -0.024280 0.999678
1755487235.258119 5.555826 -0.347140 0.115151 -0.004132 -0.006619 -0.024201 0.999677
1755487235.337953 5.608927 -0.349664 0.126149 -0.002854 -0.012554 -0.030713 0.999445
1755487235.357282 5.622299 -0.351290 0.128313 -0.002553 -0.012661 -0.031334 0.999425
1755487235.437979 5.683246 -0.360964 0.136883 0.000721 -0.010629 -0.036100 0.999291
1755487235.457678 5.699021 -0.364031 0.138433 0.001651 -0.009016 -0.036427 0.999294
1755487235.537418 5.764317 -0.375242 0.138383 0.004057 -0.003869 -0.037857 0.999267
1755487235.557297 5.780754 -0.378399 0.137149 0.004434 -0.002192 -0.036881 0.999307
1755487235.638728 5.850362 -0.392346 0.128473 0.006588 0.004112 -0.036114 0.999317
1755487235.658350 5.859120 -0.394562 0.127408 0.006869 0.004939 -0.035172 0.999345
1755487235.738975 5.929986 -0.411755 0.118937 0.009456 0.009843 -0.028055 0.999513
1755487235.758191 5.946578 -0.416279 0.117176 0.010088 0.010745 -0.025683 0.999561
1755487235.838500 6.014038 -0.434091 0.111668 0.010340 0.010700 -0.022027 0.999647
1755487235.857799 6.029529 -0.437725 0.111930 0.009968 0.010518 -0.023214 0.999625
1755487235.939471 6.092973 -0.449215 0.121950 0.004711 0.007633 -0.029474 0.999525
1755487235.958695 6.107465 -0.451292 0.125561 0.003602 0.007558 -0.027968 0.999574
1755487236.037956 6.163798 -0.459159 0.136289 0.000588 0.007033 -0.024107 0.999684
1755487236.057255 6.171283 -0.460206 0.137272 0.000336 0.007159 -0.023013 0.999709
1755487236.139617 6.226522 -0.466755 0.143829 -0.002004 0.009191 -0.018346 0.999787
1755487236.159895 6.240396 -0.468475 0.145194 -0.002211 0.010609 -0.016720 0.999801
1755487236.238105 6.295412 -0.474346 0.147989 -0.002031 0.015064 -0.013531 0.999793
1755487236.257046 6.308833 -0.475693 0.147863 -0.001893 0.016852 -0.012572 0.999777
1755487236.338870 6.366189 -0.479562 0.144729 -0.001709 0.021414 -0.013986 0.999671
1755487236.358377 6.379411 -0.480305 0.143191 -0.001526 0.022767 -0.014600 0.999633
1755487236.439326 6.432693 -0.479736 0.136366 -0.001380 0.024561 -0.019500 0.999507
1755487236.458554 6.439027 -0.479594 0.135730 -0.001490 0.024916 -0.020183 0.999485
1755487236.539373 6.487322 -0.472911 0.129981 -0.001887 0.022330 -0.025964 0.999412
1755487236.558392 6.497707 -0.471353 0.129312 -0.001679 0.020945 -0.025924 0.999443
1755487236.638926 6.539984 -0.465262 0.134027 0.001601 0.014323 -0.020607 0.999684
1755487236.658388 6.544808 -0.464918 0.135257 0.002254 0.013680 -0.020038 0.999703
1755487236.738899 6.581356 -0.459184 0.142656 0.004689 0.006807 -0.023645 0.999686
1755487236.758799 6.589896 -0.457986 0.143664 0.004734 0.005977 -0.024780 0.999664
1755487236.838808 6.626677 -0.455084 0.148037 0.005562 0.003597 -0.031232 0.999490
1755487236.858204 6.636185 -0.455206 0.148896 0.005862 0.004280 -0.032619 0.999442
1755487236.938464 6.678051 -0.455977 0.149694 0.006714 0.006176 -0.039395 0.999182
1755487236.959269 6.689318 -0.456557 0.148952 0.006668 0.007451 -0.040506 0.999129
1755487237.038349 6.733696 -0.458932 0.144347 0.006354 0.010202 -0.045931 0.998872
1755487237.057576 6.744506 -0.460323 0.143091 0.006281 0.011265 -0.046057 0.998856
1755487237.139015 6.790529 -0.468150 0.136655 0.007524 0.012460 -0.046403 0.998817
1755487237.158967 6.801406 -0.470966 0.135191 0.007842 0.012733 -0.045158 0.998868
1755487237.239792 6.845459 -0.484025 0.129384 0.009988 0.011002 -0.042572 0.998983
1755487237.259680 6.850792 -0.486171 0.128910 0.010189 0.010722 -0.041477 0.999030
1755487237.337903 6.892712 -0.499684 0.128944 0.010948 0.005730 -0.039157 0.999157
1755487237.356923 6.902939 -0.502036 0.130759 0.010446 0.004705 -0.037283 0.999239
1755487237.438578 6.948683 -0.508088 0.145297 0.006522 0.002124 -0.037491 0.999273
1755487237.457610 6.954629 -0.508901 0.147384 0.005945 0.002683 -0.036657 0.999307
1755487237.538577 6.997602 -0.512159 0.156251 0.003162 0.001791 -0.030918 0.999515
1755487237.557730 7.007773 -0.513002 0.158177 0.002415 0.002471 -0.028979 0.999574
1755487237.638375 7.051642 -0.517844 0.164567 0.001459 0.005006 -0.025615 0.999658
1755487237.657699 7.062017 -0.519445 0.165269 0.001390 0.006187 -0.024197 0.999687
1755487237.738381 7.105447 -0.525801 0.164083 0.002223 0.008764 -0.021718 0.999723
1755487237.757463 7.115738 -0.527159 0.163117 0.002252 0.009601 -0.020911 0.999733
1755487237.838330 7.160405 -0.530546 0.156389 0.002679 0.011038 -0.020054 0.999734
1755487237.859688 7.172461 -0.530886 0.154341 0.002631 0.011739 -0.018943 0.999748
1755487237.937638 7.217257 -0.528283 0.147727 0.001618 0.011950 -0.020531 0.999716
1755487237.956991 7.228169 -0.527110 0.146398 0.001237 0.011907 -0.020253 0.999723
