# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0, 1, 1, 0, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 1, 1, 0, 0, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0, 0, 1, 1, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 1, 1, 0, 0, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0, 0, 1, 1, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 1, 1, 0, 0, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0, 0, 1, 1, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 1, 1, 0, 0, 0.000000000
1755487229.856529474, 0.000037106, 0.000232294, 0.000417537, 0.000059526, 0.001576549, 0.003750019, 0.000037106, 0.000232294, 0.000417537, 0.000059526, 0.001576549, 0.003750019, 0, 0, 1, 1, 0.000000000
1755487229.937488079, 0.000025347, 0.000106430, 0.000319594, 0.000033935, 0.001035506, 0.002543561, 0.000025347, 0.000106430, 0.000319594, 0.000033935, 0.001035506, 0.002543561, 1, 1, 0, 0, 0.000000000
1755487229.958148003, 0.000000808, 0.000003433, 0.000004806, 0.000005860, 0.000014795, 0.000027228, 0.000000808, 0.000003433, 0.000004806, 0.000005860, 0.000014795, 0.000027228, 0, 0, 1, 1, 0.000000000
1755487230.037412167, 0.000000011, 0.000000019, 0.000000024, 0.000000297, 0.000000348, 0.000001296, 0.000000011, 0.000000019, 0.000000024, 0.000000297, 0.000000348, 0.000001296, 1, 1, 0, 0, 0.000000000
1755487230.057938337, 0.000000034, 0.000000055, 0.000000065, 0.000000540, 0.000000564, 0.000001198, 0.000000010, 0.000000024, 0.000000029, 0.000000041, 0.000000107, 0.000000264, 0, 0, 1, 1, 7.000000000
