# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, cam_used[0], cam_used[1], cam_used[2], cam_used[3], level0_avg_total_rows
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0, 1, 1, 0, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 1, 1, 0, 0, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0, 0, 1, 1, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 1, 1, 0, 0, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0, 0, 1, 1, 0.000000000
1755487229.353932381, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 1, 1, 0, 0, 0.000000000
1755487229.758132458, 0.000042922, 0.000155839, 0.000261359, 0.000039941, 0.001152630, 0.002604419, 0.000042922, 0.000155839, 0.000261359, 0.000039941, 0.001152630, 0.002604419, 0, 0, 1, 1, 0.000000000
1755487229.837432861, 0.000021828, 0.000083681, 0.000114358, 0.000027935, 0.000518277, 0.001510323, 0.000021828, 0.000083681, 0.000114358, 0.000027935, 0.000518277, 0.001510323, 1, 1, 0, 0, 0.000000000
1755487229.856529474, 0.000001206, 0.000004583, 0.000007207, 0.000008966, 0.000014456, 0.000038364, 0.000001206, 0.000004583, 0.000007207, 0.000008966, 0.000014456, 0.000038364, 0, 0, 1, 1, 0.000000000
1755487229.937488079, 0.000000010, 0.000000017, 0.000000020, 0.000000269, 0.000000309, 0.000001104, 0.000000010, 0.000000017, 0.000000020, 0.000000269, 0.000000309, 0.000001104, 1, 1, 0, 0, 0.000000000
1755487229.958148003, 0.000000031, 0.000000047, 0.000000055, 0.000000486, 0.000000560, 0.000001102, 0.000000008, 0.000000012, 0.000000021, 0.000000080, 0.000000135, 0.000000249, 0, 0, 1, 1, 12.000000000
1755487230.037412167, 0.000000006, 0.000000008, 0.000000010, 0.000000182, 0.000000222, 0.000000556, 0.000000004, 0.000000005, 0.000000006, 0.000000069, 0.000000095, 0.000000270, 1, 1, 0, 0, 6.000000000
1755487230.057938337, 0.000000023, 0.000000042, 0.000000056, 0.000000098, 0.000000133, 0.000000364, 0.000000008, 0.000000013, 0.000000018, 0.000000056, 0.000000082, 0.000000113, 0, 0, 1, 1, 10.000000000
