# timestamp tx ty tz qx qy qz qw
1755487229.837433 0.001824 -0.001576 -0.002812 0.002821 0.004424 -0.004360 0.999977
1755487229.856529 0.012906 -0.004102 -0.005474 0.003757 0.005656 -0.004370 0.999967
1755487229.937488 0.077849 -0.040583 -0.000529 0.008525 0.011375 -0.004851 0.999887
1755487229.958148 0.094464 -0.043936 -0.001375 0.009453 0.011716 -0.003797 0.999879
1755487230.037412 0.169951 -0.058222 -0.016063 0.009876 0.014503 0.007076 0.999821
1755487230.057938 0.181654 -0.045416 -0.024916 0.013320 0.015335 0.006175 0.999775
1755487230.137794 0.247824 -0.038685 -0.034562 0.012774 0.014538 0.016139 0.999682
1755487230.157907 0.267369 -0.035884 -0.036167 0.013990 0.013906 0.019737 0.999611
1755487230.236716 0.326428 -0.034923 -0.037924 0.012342 0.009000 0.025231 0.999565
1755487230.257499 0.348055 -0.030062 -0.035954 0.011814 0.007224 0.030660 0.999434
1755487230.336318 0.406079 -0.017444 -0.017340 0.006798 0.004254 0.033857 0.999395
1755487230.355522 0.420596 -0.014142 -0.015066 0.005048 0.003750 0.037277 0.999285
1755487230.436752 0.474553 -0.003811 -0.004582 0.001130 0.001340 0.046246 0.998929
1755487230.456447 0.491257 0.000272 -0.001539 0.000074 0.001554 0.049537 0.998771
1755487230.537218 0.548970 0.007886 0.008393 -0.001749 0.004494 0.053656 0.998548
1755487230.556366 0.566060 0.014629 0.008667 -0.001778 0.005036 0.054835 0.998481
1755487230.636504 0.625535 0.018664 0.006140 -0.002753 0.007838 0.054533 0.998477
1755487230.656112 0.630947 0.021769 0.004872 -0.002552 0.007660 0.054099 0.998503
1755487230.734679 0.693249 0.028753 -0.004712 -0.003819 0.010199 0.050331 0.998673
1755487230.754662 0.700509 0.031961 -0.005911 -0.003892 0.010242 0.049949 0.998692
1755487230.835678 0.771432 0.040962 -0.017124 -0.005331 0.010565 0.043855 0.998968
1755487230.855551 0.789015 0.049070 -0.018827 -0.005266 0.009825 0.043079 0.999009
1755487230.937165 0.851753 0.060903 -0.020046 -0.004778 0.004447 0.040355 0.999164
1755487230.956516 0.869004 0.065079 -0.019385 -0.004886 0.002753 0.040814 0.999151
1755487231.036366 0.929361 0.070736 -0.011636 -0.002170 -0.002972 0.034869 0.999385
1755487231.056032 0.945999 0.073665 -0.011422 -0.001613 -0.003923 0.032930 0.999449
1755487231.156368 1.022118 0.085173 -0.010233 -0.001198 -0.005143 0.021313 0.999759
1755487231.238187 1.088223 0.073771 -0.007209 0.003604 -0.003368 0.014883 0.999877
1755487231.256700 1.098122 0.073386 -0.005964 0.003818 -0.002461 0.014766 0.999881
1755487231.336900 1.161156 0.069891 -0.004618 0.005997 0.001910 0.012148 0.999906
1755487231.356097 1.176600 0.070758 -0.007536 0.006368 0.003495 0.012638 0.999894
1755487231.437324 1.240226 0.062153 -0.013783 0.009104 0.006709 0.015540 0.999815
1755487231.457976 1.253913 0.059972 -0.019645 0.010037 0.008581 0.017427 0.999761
1755487231.536484 1.318533 0.047267 -0.025726 0.013103 0.011220 0.021066 0.999629
1755487231.556293 1.334799 0.043697 -0.027552 0.013713 0.012126 0.021431 0.999603
1755487231.637584 1.400679 0.026790 -0.027446 0.016492 0.010842 0.027577 0.999425
1755487231.657896 1.419859 0.023025 -0.026172 0.017019 0.010900 0.028495 0.999390
1755487231.735971 1.480086 0.013616 -0.014335 0.015413 0.006731 0.029485 0.999424
1755487231.756079 1.495851 0.014948 -0.013196 0.015012 0.006881 0.029940 0.999415
1755487231.837418 1.555232 0.012891 0.002428 0.009941 0.006130 0.033412 0.999373
1755487231.856544 1.571032 0.014910 0.001385 0.009160 0.006203 0.035404 0.999312
1755487231.936315 1.629770 0.018203 0.009356 0.004033 0.009326 0.037275 0.999253
1755487231.956177 1.646085 0.020750 0.008296 0.003068 0.010633 0.037507 0.999235
1755487232.037493 1.712249 0.023083 0.014584 -0.000573 0.014601 0.039148 0.999127
1755487232.056939 1.726077 0.024695 0.011625 -0.000389 0.015511 0.039136 0.999113
1755487232.136281 1.790621 0.028548 0.009375 -0.002761 0.018816 0.037935 0.999099
1755487232.155981 1.806315 0.031430 0.006555 -0.003032 0.019002 0.036862 0.999135
1755487232.236877 1.872281 0.038460 0.000650 -0.006445 0.019724 0.033424 0.999226
1755487232.256368 1.889035 0.041200 -0.001198 -0.006851 0.019094 0.032324 0.999272
1755487232.336576 1.951515 0.051011 -0.000316 -0.010200 0.014791 0.030790 0.999364
1755487232.356401 1.967961 0.052911 0.001860 -0.010636 0.012835 0.031429 0.999367
1755487232.436979 2.027755 0.060540 0.017708 -0.010044 0.007281 0.034012 0.999344
1755487232.456936 2.044509 0.061564 0.021301 -0.009291 0.005274 0.032912 0.999401
1755487232.536942 2.096802 0.063529 0.027507 -0.009930 0.001460 0.023939 0.999663
1755487232.556630 2.108059 0.062692 0.028352 -0.009829 0.000282 0.021693 0.999716
1755487232.637280 2.168531 0.054126 0.035202 -0.008707 0.001656 0.014177 0.999860
1755487232.656410 2.181721 0.051203 0.036123 -0.007762 0.001668 0.012649 0.999888
1755487232.737890 2.248459 0.035431 0.036517 -0.005589 0.006151 0.009308 0.999922
1755487232.757024 2.263918 0.029533 0.035886 -0.004897 0.006665 0.010381 0.999912
1755487232.837533 2.332526 0.006451 0.030727 -0.001973 0.011281 0.011250 0.999871
1755487232.857517 2.349262 -0.003025 0.029321 -0.001182 0.011478 0.015322 0.999816
1755487232.937284 2.414682 -0.028907 0.022050 0.002320 0.013670 0.019303 0.999718
1755487232.956321 2.428010 -0.038070 0.020205 0.002903 0.013176 0.022759 0.999650
1755487233.037731 2.490573 -0.063204 0.016645 0.004205 0.010796 0.024753 0.999626
1755487233.056906 2.504139 -0.071938 0.016630 0.004227 0.009570 0.026072 0.999605
1755487233.137218 2.564592 -0.093165 0.022554 0.003306 0.003859 0.025178 0.999670
1755487233.156666 2.573515 -0.100559 0.026158 0.002392 0.002546 0.026130 0.999652
1755487233.235789 2.628199 -0.113753 0.035814 0.000099 -0.000123 0.022467 0.999748
1755487233.255970 2.644264 -0.117656 0.038109 -0.000530 -0.001270 0.024073 0.999709
1755487233.338192 2.702836 -0.124689 0.047730 -0.001660 -0.001032 0.023975 0.999711
1755487233.358382 2.721412 -0.127785 0.049858 -0.002079 -0.000909 0.024940 0.999686
1755487233.437274 2.782327 -0.130199 0.053518 -0.001808 0.001734 0.020205 0.999793
1755487233.456749 2.797839 -0.131847 0.052399 -0.001611 0.002173 0.020815 0.999780
1755487233.539590 2.867036 -0.132297 0.044281 -0.001139 0.006589 0.012385 0.999901
1755487233.557840 2.883850 -0.133190 0.041785 -0.001204 0.007541 0.011811 0.999901
1755487233.637963 2.956630 -0.130992 0.029270 -0.001389 0.011573 0.000213 0.999932
1755487233.656961 2.974373 -0.131016 0.027120 -0.001979 0.012350 -0.000208 0.999922
1755487233.736609 3.045773 -0.127016 0.019149 -0.002284 0.011909 -0.013013 0.999842
1755487233.755843 3.066441 -0.127712 0.019789 -0.002579 0.011315 -0.013212 0.999845
1755487233.837733 3.135887 -0.124738 0.028002 -0.001721 0.007342 -0.019305 0.999785
1755487233.856884 3.154314 -0.124820 0.031855 -0.002107 0.007154 -0.019700 0.999778
1755487233.937366 3.216824 -0.122083 0.042073 -0.001534 0.005266 -0.030937 0.999506
1755487233.956972 3.233645 -0.124396 0.044944 -0.001309 0.005604 -0.031136 0.999499
