# timestamp tx ty tz qx qy qz qw
1646305719.278244 -0.001014 0.000458 -0.000333 0.000075 -0.000223 -0.000009 1.000000
1646305719.378240 -0.000641 0.000114 -0.000427 0.000182 -0.000130 -0.000038 1.000000
1646305719.478236 -0.000271 -0.000401 -0.000562 0.000151 -0.000037 0.000008 1.000000
1646305719.578232 -0.000565 -0.000854 0.000002 0.000163 0.000016 0.000077 1.000000
1646305719.678228 -0.000415 -0.000685 0.000182 0.000132 0.000135 0.000048 1.000000
1646305719.778224 -0.000453 -0.000175 0.000070 0.000151 -0.000002 0.000028 1.000000
1646305719.878220 -0.000735 -0.000207 -0.000148 0.000140 -0.000028 0.000011 1.000000
1646305719.978216 -0.000807 -0.000213 -0.000142 0.000131 -0.000024 0.000025 1.000000
1646305720.078212 -0.000678 -0.000326 -0.000082 0.000134 -0.000000 0.000041 1.000000
1646305720.178209 -0.000610 -0.000133 -0.000063 0.000136 -0.000002 0.000011 1.000000
1646305720.278204 -0.000456 -0.000274 -0.000030 0.000139 -0.000033 0.000036 1.000000
1646305720.378201 -0.000384 -0.000241 -0.000070 0.000141 -0.000038 0.000033 1.000000
1646305720.478197 -0.000601 -0.000275 -0.000103 0.000145 -0.000008 0.000009 1.000000
1646305720.578193 -0.000603 -0.000216 -0.000082 0.000137 -0.000002 0.000031 1.000000
1646305720.678189 -0.000492 -0.000241 -0.000060 0.000137 -0.000018 0.000016 1.000000
1646305720.778185 -0.000398 -0.000342 0.000026 0.000132 -0.000007 0.000031 1.000000
1646305720.878181 -0.000444 -0.000381 -0.000046 0.000140 0.000026 0.000018 1.000000
1646305720.978177 -0.000552 -0.000377 -0.000033 0.000144 -0.000005 0.000029 1.000000
1646305721.078177 -0.000586 -0.000227 -0.000155 0.000139 -0.000017 0.000024 1.000000
1646305721.178173 -0.000551 -0.000102 -0.000034 0.000127 -0.000025 0.000033 1.000000
1646305721.278169 -0.000608 -0.000104 -0.000027 0.000140 -0.000013 0.000020 1.000000
1646305721.378165 -0.000792 -0.000278 -0.000047 0.000132 0.000033 0.000027 1.000000
1646305721.478161 -0.000742 -0.000149 0.000037 0.000140 -0.000017 0.000022 1.000000
1646305721.578158 -0.000546 0.000188 0.000100 0.000140 0.000004 0.000025 1.000000
1646305721.678154 -0.000312 0.000579 -0.000078 0.000144 -0.000011 0.000024 1.000000
1646305721.778150 -0.000203 0.000872 -0.000016 0.000137 0.000007 0.000023 1.000000
1646305721.878146 -0.000487 0.000743 -0.000002 0.000132 0.000002 0.000003 1.000000
1646305721.978142 -0.000588 0.000328 -0.000057 0.000137 -0.000010 0.000023 1.000000
1646305722.078139 -0.000654 -0.000106 -0.000118 0.000136 -0.000027 0.000020 1.000000
1646305722.178135 -0.000601 -0.000246 -0.000304 0.000150 -0.000022 0.000016 1.000000
1646305722.278131 -0.000598 -0.000123 -0.000178 0.000142 -0.000009 0.000033 1.000000
1646305722.378127 -0.000476 0.000087 0.000096 0.000124 -0.000016 0.000027 1.000000
1646305722.478123 -0.000435 -0.000066 0.000013 0.000134 0.000005 0.000009 1.000000
1646305722.578120 -0.000465 -0.000125 -0.000110 0.000142 -0.000008 0.000019 1.000000
1646305722.678116 -0.000471 0.000046 -0.000361 0.000152 -0.000034 0.000004 1.000000
1646305722.778112 -0.000397 -0.000156 -0.000105 0.000144 0.000007 0.000030 1.000000
1646305722.878108 -0.000277 -0.000318 -0.000028 0.000142 -0.000008 0.000029 1.000000
1646305722.978105 -0.000476 -0.000232 0.000035 0.000127 0.000001 0.000008 1.000000
1646305723.078101 -0.000468 -0.000063 -0.000059 0.000143 -0.000005 0.000031 1.000000
1646305723.178097 -0.001520 -0.001870 0.000332 0.000124 -0.000002 0.000015 1.000000
1646305723.278093 -0.000684 -0.000248 -0.000084 0.000138 -0.000042 0.000002 1.000000
1646305723.378089 -0.000322 0.000595 -0.000330 0.000138 -0.000025 0.000016 1.000000
1646305723.478086 -0.000229 0.000666 -0.000374 0.000143 -0.000035 0.000013 1.000000
1646305723.578082 -0.000274 0.000576 -0.000433 0.000145 -0.000032 0.000021 1.000000
1646305723.678078 0.000087 -0.000289 0.001369 -0.000285 -0.000297 -0.000025 1.000000
1646305723.778074 -0.000437 -0.007188 -0.034163 -0.004645 0.013641 -0.009806 0.999848
1646305723.878070 -0.005481 -0.010179 -0.125483 -0.004754 0.052449 -0.017284 0.998463
1646305723.978066 0.011375 0.007212 -0.246955 0.017131 0.021586 -0.002943 0.999616
1646305724.078059 0.034651 0.057894 -0.387774 0.080490 -0.008141 0.041146 0.995873
1646305724.178056 0.051986 0.124847 -0.538199 0.141236 0.004532 0.095548 0.985344
1646305724.278052 0.071764 0.196097 -0.666772 0.175553 0.034822 0.135730 0.974446
1646305724.378048 0.101338 0.275636 -0.760492 0.190879 0.053907 0.145697 0.969243
1646305724.478044 0.138045 0.363472 -0.816033 0.183226 0.057772 0.149770 0.969876
1646305724.578040 0.176554 0.467013 -0.838087 0.170797 0.048003 0.168531 0.969598
1646305724.678036 0.219494 0.586411 -0.838314 0.107999 0.026281 0.218406 0.969507
1646305724.778033 0.251083 0.729741 -0.825583 0.019788 -0.008252 0.285395 0.958170
1646305724.878029 0.272560 0.895893 -0.843255 -0.054725 -0.066393 0.355956 0.930534
1646305724.978025 0.303637 1.047574 -0.888821 -0.164263 -0.120116 0.399604 0.893816
1646305725.078021 0.361278 1.177849 -0.927566 -0.303696 -0.162538 0.393507 0.852351
1646305725.178018 0.444788 1.285862 -0.950797 -0.408335 -0.156491 0.354467 0.826514
1646305725.278014 0.557542 1.368508 -0.960907 -0.436634 -0.132285 0.308893 0.834528
1646305725.378010 0.694259 1.415387 -0.952660 -0.412111 -0.104788 0.250001 0.869876
1646305725.478006 0.837730 1.426698 -0.938417 -0.332441 -0.071936 0.186747 0.921647
1646305725.578002 0.983945 1.415857 -0.924470 -0.254016 -0.025550 0.123694 0.958917
