# timestamp tx ty tz qx qy qz qw
1646305719.203247 -0.001314 -0.000144 -0.000514 0.000095 -0.000284 0.000037 1.000000
1646305719.653229 0.000414 0.001472 -0.000220 0.000088 0.000013 0.000006 1.000000
1646305719.853221 0.000013 0.001831 -0.000110 -0.000003 -0.000125 -0.000002 1.000000
1646305720.153209 0.000182 0.001855 -0.000016 -0.000008 -0.000039 0.000004 1.000000
1646305720.603192 -0.000159 0.001856 -0.000716 0.000011 -0.000079 -0.000002 1.000000
1646305720.803184 -0.000055 0.001034 -0.000378 -0.000033 -0.000052 0.000058 1.000000
1646305721.703153 -0.000261 0.001619 -0.000634 0.000090 0.000208 0.000025 1.000000
1646305722.053140 -0.000415 0.002640 -0.000684 -0.000005 -0.000032 -0.000002 1.000000
1646305722.153136 -0.000183 0.001994 -0.000252 -0.000034 -0.000120 0.000037 1.000000
1646305723.153098 0.006979 -0.009673 0.001507 0.000096 0.000195 0.000004 1.000000
1646305723.603081 -0.000104 0.001918 -0.000580 0.000051 -0.000120 -0.000003 1.000000
1646305724.553041 0.149624 0.462489 -0.839251 0.176346 0.051967 0.160135 0.969824
1646305725.053022 0.341897 1.160618 -0.920623 -0.264788 -0.156969 0.400132 0.863216
1646305725.652999 1.093274 1.404624 -0.924003 -0.209933 0.007650 0.085681 0.973924
1646305725.802994 1.302058 1.434421 -0.965723 -0.108000 0.063986 0.061723 0.990168
1646305726.052984 1.620628 1.615248 -1.055068 0.127234 0.117250 0.136466 0.975418
1646305726.852954 2.460012 2.509334 -0.974336 -0.071561 -0.023289 0.404510 0.911432
1646305727.002948 2.622504 2.638633 -0.975988 -0.112909 -0.027842 0.391935 0.912614
1646305727.552927 3.296591 2.976788 -0.910987 -0.074927 -0.039138 0.124067 0.988667
1646305728.202894 3.991061 3.100936 -0.870405 0.013892 -0.041713 0.065134 0.996908
1646305728.777871 4.680667 3.236923 -0.922193 -0.040755 -0.022983 0.164660 0.985240
1646305729.152856 5.174229 3.326231 -0.967231 -0.229238 0.019788 0.117460 0.966055
1646305729.302850 5.394721 3.262770 -0.949112 -0.263394 -0.007785 0.017481 0.964499
1646305729.452844 5.600620 3.187318 -0.912695 -0.291135 0.018205 -0.063865 0.954374
1646305730.502803 6.970296 2.694776 -0.923595 -0.057737 0.037086 -0.178611 0.981524
1646305730.602799 7.042281 2.571303 -0.919365 -0.036604 0.034494 -0.304595 0.951153
1646305731.052781 6.771965 2.419835 -0.883565 0.003503 0.026193 -0.943768 0.329552
1646305731.952745 7.923959 3.126383 -0.816990 -0.014066 0.016135 0.283643 0.958691
1646305732.602715 8.546414 3.290730 -0.774634 -0.046501 0.112945 0.237088 0.963779
1646305733.052698 8.724914 3.401850 -0.338893 -0.041191 0.103357 0.225331 0.967908
1646305733.627675 8.850282 3.502208 0.013029 -0.001282 0.037300 0.159969 0.986416
1646305733.727671 8.854695 3.496664 0.027754 -0.001125 0.024809 0.148788 0.988557
1646305733.952662 8.848603 3.489315 0.043140 0.004528 0.018203 0.147994 0.988810
1646305734.352646 8.846494 3.490383 0.066135 0.005552 0.000908 0.151923 0.988376
1646305735.077617 8.850926 3.520989 0.080217 0.008913 -0.007145 0.153183 0.988132
1646305735.302608 8.863481 3.514592 0.082662 0.009070 -0.007721 0.153605 0.988061
1646305735.452602 8.868528 3.505171 0.088852 0.008289 -0.008544 0.152733 0.988196
1646305735.552598 8.871512 3.499497 0.089392 0.007294 -0.005855 0.153603 0.988088
1646305736.577549 8.870887 3.486202 0.091109 -0.004379 0.001291 0.153206 0.988184
1646305737.302521 8.854621 3.518671 0.089284 -0.004280 0.001414 0.155815 0.987776
1646305737.802501 8.850833 3.521199 0.089243 -0.004389 0.001332 0.155349 0.987849
1646305737.952495 8.857074 3.505834 0.091174 -0.004449 0.001282 0.155433 0.987836
1646305738.602470 8.866691 3.481876 0.092494 -0.004405 0.001460 0.155410 0.987839
1646305738.702466 8.861325 3.494432 0.090441 -0.004454 0.001387 0.155370 0.987845
1646305739.702424 8.822253 3.583688 0.076738 -0.004197 0.001365 0.155207 0.987872
1646305740.077410 8.849096 3.524442 0.087198 -0.004340 0.001377 0.155326 0.987853
1646305740.252403 8.866501 3.487332 0.093305 -0.004431 0.001415 0.155405 0.987840
1646305740.352398 8.865320 3.485833 0.091582 -0.004445 0.001458 0.155367 0.987846
1646305740.652387 8.860124 3.488646 0.089057 -0.004422 0.001439 0.155348 0.987849
1646305740.727384 8.858181 3.497779 0.089158 -0.004472 0.001471 0.155363 0.987846
1646305740.952375 8.854750 3.514872 0.089624 -0.004448 0.001447 0.155388 0.987842
1646305741.202365 8.854463 3.512635 0.089626 -0.004406 0.001414 0.155437 0.987835
1646305741.577350 8.857456 3.500527 0.089839 -0.004428 0.001437 0.155401 0.987841
1646305741.652347 8.858534 3.499460 0.090264 -0.004450 0.001397 0.155361 0.987847
1646305741.752343 8.858704 3.498805 0.089572 -0.004475 0.001448 0.155393 0.987842
1646305741.902338 8.858964 3.499880 0.089027 -0.004402 0.001411 0.155396 0.987841
1646305742.352320 8.857525 3.507434 0.089072 -0.004396 0.001497 0.155405 0.987840
1646305743.077284 8.851285 3.525479 0.088169 -0.004421 0.001458 0.155369 0.987845
1646305743.552265 8.853576 3.515306 0.088658 -0.004356 0.001374 0.155325 0.987853
1646305744.252236 8.856645 3.506986 0.088446 -0.004444 0.001413 0.155436 0.987835
1646305744.552224 8.855438 3.506388 0.089061 -0.004484 0.001469 0.155420 0.987837
1646305744.777215 8.854458 3.505632 0.089829 -0.004406 0.001354 0.155396 0.987841
1646305745.052203 8.855748 3.504547 0.090656 -0.004416 0.001388 0.155380 0.987844
1646305745.352191 8.859740 3.497202 0.082569 -0.010200 -0.021826 0.152841 0.987957
1646305746.252154 8.771524 3.226181 -0.707780 -0.052138 0.055333 -0.240502 0.967667
1646305746.352150 8.784527 3.199348 -0.718317 -0.051107 0.050433 -0.329110 0.941558
1646305747.302114 8.804331 2.553378 -0.744030 0.020295 0.014405 -0.681754 0.731158
1646305747.652099 8.788013 2.226328 -0.775354 0.050594 -0.020215 -0.719749 0.692093
1646305747.902089 8.778940 1.951938 -0.771843 0.043339 -0.026753 -0.713954 0.698338
1646305748.052083 8.820951 1.789093 -0.783922 0.043642 -0.037245 -0.699522 0.712304
1646305748.127080 8.840940 1.703715 -0.789577 0.045632 -0.033383 -0.699413 0.712478
1646305748.752054 8.933522 0.937648 -0.782236 0.034355 -0.006096 -0.701760 0.711558
1646305749.502024 8.925241 -0.007592 -0.788302 0.030417 -0.012342 -0.700695 0.712705
1646305749.602020 8.931890 -0.070021 -0.800286 0.027130 -0.021617 -0.706780 0.706582
1646305749.952005 8.922215 -0.376087 -0.784705 0.018120 -0.026680 -0.703496 0.709967
1646305750.901966 8.933394 -1.589283 -0.849263 -0.085536 0.070603 -0.659176 0.743765
1646305751.551948 8.989078 -2.570003 -0.882028 -0.149074 0.075074 -0.632209 0.756606
1646305751.951933 8.995774 -3.061460 -0.859931 0.032137 -0.058608 -0.649844 0.757123
1646305752.351917 9.137523 -3.492695 -0.856985 0.196793 -0.165478 -0.592201 0.763667
1646305752.451913 9.162592 -3.632608 -0.855603 0.165072 -0.161504 -0.601130 0.765056
1646305752.801900 9.218629 -4.096428 -0.874885 0.048110 -0.074893 -0.604780 0.791402
1646305753.101888 9.219294 -4.471776 -0.893504 -0.055987 0.026789 -0.606492 0.792664
1646305753.201884 9.221204 -4.580402 -0.906028 -0.073808 0.065510 -0.615660 0.781808
1646305753.351878 9.197683 -4.749601 -0.898983 -0.118110 0.156579 -0.647970 0.735981
1646305753.426875 9.176036 -4.835637 -0.891389 -0.143744 0.195548 -0.667727 0.703733
1646305753.551870 9.114823 -4.987343 -0.880215 -0.179191 0.217847 -0.709107 0.646221
1646305754.076850 8.569237 -5.380317 -0.813964 -0.207604 0.393485 -0.828416 0.340289
1646305754.151847 8.475441 -5.394677 -0.804972 -0.194635 0.395201 -0.851852 0.283340
