# timestamp tx ty tz qx qy qz qw
1646305719.478236 -0.000366 0.000164 -0.000214 0.000069 -0.000062 0.000001 1.000000
1646305719.653229 -0.000352 0.000081 -0.000512 0.000121 0.000056 -0.000004 1.000000
1646305719.803223 -0.000006 -0.000484 -0.000456 0.000127 -0.000202 -0.000019 1.000000
1646305719.953217 0.000684 -0.001252 -0.000221 0.000086 0.000078 0.000002 1.000000
1646305720.103211 0.000021 -0.000372 -0.000702 0.000089 0.000092 0.000008 1.000000
1646305720.203207 -0.000601 0.000059 -0.000713 0.000077 0.000049 -0.000033 1.000000
1646305720.403199 -0.001059 0.000394 -0.000551 0.000124 -0.000011 0.000005 1.000000
1646305720.553194 -0.000146 -0.000800 -0.000540 0.000099 0.000002 0.000006 1.000000
1646305721.103176 -0.000219 -0.000634 -0.001379 0.000155 0.000202 0.000017 1.000000
1646305721.203172 -0.000436 -0.000255 -0.000578 0.000066 -0.000014 0.000011 1.000000
1646305721.353166 -0.000530 -0.000455 -0.000018 0.000097 0.000027 0.000028 1.000000
1646305721.778150 -0.000734 0.000461 0.000194 0.000128 0.000173 0.000002 1.000000
1646305722.053140 -0.000229 0.001261 -0.000638 0.000104 0.000037 -0.000017 1.000000
1646305722.153136 -0.000183 0.000590 -0.000770 0.000080 -0.000034 0.000014 1.000000
1646305723.103100 -0.001019 0.000231 -0.001069 0.000191 0.000345 0.000004 1.000000
1646305723.253094 -0.000539 0.000706 -0.000468 0.000087 0.000039 -0.000018 1.000000
1646305723.653079 0.000447 0.000776 0.000561 0.000132 -0.000130 -0.000004 1.000000
1646305723.803073 -0.002483 -0.009006 -0.051326 -0.005619 0.025038 -0.012168 0.999597
1646305723.903069 -0.003659 -0.009645 -0.152539 -0.002525 0.050103 -0.016716 0.998601
1646305724.353049 0.083277 0.259862 -0.753034 0.190876 0.050639 0.145313 0.969477
1646305725.128019 0.397466 1.254390 -0.947379 -0.360840 -0.167617 0.378043 0.835932
1646305725.353011 0.653640 1.416843 -0.955564 -0.425284 -0.113258 0.265786 0.857708
1646305725.603001 1.019927 1.406872 -0.917813 -0.237643 -0.013505 0.108535 0.965175
1646305726.102982 1.679764 1.649654 -1.046121 0.157526 0.131485 0.152457 0.966775
1646305726.552965 2.169244 2.144399 -0.968826 0.018163 0.017797 0.302072 0.952946
1646305727.527928 3.243203 3.040802 -0.947495 -0.080262 -0.041862 0.131832 0.987130
1646305727.702922 3.451243 3.068390 -0.911948 -0.035000 -0.034674 0.113509 0.992315
1646305727.852916 3.611940 3.069360 -0.892393 0.003516 -0.050907 0.108982 0.992733
1646305727.952912 3.716739 3.074819 -0.881862 0.003491 -0.046063 0.108936 0.992975
1646305728.102898 3.889182 3.097746 -0.874098 -0.001457 -0.041943 0.090628 0.995000
1646305728.352888 4.182282 3.119405 -0.894659 0.027049 -0.033266 0.029971 0.998631
1646305729.352848 5.426749 3.304512 -0.939090 -0.272702 -0.000799 -0.016124 0.961963
1646305729.552840 5.727679 3.221502 -0.895575 -0.281719 -0.004689 -0.060158 0.957598
1646305730.402807 6.905474 2.836272 -0.901712 -0.054855 0.031358 -0.100983 0.992880
1646305730.602799 7.048786 2.564780 -0.915938 -0.036043 0.034998 -0.303966 0.951357
1646305731.127778 6.682024 2.459360 -0.922408 -0.000194 0.028367 -0.982059 0.186429
1646305731.302771 6.783312 2.805096 -0.917860 -0.029575 -0.018037 0.979894 0.196489
1646305731.402767 6.946592 2.986077 -0.910576 -0.032933 -0.005423 0.909772 0.413765
1646305731.602759 7.386160 3.142311 -0.906945 -0.040335 0.018402 0.669226 0.741735
1646305732.452721 8.451312 3.252621 -0.881901 -0.040022 0.144959 0.205156 0.967107
1646305732.902704 8.708965 3.399935 -0.488771 -0.018988 0.074570 0.240128 0.967687
1646305733.402683 8.800740 3.473081 -0.053390 -0.004139 0.078164 0.182050 0.980169
1646305733.477681 8.809572 3.478692 -0.023432 0.002186 0.065588 0.170378 0.983191
1646305733.552678 8.823345 3.482907 0.001706 0.001526 0.047952 0.164736 0.985170
1646305733.677673 8.827025 3.484334 0.026664 -0.002171 0.030196 0.153972 0.987611
1646305733.752670 8.834205 3.486159 0.035076 0.001069 0.021757 0.147777 0.988781
1646305734.552638 8.832106 3.517272 0.078386 0.006718 -0.003285 0.155624 0.987788
1646305734.627635 8.830218 3.513611 0.075012 0.007490 -0.003900 0.155697 0.987769
1646305734.802628 8.830301 3.504263 0.074276 0.008273 -0.004671 0.154992 0.987870
1646305734.952622 8.841652 3.502511 0.078510 0.009936 -0.007975 0.153831 0.988015
1646305735.027619 8.834453 3.504466 0.082860 0.009669 -0.007422 0.153928 0.988007
1646305736.002580 8.813942 3.527577 0.101584 -0.003558 0.001086 0.152154 0.988350
1646305736.652546 8.828652 3.531371 0.093248 -0.003689 0.001346 0.154024 0.988059
1646305736.752542 8.828888 3.515216 0.090849 -0.003926 0.001055 0.154688 0.987955
1646305736.902537 8.832770 3.496849 0.089906 -0.003876 0.001047 0.154477 0.987988
1646305737.302521 8.841974 3.484099 0.089777 -0.003750 0.001361 0.156499 0.987670
1646305737.427516 8.841320 3.502476 0.091298 -0.003851 0.001349 0.156382 0.987688
1646305737.877498 8.824675 3.542628 0.094100 -0.003759 0.001162 0.156073 0.987738
1646305738.277483 8.825308 3.530489 0.092450 -0.003723 0.001365 0.156090 0.987735
1646305738.377479 8.834714 3.513342 0.091570 -0.003861 0.001293 0.156228 0.987713
1646305738.502474 8.844259 3.498026 0.090995 -0.003817 0.001267 0.156082 0.987736
1646305739.102448 8.858863 3.474973 0.088489 -0.003646 0.001362 0.155995 0.987750
1646305739.202444 8.845116 3.496876 0.090538 -0.003800 0.001277 0.155937 0.987759
1646305740.202404 8.761055 3.614539 0.096488 -0.003509 0.001336 0.155694 0.987798
1646305740.402396 8.826219 3.531383 0.091959 -0.003815 0.001291 0.156223 0.987714
1646305740.702385 8.895912 3.437441 0.087242 -0.003739 0.001277 0.156079 0.987737
1646305740.877378 8.875585 3.455130 0.089068 -0.003865 0.001396 0.155829 0.987775
1646305741.002373 8.839405 3.497465 0.092194 -0.003828 0.001327 0.155965 0.987754
1646305741.202365 8.811326 3.537051 0.094125 -0.003790 0.001284 0.156116 0.987731
1646305741.702345 8.801478 3.568593 0.094042 -0.003787 0.001334 0.156087 0.987735
1646305742.002334 8.842310 3.519953 0.090824 -0.003790 0.001316 0.156218 0.987714
1646305742.977295 8.907098 3.422914 0.081866 -0.003662 0.001440 0.155777 0.987784
1646305743.302275 8.849846 3.491759 0.089360 -0.003787 0.001311 0.156032 0.987744
1646305744.127241 8.690015 3.626097 0.100508 -0.003705 0.001352 0.155144 0.987884
1646305744.252236 8.665758 3.623868 0.091022 -0.003690 0.001485 0.154524 0.987981
1646305744.902210 8.597336 3.613076 0.063570 -0.003656 0.001428 0.154881 0.987925
1646305745.252195 8.649738 3.573313 0.084794 -0.003715 0.001436 0.154700 0.987954
1646305745.902169 8.784537 3.282969 -0.517609 -0.065918 -0.001647 -0.026178 0.997480
1646305746.352150 8.827902 3.146420 -0.710667 -0.050641 0.051451 -0.328972 0.941576
1646305747.402110 8.745070 2.429099 -0.809215 0.019997 0.005487 -0.697771 0.716021
1646305748.152079 8.778781 1.614727 -0.811924 0.047777 -0.030802 -0.698547 0.713303
1646305748.302073 8.857042 1.470612 -0.789772 0.063236 -0.020890 -0.686823 0.723767
1646305749.252034 9.102640 0.438634 -0.726997 0.033612 -0.004855 -0.676465 0.735691
1646305749.652017 8.982031 -0.086062 -0.790023 0.027428 -0.015686 -0.710981 0.702501
1646305749.902007 8.860459 -0.405855 -0.806204 0.022135 -0.014758 -0.709254 0.704451
1646305750.002003 8.873977 -0.513567 -0.806449 0.014874 -0.031266 -0.696089 0.717120
1646305751.001962 8.964066 -1.813734 -0.885540 -0.099730 0.085169 -0.626744 0.768109
1646305751.601946 9.018839 -2.607746 -0.884998 -0.133870 0.053641 -0.639607 0.755052
1646305751.901935 8.995638 -2.945500 -0.864450 0.007536 -0.032056 -0.658874 0.751532
1646305752.851898 9.181056 -4.062331 -0.863508 0.031023 -0.048466 -0.600746 0.797366
1646305753.051890 9.222886 -4.369065 -0.884436 -0.042166 0.013483 -0.605603 0.794535
1646305753.651866 9.102610 -5.179127 -0.904196 -0.197502 0.251516 -0.741042 0.590415
1646305753.751863 9.004891 -5.257883 -0.877521 -0.205067 0.320512 -0.768728 0.514079
1646305753.901857 8.811171 -5.323947 -0.841098 -0.221113 0.382268 -0.782826 0.438365
1646305754.051851 8.592798 -5.346781 -0.827928 -0.209764 0.393422 -0.820506 0.357754
1646305754.951816 7.192382 -4.969905 -0.850046 -0.012199 -0.256052 0.957949 0.128929
1646305755.176807 6.930168 -4.894108 -0.864521 -0.022280 -0.187720 0.974842 0.118105
1646305755.701787 6.387931 -4.881345 -0.866145 -0.006473 -0.079618 0.985561 0.149296
1646305756.201765 5.919863 -5.061140 -0.892288 -0.013835 -0.037859 0.999131 0.010581
1646305757.001734 5.109988 -5.400169 -0.929863 0.008757 0.037975 -0.997380 0.060939
1646305757.776704 4.428470 -5.591852 -0.927383 0.030732 -0.072123 -0.986849 0.141362
1646305758.451678 4.226232 -5.533895 -0.807031 -0.087351 -0.038109 -0.899582 0.426227
1646305758.551674 4.238454 -5.516798 -0.784696 -0.092155 -0.078696 -0.883714 0.452067
1646305759.076653 4.313626 -5.426775 -0.892203 0.195722 -0.248885 -0.824202 0.469511
1646305759.801625 4.611901 -5.444037 -0.759329 0.246563 -0.381781 -0.671626 0.585122
1646305760.501594 5.131859 -5.808190 -0.760355 0.275912 -0.302288 -0.556056 0.723392
1646305761.101570 5.496685 -6.358276 -0.788264 0.207844 -0.248786 -0.564912 0.758802
1646305761.451556 5.630171 -6.701301 -0.840536 0.101380 -0.139812 -0.609760 0.773542
1646305761.551553 5.621273 -6.803201 -0.855719 0.027903 -0.085931 -0.617649 0.781247
1646305761.751545 5.547160 -6.986859 -0.898198 -0.102142 0.034920 -0.652777 0.749820
1646305761.851541 5.503441 -7.079889 -0.907989 -0.131154 0.125337 -0.678538 0.711812
1646305762.001535 5.444073 -7.224913 -0.905571 -0.145879 0.234859 -0.724719 0.631144
1646305762.926498 4.698647 -7.713485 -0.685928 -0.078296 0.148195 -0.975753 0.140765
1646305763.026495 4.646851 -7.735314 -0.670974 -0.059366 0.106117 -0.988016 0.095076
1646305763.351482 4.606688 -7.791654 -0.649812 0.030581 0.001452 -0.998112 0.053238
1646305763.476477 4.581847 -7.802467 -0.596602 0.064137 -0.013736 -0.996402 0.053670
1646305763.801464 4.460087 -7.816786 -0.383951 0.109108 -0.022367 -0.992961 0.040294
1646305763.901460 4.355169 -7.828127 -0.315908 0.090272 -0.017291 -0.995113 0.036090
1646305764.051454 4.254353 -7.842469 -0.215733 0.074109 -0.020546 -0.996985 0.010370
1646305764.251446 4.210058 -7.828706 -0.101753 -0.065495 0.009644 0.996630 0.048428
1646305765.151411 4.205544 -7.836056 0.072873 -0.039296 -0.018441 0.999056 0.001604
1646305765.401401 4.215057 -7.824053 0.086049 0.034069 0.014285 -0.999235 0.012814
1646305765.801385 4.221333 -7.809084 0.090390 0.042498 -0.000041 -0.999096 0.000506
1646305766.501360 4.177584 -7.809670 0.100387 -0.006192 0.005388 0.999915 0.010114
1646305767.451323 4.121090 -7.863378 0.092844 -0.007961 0.003348 0.999962 0.000800
1646305768.151295 4.139305 -7.860894 0.093235 -0.008199 0.002830 0.999959 0.002703
1646305768.301290 4.202882 -7.817893 0.099219 -0.007854 0.002802 0.999963 0.002077
1646305768.751272 4.372975 -7.726724 0.112476 -0.008097 0.002988 0.999959 0.002725
1646305768.901266 4.436248 -7.755462 0.103065 -0.006946 0.002792 0.999970 0.001788
1646305769.051260 4.450986 -7.798979 0.099525 0.006406 -0.002806 -0.999975 0.000339
1646305769.751232 4.450278 -7.989204 0.091179 0.007722 -0.002556 -0.999961 0.003465
1646305770.251219 4.422633 -8.105875 0.097427 0.007741 -0.002425 -0.999960 0.003669
1646305770.326216 4.449872 -8.108944 0.101238 0.008002 -0.002254 -0.999960 0.003313
1646305770.401213 4.474783 -8.105744 0.104372 0.007787 -0.002226 -0.999960 0.003676
1646305770.501209 4.490430 -8.092351 0.104775 0.007724 -0.002215 -0.999963 0.003107
1646305770.751200 4.491834 -8.072132 0.103766 0.007751 -0.002326 -0.999961 0.003500
1646305770.851196 4.469121 -8.077540 0.101179 0.007772 -0.002343 -0.999958 0.004143
1646305771.601168 4.339074 -8.089907 0.090768 0.007819 -0.002542 -0.999961 0.003346
1646305772.451135 4.224223 -8.121941 0.091723 0.007883 -0.002399 -0.999962 0.002783
1646305773.101110 4.109208 -8.148244 -0.287962 0.000361 0.002080 -0.999513 0.031122
1646305774.026075 3.972845 -8.295098 -0.571975 0.029864 0.021550 0.999304 0.005979
1646305774.251067 4.022403 -8.388466 -0.597010 0.013524 0.030313 0.999388 0.011075
1646305775.051036 4.256061 -8.918308 -0.653208 -0.001577 -0.006391 -0.999803 0.018749
1646305775.751009 4.302612 -9.086838 -0.667848 -0.003465 -0.032494 -0.960776 0.275394
1646305776.200992 4.344301 -9.097681 -0.640115 -0.014653 -0.043776 -0.818197 0.573082
1646305776.975963 4.898568 -9.209983 -0.644794 -0.049518 0.002399 -0.680068 0.731471
1646305777.150956 5.088655 -9.245098 -0.677602 -0.081350 0.034218 -0.600848 0.794477
1646305777.250952 5.212197 -9.268706 -0.703431 -0.095347 0.044660 -0.547589 0.830097
1646305777.375947 5.365698 -9.294762 -0.736156 -0.105064 0.059182 -0.475604 0.871355
1646305777.750933 5.799826 -9.380292 -0.772828 -0.095542 0.064505 -0.369917 0.921885
1646305777.850929 5.899173 -9.420374 -0.779464 -0.091541 0.058120 -0.342340 0.933298
1646305777.950926 5.998403 -9.460162 -0.782002 -0.086944 0.065774 -0.309707 0.944561
1646305778.275911 6.391961 -9.580412 -0.789216 -0.057106 0.030778 -0.169739 0.983352
1646305778.800891 7.123105 -9.700733 -0.839835 -0.031045 0.033858 -0.075323 0.996101
1646305779.650858 8.306471 -9.914480 -0.828818 -0.027236 -0.066583 -0.008655 0.997372
1646305780.050843 8.739802 -10.164623 -0.782045 -0.133607 -0.108710 -0.097557 0.980211
1646305780.300834 8.968215 -10.389353 -0.746944 -0.239426 -0.123888 -0.189662 0.944116
1646305780.650820 9.191652 -10.761558 -0.695877 -0.273994 -0.085223 -0.418440 0.861726
1646305781.200799 9.335529 -11.355332 -0.701096 -0.311896 0.026383 -0.631674 0.709234
1646305781.700780 9.361665 -11.911359 -0.735539 -0.263710 0.046918 -0.719635 0.640610
1646305782.050765 9.349385 -12.292838 -0.735430 -0.252568 0.069136 -0.721161 0.641371
1646305782.250757 9.369014 -12.502459 -0.732300 -0.257517 0.059045 -0.717763 0.644217
1646305782.400751 9.384689 -12.674111 -0.732088 -0.234845 0.061476 -0.717340 0.653064
1646305783.300716 9.346748 -13.801899 -0.734847 -0.235327 0.062487 -0.704359 0.666780
1646305783.850695 9.321902 -14.487530 -0.762274 -0.090533 -0.029393 -0.743359 0.662085
1646305783.950691 9.330562 -14.604058 -0.773042 -0.034290 -0.066634 -0.731665 0.677533
1646305784.150684 9.363734 -14.813067 -0.784460 0.074695 -0.175562 -0.699344 0.688852
1646305784.250680 9.385906 -14.904785 -0.795147 0.130985 -0.190065 -0.686205 0.689813
1646305784.375675 9.421669 -15.015824 -0.798913 0.197002 -0.193083 -0.666532 0.692563
1646305784.650665 9.495792 -15.263149 -0.780240 0.223694 -0.206230 -0.643219 0.702637
1646305785.550630 9.588246 -15.685850 -0.376133 0.111464 0.080104 -0.582908 0.800860
1646305785.675625 9.597057 -15.689284 -0.326553 0.120900 0.110891 -0.596129 0.785949
1646305785.975614 9.652473 -15.751473 -0.228835 0.086817 0.085631 -0.561947 0.818136
1646305786.950579 9.738834 -15.883160 0.099434 0.013226 0.046818 -0.519958 0.852805
1646305787.300566 9.750723 -15.894078 0.155412 0.012584 0.041817 -0.517077 0.854824
1646305787.475559 9.755108 -15.895532 0.176702 0.007492 0.035699 -0.511472 0.858525
1646305787.600554 9.760738 -15.893451 0.175871 0.002634 0.039212 -0.513861 0.856973
