# timestamp tx ty tz qx qy qz qw
1755576877.834401 -0.000730 -0.000343 0.000401 0.000117 -0.000168 -0.000074 1.000000
1755576878.471381 0.000786 0.001624 0.001603 0.003030 -0.000749 -0.001694 0.999994
1755576878.717026 0.001509 0.003162 0.001177 0.002545 -0.001024 -0.001757 0.999995
1755576878.922440 0.000853 0.002647 0.002388 0.002756 -0.000991 -0.001726 0.999994
1755576879.141859 -0.002464 0.008208 0.003663 0.001781 -0.001142 -0.001753 0.999996
1755576879.341067 -0.001320 0.004997 0.003781 0.002087 -0.001702 -0.001853 0.999995
1755576879.602223 0.000437 0.001172 0.002488 0.002455 -0.001011 -0.001667 0.999995
1755576879.808786 0.003079 -0.002284 0.001859 0.002685 -0.001241 -0.001659 0.999994
1755576880.085297 0.002371 -0.001219 0.001732 0.002575 -0.001131 -0.001698 0.999995
1755576880.349771 0.002240 0.000289 0.001020 0.002466 -0.000992 -0.001769 0.999995
1755576880.636905 0.002257 0.000747 -0.000001 0.002588 -0.001129 -0.001731 0.999995
1755576880.934366 0.001960 0.001593 0.000315 0.002433 -0.001011 -0.001755 0.999995
1755576881.144427 0.001209 0.001971 0.000708 0.002584 -0.001154 -0.001744 0.999994
1755576881.325358 0.001256 0.002336 0.001082 0.002461 -0.000976 -0.001722 0.999995
1755576881.533657 0.000868 0.002620 0.000909 0.002632 -0.001140 -0.001728 0.999994
1755576881.736151 0.000601 0.002456 -0.001132 0.002386 -0.001207 -0.001700 0.999995
1755576881.936236 0.000817 0.002252 -0.000285 0.002620 -0.001251 -0.001738 0.999994
1755576882.168260 0.001019 0.002292 0.000500 0.002439 -0.001142 -0.001721 0.999995
1755576882.375537 0.000932 0.002153 -0.000271 0.002613 -0.001253 -0.001735 0.999994
1755576882.568149 0.001176 0.002404 0.000781 0.002447 -0.001132 -0.001703 0.999995
1755576882.754182 0.001438 0.002115 0.001453 0.002570 -0.001186 -0.001738 0.999994
1755576882.969318 0.001441 0.002236 0.001616 0.002464 -0.001071 -0.001718 0.999995
1755576883.182618 0.001444 0.002010 0.001874 0.002610 -0.001217 -0.001744 0.999994
1755576883.416176 0.001037 0.001979 0.001771 0.002474 -0.001080 -0.001723 0.999995
1755576883.651748 0.001147 0.001699 0.001718 0.002574 -0.001176 -0.001739 0.999994
1755576883.845671 0.001182 0.002110 0.001575 0.002477 -0.001080 -0.001712 0.999995
1755576884.062793 0.001066 0.002567 0.001360 0.002577 -0.001194 -0.001757 0.999994
1755576884.306284 0.001081 0.002220 0.001366 0.002478 -0.001099 -0.001716 0.999995
1755576884.554513 0.001185 0.001979 0.001306 0.002600 -0.001187 -0.001743 0.999994
1755576884.786404 0.001138 0.001972 0.001171 0.002468 -0.001107 -0.001697 0.999995
1755576885.000211 0.001193 0.002122 0.000518 0.002599 -0.001208 -0.001729 0.999994
1755576885.214965 0.001061 0.002084 0.000706 0.002453 -0.001104 -0.001717 0.999995
1755576885.452237 0.001225 0.001941 0.000891 0.002599 -0.001166 -0.001744 0.999994
1755576885.750135 0.001150 0.002041 0.001014 0.002462 -0.001105 -0.001719 0.999995
1755576886.032728 0.001180 0.002239 0.000783 0.002608 -0.001193 -0.001728 0.999994
1755576886.368651 0.001129 0.002205 0.000997 0.002466 -0.001113 -0.001727 0.999995
1755576886.600631 0.001375 0.002373 0.002366 0.002537 -0.001161 -0.001730 0.999995
1755576886.808148 0.001353 0.002512 0.002618 0.002556 -0.001095 -0.001727 0.999995
1755576886.976540 0.001455 0.002220 0.002356 0.002489 -0.001088 -0.001724 0.999995
1755576887.160052 0.001500 0.002045 0.001426 0.002598 -0.001106 -0.001717 0.999995
1755576887.354807 0.001159 0.002185 0.000522 0.002455 -0.001118 -0.001717 0.999995
1755576887.530392 0.001076 0.002101 0.000333 0.002616 -0.001143 -0.001730 0.999994
1755576887.713776 0.000954 0.002512 0.000350 0.002443 -0.001130 -0.001705 0.999995
1755576887.903691 0.000998 0.002861 0.000684 0.002623 -0.001239 -0.001754 0.999994
1755576888.124687 0.001064 0.002498 0.000875 0.002438 -0.001115 -0.001716 0.999995
1755576888.329793 0.001221 0.003551 0.000784 0.002593 -0.001198 -0.001740 0.999994
