# timestamp tx ty tz qx qy qz qw
1646305719.097875 3.1660537953 6.3546070734 -1.8050523975 0.0000890000 -0.0001580000 0.0000410000 1.0000000000
1646305719.184855 3.1662090195 6.3544360465 -1.8051846898 0.0001810000 -0.0000830000 0.0000180000 1.0000000000
1646305719.233521 3.1659512623 6.3540041838 -1.8054416894 0.0001470000 -0.0000920000 0.0000520000 1.0000000000
1646305719.280988 3.1664541630 6.3537096840 -1.8052583925 0.0001520000 -0.0000140000 0.0000610000 1.0000000000
1646305719.340334 3.1664053887 6.3537653385 -1.8049833150 0.0001680000 -0.0000120000 0.0000580000 1.0000000000
1646305719.402300 3.1662618343 6.3543808475 -1.8053468184 0.0001310000 0.0000580000 0.0000880000 1.0000000000
1646305719.457609 3.1664961120 6.3542174939 -1.8050163876 0.0001480000 -0.0000380000 0.0000490000 1.0000000000
1646305719.514617 3.1665529163 6.3542338708 -1.8050013186 0.0001380000 -0.0000270000 0.0000520000 1.0000000000
1646305719.578320 3.1662956837 6.3542281068 -1.8051068799 0.0001290000 -0.0000320000 0.0000460000 1.0000000000
1646305719.630520 3.1662164636 6.3542194792 -1.8050635239 0.0001280000 -0.0000160000 0.0000510000 1.0000000000
1646305719.678890 3.1661882076 6.3541827939 -1.8051291652 0.0001150000 -0.0000340000 0.0000610000 1.0000000000
1646305719.732177 3.1662843376 6.3541777787 -1.8050608434 0.0001260000 0.0000010000 0.0000690000 1.0000000000
1646305719.783955 3.1663330021 6.3543786801 -1.8051710360 0.0001180000 -0.0000240000 0.0000560000 1.0000000000
1646305719.859011 3.1664577717 6.3542625291 -1.8054076316 0.0000960000 0.0000180000 0.0000610000 1.0000000000
1646305719.915015 3.1664763767 6.3541836338 -1.8053512099 0.0001590000 -0.0000410000 0.0000590000 1.0000000000
1646305719.973236 3.1662363193 6.3542323593 -1.8053058642 0.0001330000 -0.0000580000 0.0000460000 1.0000000000
1646305720.022633 3.1662552006 6.3541814284 -1.8051933452 0.0001230000 -0.0000360000 0.0000660000 1.0000000000
1646305720.066486 3.1663438059 6.3542573133 -1.8051316233 0.0001100000 -0.0000290000 0.0000520000 1.0000000000
1646305720.129354 3.1664227517 6.3542398913 -1.8051830628 0.0001320000 -0.0000160000 0.0000490000 1.0000000000
1646305720.185150 3.1664462879 6.3541868087 -1.8051946514 0.0001160000 -0.0000290000 0.0000720000 1.0000000000
1646305720.238211 3.1664508498 6.3540951226 -1.8051920367 0.0001270000 -0.0000170000 0.0000450000 1.0000000000
1646305720.294079 3.1664641938 6.3540339001 -1.8052314795 0.0001150000 -0.0000020000 0.0000570000 1.0000000000
1646305720.344185 3.1664650013 6.3540507360 -1.8051504246 0.0001280000 -0.0000350000 0.0000460000 1.0000000000
1646305720.402580 3.1664274529 6.3541631446 -1.8051283924 0.0001390000 -0.0000290000 0.0000430000 1.0000000000
1646305720.445883 3.1664405722 6.3543627687 -1.8051429559 0.0001140000 -0.0000360000 0.0000700000 1.0000000000
1646305720.487680 3.1664445480 6.3544116109 -1.8051448622 0.0001210000 -0.0000430000 0.0000510000 1.0000000000
1646305720.530160 3.1664185936 6.3546574494 -1.8050865802 0.0001020000 -0.0000570000 0.0000610000 1.0000000000
1646305720.583704 3.1662988544 6.3546264471 -1.8052446257 0.0001290000 -0.0000360000 0.0000710000 1.0000000000
1646305720.630844 3.1662829962 6.3544612215 -1.8052609045 0.0001250000 -0.0000300000 0.0000560000 1.0000000000
1646305720.673388 3.1662589463 6.3543989672 -1.8052536930 0.0001290000 0.0000190000 0.0000660000 1.0000000000
1646305720.721496 3.1663411684 6.3543267962 -1.8051493480 0.0001240000 -0.0000230000 0.0000680000 1.0000000000
1646305720.767030 3.1664561516 6.3548168688 -1.8050646974 0.0001420000 -0.0000710000 0.0000450000 1.0000000000
1646305720.816401 3.1663955853 6.3547034536 -1.8050690235 0.0001080000 -0.0000280000 0.0000540000 1.0000000000
1646305720.860591 3.1666745742 6.3553750824 -1.8051786496 0.0001190000 -0.0000260000 0.0000590000 1.0000000000
1646305720.906594 3.1666416638 6.3549413541 -1.8051965291 0.0001280000 -0.0000320000 0.0000680000 1.0000000000
1646305720.952584 3.1669834281 6.3557110076 -1.8052189060 0.0001140000 -0.0000420000 0.0000390000 1.0000000000
1646305720.998355 3.1668133474 6.3551429145 -1.8051628368 0.0001140000 -0.0000220000 0.0000360000 1.0000000000
1646305721.041604 3.1667734468 6.3553600744 -1.8052494308 0.0001300000 -0.0000230000 0.0000740000 1.0000000000
1646305721.086990 3.1665129217 6.3548295316 -1.8052046646 0.0001240000 -0.0000280000 0.0000220000 1.0000000000
1646305721.132066 3.1664877785 6.3550522587 -1.8051634766 0.0001230000 -0.0000410000 0.0000570000 1.0000000000
1646305721.185052 3.1664444240 6.3545533917 -1.8052994106 0.0001230000 -0.0000530000 0.0000440000 1.0000000000
1646305721.237621 3.1663583991 6.3543286061 -1.8052616593 0.0001190000 -0.0000410000 0.0000510000 1.0000000000
1646305721.280213 3.1663248425 6.3543083695 -1.8053061502 0.0001240000 -0.0000730000 0.0000760000 1.0000000000
1646305721.335631 3.1662853578 6.3544094402 -1.8055681668 0.0001200000 -0.0000110000 0.0000440000 1.0000000000
1646305721.392575 3.1663404588 6.3545593638 -1.8055316186 0.0001320000 -0.0000190000 0.0000660000 1.0000000000
1646305721.441525 3.1664103802 6.3544550515 -1.8054061637 0.0001060000 -0.0000460000 0.0000520000 1.0000000000
1646305721.482301 3.1666058823 6.3543233271 -1.8052589815 0.0001060000 -0.0000010000 0.0000680000 1.0000000000
1646305721.529887 3.1665504359 6.3541731410 -1.8051435007 0.0001290000 -0.0000320000 0.0000540000 1.0000000000
1646305721.574728 3.1668208917 6.3542232367 -1.8051770431 0.0001450000 -0.0000380000 0.0000770000 1.0000000000
1646305721.619318 3.1666136120 6.3542984225 -1.8051601836 0.0001400000 -0.0000370000 0.0000460000 1.0000000000
1646305721.662696 3.1665974534 6.3544653878 -1.8052033515 0.0001260000 -0.0000320000 0.0000710000 1.0000000000
1646305721.709482 3.1665687055 6.3543953890 -1.8051420757 0.0001430000 -0.0000480000 0.0000510000 1.0000000000
1646305721.761354 3.1664698889 6.3544026162 -1.8052023421 0.0001150000 -0.0000380000 0.0000530000 1.0000000000
1646305721.808883 3.1665579290 6.3544537389 -1.8052847156 0.0001390000 -0.0000330000 0.0000680000 1.0000000000
1646305721.852453 3.1665699625 6.3542238965 -1.8052396858 0.0001290000 -0.0000310000 0.0000580000 1.0000000000
1646305721.894070 3.1665799766 6.3544328995 -1.8053031717 0.0001320000 -0.0000580000 0.0000300000 1.0000000000
1646305721.939022 3.1664116419 6.3541886151 -1.8051760398 0.0001080000 -0.0000380000 0.0000370000 1.0000000000
1646305721.982498 3.1665760267 6.3544882422 -1.8052159044 0.0001100000 -0.0000120000 0.0000510000 1.0000000000
1646305722.024916 3.1665743981 6.3544782122 -1.8051478989 0.0001300000 -0.0000270000 0.0000600000 1.0000000000
1646305722.068543 3.1666927305 6.3547976220 -1.8051598919 0.0001120000 -0.0000060000 0.0000750000 1.0000000000
1646305722.118126 3.1663877280 6.3550676026 -1.8052176934 0.0001100000 -0.0000380000 0.0000410000 1.0000000000
1646305722.171644 3.1662857342 6.3548454718 -1.8053576834 0.0001220000 -0.0000630000 0.0000330000 1.0000000000
1646305722.214418 3.1664552292 6.3549319075 -1.8053673445 0.0001080000 -0.0000810000 0.0000400000 1.0000000000
1646305722.261217 3.1662569125 6.3546923378 -1.8053686954 0.0001210000 -0.0000370000 0.0000600000 1.0000000000
1646305722.305408 3.1665114807 6.3545417807 -1.8052556089 0.0001290000 -0.0000420000 0.0000380000 1.0000000000
