# timestamp tx ty tz qx qy qz qw
1646305719.097875 -0.001414 -0.000201 -0.000628 0.000103 -0.000348 0.000031 1.000000
1646305719.134235 -0.001407 -0.000187 -0.000644 0.000142 -0.000305 0.000030 1.000000
1646305719.171298 -0.001805 -0.000634 -0.003094 0.000840 -0.000635 0.000007 0.999999
1646305719.214970 0.000031 0.000493 0.000209 -0.000055 0.000059 0.000070 1.000000
1646305719.257293 -0.002064 -0.000714 -0.003553 0.000387 -0.001403 -0.000046 0.999999
1646305719.297228 -0.002078 -0.000414 -0.003358 0.000483 -0.001015 0.000035 0.999999
1646305719.336933 -0.001501 -0.000349 -0.003504 0.000722 -0.000776 0.000005 0.999999
1646305719.376706 -0.001222 0.000100 -0.003821 0.000468 -0.000580 0.000051 1.000000
1646305719.419732 -0.002736 0.000557 -0.004242 0.000591 -0.001060 -0.000012 0.999999
1646305719.457634 -0.002430 0.000516 -0.004014 0.000406 -0.000869 0.000012 1.000000
1646305719.684633 -0.001915 -0.000112 -0.004346 0.000571 -0.001028 0.000019 0.999999
1646305719.720547 -0.001215 -0.000061 -0.003698 0.000429 -0.000922 0.000062 0.999999
1646305719.763381 -0.000938 -0.000318 -0.005266 0.000575 -0.001056 -0.000038 0.999999
1646305719.801078 -0.001073 -0.000044 -0.004242 0.000436 -0.000903 0.000045 0.999999
1646305719.839008 -0.001685 -0.001259 -0.002646 0.000629 -0.000955 -0.000020 0.999999
1646305719.880069 -0.002357 -0.000490 -0.001608 0.000374 -0.000862 0.000034 1.000000
1646305719.923337 -0.001979 -0.001624 -0.000330 0.000679 -0.000873 0.000023 0.999999
1646305719.962130 -0.001336 -0.002392 -0.000139 0.000365 -0.000826 0.000046 1.000000
1646305720.004869 -0.001474 -0.002575 -0.000928 0.000675 -0.000866 0.000022 0.999999
1646305720.041828 -0.000870 -0.001052 -0.001631 0.000364 -0.000818 0.000065 1.000000
1646305720.083973 -0.001242 0.000074 -0.003416 0.000627 -0.001004 -0.000026 0.999999
1646305720.120121 -0.001083 -0.000824 -0.002575 0.000374 -0.000830 0.000043 1.000000
1646305720.157057 -0.001419 -0.000444 -0.003666 0.000604 -0.001010 -0.000004 0.999999
1646305720.197429 -0.001340 -0.000959 -0.002679 0.000364 -0.000829 0.000052 1.000000
1646305720.240253 -0.001634 -0.001611 -0.001971 0.000654 -0.000915 0.000016 0.999999
1646305720.281832 -0.001311 -0.000885 -0.001308 0.000402 -0.000823 0.000060 1.000000
1646305720.334587 -0.002093 -0.000908 -0.000499 0.000688 -0.000888 0.000004 0.999999
1646305720.374633 -0.001691 -0.000118 -0.000903 0.000353 -0.000785 0.000035 1.000000
1646305720.408975 -0.001629 0.000058 -0.001125 0.000369 -0.000851 0.000042 1.000000
1646305720.443215 -0.001623 -0.000191 -0.001871 0.000647 -0.000968 0.000009 0.999999
1646305720.483102 -0.001659 -0.000099 -0.003521 0.000408 -0.000870 0.000016 1.000000
1646305720.526981 -0.001856 -0.000774 -0.003274 0.000635 -0.000987 -0.000005 0.999999
1646305720.567997 -0.001360 -0.000499 -0.003190 0.000402 -0.000834 0.000032 1.000000
1646305720.622074 -0.001110 0.000841 -0.005341 0.000509 -0.001012 0.000038 0.999999
1646305720.667143 -0.001373 0.000864 -0.005381 0.000561 -0.000985 -0.000005 0.999999
1646305720.712095 -0.002027 0.000574 -0.004799 0.000428 -0.000924 0.000016 0.999999
1646305720.759476 -0.002101 -0.000284 -0.003632 0.000602 -0.001000 -0.000010 0.999999
1646305720.806628 -0.001980 -0.000716 -0.002193 0.000392 -0.000838 0.000054 1.000000
1646305720.848074 -0.002558 -0.001157 -0.000983 0.000677 -0.000907 0.000045 0.999999
1646305720.893071 -0.002081 -0.001222 -0.001237 0.000394 -0.000859 0.000037 1.000000
1646305720.934747 -0.002159 -0.001465 -0.000688 0.000673 -0.000939 -0.000001 0.999999
1646305720.976477 -0.001624 -0.001015 -0.001839 0.000386 -0.000876 0.000029 1.000000
1646305721.019423 -0.001797 -0.001153 -0.001280 0.000674 -0.000950 0.000002 0.999999
1646305721.062623 -0.001569 -0.000614 -0.002724 0.000414 -0.000876 0.000043 1.000000
1646305721.103034 -0.001849 -0.000853 -0.001917 0.000644 -0.000949 0.000003 0.999999
1646305721.150585 -0.001800 -0.000343 -0.003134 0.000431 -0.000798 0.000022 1.000000
1646305721.199517 -0.001921 -0.000599 -0.002437 0.000637 -0.000932 0.000016 0.999999
1646305721.245701 -0.001388 0.000327 -0.002190 0.000409 -0.000864 0.000011 1.000000
1646305721.288646 -0.001799 -0.000546 -0.001537 0.000653 -0.000930 -0.000002 0.999999
1646305721.337228 -0.001585 0.000037 -0.002582 0.000413 -0.000851 0.000024 1.000000
1646305721.378947 -0.001598 0.000022 -0.003348 0.000606 -0.000958 0.000013 0.999999
1646305721.422461 -0.001388 0.001025 -0.004130 0.000424 -0.000899 0.000002 1.000000
1646305721.469855 -0.001447 0.000384 -0.004401 0.000582 -0.001003 -0.000020 0.999999
1646305721.510767 -0.001502 0.000445 -0.002494 0.000404 -0.000838 0.000056 1.000000
1646305721.554436 -0.002318 -0.000096 -0.000964 0.000661 -0.000913 0.000031 0.999999
1646305721.596429 -0.002226 -0.000092 -0.001348 0.000405 -0.000855 0.000013 1.000000
1646305721.636369 -0.002492 -0.000632 -0.000526 0.000673 -0.000940 0.000039 0.999999
1646305721.678105 -0.001884 -0.000646 -0.001806 0.000402 -0.000871 0.000016 1.000000
1646305721.724904 -0.001876 -0.001063 -0.001617 0.000662 -0.000910 0.000013 0.999999
1646305721.765601 -0.001721 -0.001269 -0.001152 0.000370 -0.000858 0.000047 1.000000
1646305721.805068 -0.002148 -0.001496 -0.000446 0.000687 -0.000927 0.000031 0.999999
1646305721.848909 -0.001774 -0.000974 -0.002121 0.000397 -0.000819 0.000016 1.000000
1646305721.892896 -0.001864 -0.000932 -0.001985 0.000658 -0.000917 0.000006 0.999999
1646305721.935585 -0.001321 0.000229 -0.002331 0.000390 -0.000817 0.000037 1.000000
1646305721.978167 -0.001843 -0.000565 -0.001693 0.000656 -0.000970 -0.000007 0.999999
1646305722.024373 -0.001691 -0.000208 -0.002983 0.000393 -0.000841 0.000027 1.000000
1646305722.066533 -0.001836 -0.000631 -0.002345 0.000649 -0.000933 0.000007 0.999999
1646305722.110781 -0.001351 0.000189 -0.002319 0.000411 -0.000840 0.000038 1.000000
1646305722.149611 -0.001779 -0.000502 -0.001543 0.000659 -0.000944 0.000012 0.999999
1646305722.184601 -0.001881 -0.000466 -0.001875 0.000604 -0.000897 0.000005 0.999999
1646305722.221406 -0.001851 -0.000430 -0.002114 0.000385 -0.000838 0.000027 1.000000
1646305722.261936 -0.001684 -0.000392 -0.003139 0.000639 -0.000988 -0.000001 0.999999
1646305722.302504 -0.001346 0.000058 -0.003195 0.000396 -0.000883 0.000022 1.000000
1646305722.351280 -0.002063 -0.000607 -0.004727 0.000514 -0.000975 0.000026 0.999999
1646305722.397169 -0.001618 -0.000442 -0.004975 0.000585 -0.001027 0.000004 0.999999
1646305722.446722 -0.001862 -0.000847 -0.005535 0.000520 -0.000973 -0.000011 0.999999
1646305722.498940 -0.002098 -0.000540 -0.005134 0.000436 -0.000969 0.000015 0.999999
1646305722.541627 -0.001889 -0.000027 -0.004141 0.000592 -0.001009 0.000008 0.999999
1646305722.584157 -0.001253 0.000849 -0.003762 0.000416 -0.000849 0.000044 1.000000
1646305722.624769 -0.001781 0.000520 -0.003774 0.000592 -0.001009 -0.000014 0.999999
1646305722.665935 -0.001324 0.000691 -0.002599 0.000395 -0.000857 0.000032 1.000000
1646305722.705132 -0.001610 0.000093 -0.002781 0.000627 -0.000942 -0.000010 0.999999
1646305722.744954 -0.001520 0.000690 -0.002495 0.000396 -0.000879 0.000001 1.000000
1646305722.781888 -0.001510 0.000787 -0.003096 0.000602 -0.001024 -0.000020 0.999999
1646305722.822133 -0.001937 0.000251 -0.003357 0.000424 -0.000888 0.000017 1.000000
1646305722.861447 -0.001903 -0.000246 -0.003595 0.000610 -0.000991 -0.000006 0.999999
1646305722.902045 -0.001586 0.000519 -0.003260 0.000412 -0.000898 0.000021 1.000000
1646305722.942261 -0.001563 0.000657 -0.003500 0.000629 -0.000974 -0.000012 0.999999
1646305722.984943 -0.001010 0.000996 -0.003414 0.000424 -0.000926 0.000042 0.999999
1646305723.027976 -0.001568 0.000725 -0.003368 0.000591 -0.001019 0.000009 0.999999
1646305723.068494 -0.000766 -0.000655 -0.004508 -0.001486 -0.001096 -0.001439 0.999997
1646305723.107736 -0.000949 -0.003101 -0.009242 0.000136 0.000176 -0.004743 0.999989
1646305723.150537 -0.002585 -0.009618 -0.048058 -0.006462 0.025260 -0.012193 0.999586
1646305723.188725 -0.003926 -0.011374 -0.067944 -0.004697 0.038462 -0.014838 0.999139
1646305723.232320 -0.002296 -0.010202 -0.147586 -0.002153 0.050277 -0.016620 0.998595
1646305723.268295 0.001720 -0.006859 -0.178841 0.002966 0.043503 -0.013837 0.998953
1646305723.309337 0.017881 0.015697 -0.280691 0.029871 0.010418 0.005425 0.999485
1646305723.349349 0.028884 0.042330 -0.355165 0.063094 -0.005351 0.028256 0.997593
1646305723.387278 0.036875 0.074223 -0.432074 0.099316 -0.009541 0.054683 0.993507
1646305723.430143 0.045597 0.109088 -0.502870 0.130688 -0.003103 0.082962 0.987941
1646305723.476175 0.059825 0.159790 -0.611213 0.160219 0.017374 0.118480 0.979791
1646305723.521951 0.076641 0.214847 -0.697725 0.183866 0.040339 0.141603 0.971861
1646305723.571252 0.090265 0.255532 -0.745249 0.191772 0.049683 0.145697 0.969292
1646305723.606079 0.107299 0.295778 -0.780639 0.188866 0.054680 0.145367 0.969643
1646305723.645269 0.125253 0.340859 -0.808740 0.184933 0.056445 0.148583 0.969813
1646305723.682310 0.144468 0.387367 -0.825572 0.182288 0.055694 0.151578 0.969893
1646305723.718716 0.155316 0.413918 -0.831180 0.180723 0.053878 0.156143 0.969565
1646305723.758788 0.187088 0.496227 -0.841090 0.162198 0.041808 0.178162 0.969640
1646305723.795391 0.198652 0.525458 -0.838226 0.147751 0.035906 0.190977 0.969746
1646305723.838218 0.230182 0.619636 -0.833977 0.086592 0.019235 0.233649 0.968267
1646305723.879584 0.247526 0.691799 -0.826980 0.042273 0.002872 0.267532 0.962617
1646305723.921743 0.260406 0.771616 -0.829329 0.000485 -0.023120 0.303636 0.952508
1646305723.982721 0.272369 0.857200 -0.840166 -0.036217 -0.053969 0.338773 0.938620
1646305724.022812 0.276900 0.898505 -0.848695 -0.054712 -0.067802 0.355712 0.930526
1646305724.060720 0.297830 1.013382 -0.882072 -0.133603 -0.108134 0.392095 0.903725
1646305724.097984 0.319327 1.083800 -0.905876 -0.196523 -0.135136 0.402688 0.883719
1646305724.149539 0.349677 1.148807 -0.924489 -0.269285 -0.156920 0.397764 0.862928
1646305724.191827 0.384612 1.208645 -0.939218 -0.337473 -0.167816 0.385785 0.842093
1646305724.256566 0.424008 1.264897 -0.949140 -0.391510 -0.161908 0.363890 0.829512
1646305724.291963 0.471939 1.313310 -0.956466 -0.424730 -0.152825 0.341862 0.824245
1646305724.342054 0.526112 1.357061 -0.962014 -0.437864 -0.139539 0.319568 0.828662
1646305724.376682 0.589800 1.389730 -0.961847 -0.437901 -0.127505 0.294316 0.839859
1646305724.427134 0.660722 1.411732 -0.958649 -0.426611 -0.113874 0.264509 0.857363
1646305724.461359 0.731158 1.424814 -0.952055 -0.396450 -0.097539 0.232511 0.882753
1646305724.506472 0.803399 1.427544 -0.946604 -0.354396 -0.081514 0.201085 0.909573
1646305724.542919 0.876481 1.425765 -0.939093 -0.312508 -0.063658 0.170757 0.932270
1646305724.594479 0.950194 1.419839 -0.931829 -0.272494 -0.039741 0.139346 0.951184
1646305724.629045 1.022687 1.412858 -0.926335 -0.238175 -0.014892 0.108428 0.965036
1646305724.678825 1.094126 1.411971 -0.925121 -0.208501 0.006817 0.085442 0.974259
