# timestamp tx ty tz qx qy qz qw
1755529943.023632 -5.8939673019 8.1440467684 3.5011147832 0.000089 -0.000158 0.000041 1.000000
1755529943.349629 -5.8939775193 8.1438172816 3.5009803310 0.000181 -0.000083 0.000018 1.000000
1755529943.532032 -5.8944600819 8.1437009717 3.5007108902 0.000147 -0.000092 0.000052 1.000000
1755529943.709937 -5.8943224134 8.1431342533 3.5008928645 0.000152 -0.000014 0.000061 1.000000
1755529943.932364 -5.8943233559 8.1432057939 3.5011685909 0.000168 -0.000012 0.000058 1.000000
1755529944.164609 -5.8939760922 8.1437422522 3.5008175718 0.000131 0.000058 0.000088 1.000000
1755529944.371909 -5.8939364172 8.1434579228 3.5011467187 0.000148 -0.000038 0.000049 1.000000
1755529944.585574 -5.8938853126 8.1434287176 3.5011627618 0.000138 -0.000027 0.000052 1.000000
1755529944.824329 -5.8940670484 8.1436091704 3.5010543465 0.000129 -0.000032 0.000046 1.000000
1755529945.019974 -5.8941297004 8.1436593259 3.5010966449 0.000128 -0.000016 0.000051 1.000000
1755529945.201263 -5.8941741106 8.1436543443 3.5010298922 0.000115 -0.000034 0.000061 1.000000
1755529945.400984 -5.8941119923 8.1435816512 3.5010991096 0.000126 0.000001 0.000069 1.000000
1755529945.595043 -5.8939319609 8.1436884940 3.5009940130 0.000118 -0.000024 0.000056 1.000000
1755529945.876353 -5.8939218816 8.1435200267 3.5007562039 0.000096 0.000018 0.000061 1.000000
1755529946.086254 -5.8939664826 8.1434510378 3.5008110244 0.000159 -0.000041 0.000059 1.000000
1755529946.304464 -5.8941008786 8.1436561525 3.5008548842 0.000133 -0.000058 0.000046 1.000000
1755529946.489604 -5.8941266584 8.1436060897 3.5009664195 0.000123 -0.000036 0.000066 1.000000
1755529946.653965 -5.8940119276 8.1435954724 3.5010307866 0.000110 -0.000029 0.000052 1.000000
1755529946.889593 -5.8939678641 8.1435273376 3.5009798155 0.000132 -0.000016 0.000049 1.000000
1755529947.098714 -5.8939889863 8.1434734600 3.5009672833 0.000116 -0.000029 0.000072 1.000000
1755529947.297585 -5.8940512756 8.1434059790 3.5009678741 0.000127 -0.000017 0.000045 1.000000
1755529947.506977 -5.8940846844 8.1433539048 3.5009272031 0.000115 -0.000002 0.000057 1.000000
1755529947.694775 -5.8940740218 8.1433644550 3.5010086218 0.000128 -0.000035 0.000046 1.000000
1755529947.913638 -5.8940206263 8.1434697929 3.5010327849 0.000139 -0.000029 0.000043 1.000000
1755529948.075935 -5.8938686558 8.1436003333 3.5010228776 0.000114 -0.000036 0.000070 1.000000
1755529948.232589 -5.8938309759 8.1436317125 3.5010221182 0.000121 -0.000043 0.000051 1.000000
1755529948.391806 -5.8936751114 8.1438219118 3.5010856593 0.000102 -0.000057 0.000061 1.000000
1755529948.592484 -5.8937773403 8.1438869707 3.5009256793 0.000129 -0.000036 0.000071 1.000000
1755529948.769166 -5.8939059549 8.1437827250 3.5009055019 0.000125 -0.000030 0.000056 1.000000
1755529948.928622 -5.8939673865 8.1437562406 3.5009110466 0.000129 0.000019 0.000066 1.000000
1755529949.108927 -5.8939637766 8.1436461555 3.5010146093 0.000124 -0.000023 0.000068 1.000000
1755529949.279587 -5.8935355777 8.1439065554 3.5011115402 0.000142 -0.000071 0.000045 1.000000
1755529949.464630 -5.8936588113 8.1438704071 3.5011040035 0.000108 -0.000028 0.000054 1.000000
1755529949.630252 -5.8929816334 8.1441424543 3.5010125790 0.000119 -0.000026 0.000059 1.000000
1755529949.802670 -5.8933137379 8.1438623757 3.5009845511 0.000128 -0.000032 0.000068 1.000000
1755529949.975040 -5.8925247215 8.1441575390 3.5009832365 0.000114 -0.000042 0.000039 1.000000
1755529950.146589 -5.8930504973 8.1438806861 3.5010246277 0.000114 -0.000022 0.000036 1.000000
1755529950.308686 -5.8929214371 8.1440619433 3.5009425405 0.000130 -0.000023 0.000074 1.000000
1755529950.478791 -5.8934834827 8.1438760414 3.5009725114 0.000124 -0.000028 0.000022 1.000000
1755529950.647734 -5.8933431370 8.1440496177 3.5010184502 0.000123 -0.000041 0.000057 1.000000
1755529950.846326 -5.8937262434 8.1437323465 3.5008708208 0.000123 -0.000053 0.000044 1.000000
1755529951.043354 -5.8939477654 8.1436360409 3.5009025587 0.000119 -0.000041 0.000051 1.000000
1755529951.202986 -5.8939846502 8.1436461885 3.5008572647 0.000124 -0.000073 0.000076 1.000000
1755529951.410693 -5.8939339869 8.1437472916 3.5005971909 0.000120 -0.000011 0.000044 1.000000
1755529951.624115 -5.8937892915 8.1438126428 3.5006377062 0.000132 -0.000019 0.000066 1.000000
1755529951.807582 -5.8938177279 8.1436886589 3.5007615139 0.000106 -0.000046 0.000052 1.000000
1755529951.960407 -5.8937783040 8.1434556561 3.5009077687 0.000106 -0.000001 0.000068 1.000000
1755529952.138760 -5.8939270219 8.1433891248 3.5010192253 0.000129 -0.000032 0.000054 1.000000
1755529952.306821 -5.8937011066 8.1432314132 3.5009897240 0.000145 -0.000038 0.000077 1.000000
1755529952.473943 -5.8937929972 8.1434318910 3.5010060557 0.000140 -0.000037 0.000046 1.000000
1755529952.636523 -5.8936841548 8.1435606962 3.5009665013 0.000126 -0.000032 0.000071 1.000000
1755529952.811877 -5.8937556798 8.1435317003 3.5010258680 0.000143 -0.000048 0.000051 1.000000
1755529953.006293 -5.8938182914 8.1436077943 3.5009647247 0.000115 -0.000038 0.000053 1.000000
1755529953.184430 -5.8937182192 8.1435814188 3.5008844757 0.000139 -0.000033 0.000068 1.000000
1755529953.347731 -5.8938748594 8.1434115136 3.5009244265 0.000129 -0.000031 0.000058 1.000000
1755529953.503708 -5.8937172146 8.1435512383 3.5008657908 0.000132 -0.000058 0.000030 1.000000
1755529953.672188 -5.8940123970 8.1434993048 3.5009855586 0.000108 -0.000038 0.000037 1.000000
1755529953.835135 -5.8936825538 8.1435920981 3.5009542391 0.000110 -0.000012 0.000051 1.000000
1755529953.994115 -5.8936924584 8.1435856812 3.5010219792 0.000130 -0.000027 0.000060 1.000000
1755529954.157631 -5.8933814050 8.1437249739 3.5010184761 0.000112 -0.000006 0.000075 1.000000
1755529954.343465 -5.8934009639 8.1441322267 3.5009635248 0.000110 -0.000038 0.000041 1.000000
1755529954.544049 -5.8936275719 8.1440506328 3.5008174658 0.000122 -0.000063 0.000033 1.000000
1755529954.704368 -5.8934469853 8.1439902440 3.5008115776 0.000108 -0.000081 0.000040 1.000000
1755529954.879767 -5.8937567605 8.1439640653 3.5008026878 0.000121 -0.000037 0.000060 1.000000
1755529955.045395 -5.8936886096 8.1436759892 3.5009150650 0.000129 -0.000042 0.000038 1.000000
1755529955.219166 -5.8935077591 8.1435848263 3.5008884673 0.000144 -0.000036 0.000039 1.000000
1755529955.394107 -5.8933258929 8.1435229006 3.5008825615 0.000133 -0.000107 0.000071 1.000000
1755529955.566637 -5.8933665562 8.1433378352 3.5009057634 0.000101 -0.000081 0.000068 1.000000
1755529955.727369 -5.8940805685 8.1420990063 3.4996740336 -0.001781 -0.000333 -0.001413 0.999997
1755529955.899178 -5.8977164425 8.1397973479 3.4887930414 -0.001335 0.002924 -0.007870 0.999964
1755529956.050689 -5.9017955554 8.1404825163 3.4587715433 -0.006685 0.026100 -0.012247 0.999562
1755529956.251895 -5.9045168211 8.1439205437 3.3818141240 -0.004884 0.052344 -0.017212 0.998469
1755529956.424898 -5.8951576367 8.1433108603 3.3203305863 0.002494 0.043441 -0.013814 0.998957
1755529956.608449 -5.8667006409 8.1462435414 3.2224444704 0.029300 0.010712 0.005572 0.999498
1755529956.819125 -5.8225317784 8.1621885547 3.1168923976 0.080298 -0.008267 0.041288 0.995881
1755529957.001816 -5.7893062233 8.1785017811 3.0417102454 0.114084 -0.005389 0.069351 0.991033
1755529957.190423 -5.7568994358 8.1953125114 2.9699273922 0.140807 0.004310 0.095606 0.985401
1755529957.339041 -5.7223877002 8.2138601082 2.8982585345 0.159480 0.019932 0.118415 0.979871
1755529957.518807 -5.6883211154 8.2279719511 2.8418642773 0.175512 0.034486 0.135654 0.974476
1755529957.693424 -5.6291411528 8.2531230344 2.7697610161 0.191191 0.050644 0.145550 0.969379
1755529957.898602 -5.5387474158 8.2811629380 2.7060629064 0.184128 0.057332 0.148089 0.969989
1755529958.082887 -5.4620908586 8.3039216255 2.6831042284 0.179695 0.054850 0.155494 0.969806
1755529958.285456 -5.4095175935 8.3234565754 2.6768743959 0.170426 0.047734 0.168541 0.969675
1755529958.439133 -5.3513999397 8.3440111429 2.6801930855 0.146992 0.036633 0.190749 0.969880
1755529958.629631 -5.2917227430 8.3679919457 2.6812080968 0.107480 0.026053 0.218326 0.969589
1755529958.794608 -5.2275403597 8.3975448053 2.6921847946 0.063691 0.013400 0.250626 0.965894
1755529958.980473 -5.1601338537 8.4354440635 2.6950365858 0.019561 -0.008591 0.285360 0.958182
1755529959.171089 -5.0518797060 8.5017943740 2.6869820864 -0.036678 -0.052599 0.339068 0.938574
1755529959.385117 -4.9531726026 8.5685761574 2.6644701972 -0.104265 -0.094373 0.382950 0.913001
1755529959.566088 -4.8835554796 8.6022073089 2.6411453106 -0.164453 -0.120177 0.399542 0.893800
1755529959.702264 -4.8152581047 8.6283547012 2.6224692154 -0.232180 -0.146444 0.402130 0.873463
1755529959.860010 -4.7109451558 8.6492135508 2.5983392195 -0.337396 -0.166298 0.385778 0.842427
1755529960.144064 -4.6400248816 8.6490577011 2.5828353756 -0.391250 -0.161140 0.364846 0.829364
1755529960.306761 -4.5716746855 8.6432335530 2.5747016308 -0.423738 -0.151621 0.343044 0.824486
1755529960.584055 -4.4370225838 8.5998983412 2.5703404355 -0.436764 -0.126349 0.295167 0.840327
1755529960.929035 -4.3200341150 8.5152521078 2.5822403371 -0.395702 -0.096604 0.233340 0.882972
1755529961.157009 -4.2699843829 8.4623427666 2.5875094406 -0.354036 -0.080523 0.201493 0.909711
1755529961.302493 -4.2241318334 8.4053213214 2.5942276919 -0.312177 -0.062542 0.171396 0.932340
1755529961.549817 -4.1420569733 8.2839246348 2.6057046071 -0.238682 -0.013665 0.108455 0.964926
1755529961.866534 -4.0570602891 8.1704369527 2.5973982206 -0.181703 0.025559 0.070123 0.980517
1755529962.196660 -3.9767217013 8.1019434937 2.5725952592 -0.129088 0.054818 0.060269 0.988281
1755529962.376585 -3.9143490347 8.0627963936 2.5492762062 -0.082106 0.071769 0.066411 0.991815
1755529962.583552 -3.8486957067 8.0302957976 2.5247305219 -0.030441 0.082119 0.078347 0.993072
1755529962.744611 -3.7807467424 8.0018796735 2.5026811608 0.017399 0.088880 0.093585 0.991483
1755529962.940968 -3.7104692602 7.9787429676 2.4876576047 0.064096 0.097831 0.110249 0.986999
1755529963.124478 -3.5991645600 7.9517906921 2.4774979709 0.127861 0.116926 0.137397 0.975245
