# timestamp tx ty tz qx qy qz qw
1646305719.178248 -0.001577 0.000589 -0.000109 0.000020 -0.000097 0.000118 1.000000
1646305719.228246 -0.001905 0.000282 0.000089 0.000083 -0.000111 0.000066 1.000000
1646305719.278244 0.004249 -0.000676 -0.004961 -0.000442 -0.001390 -0.000311 0.999999
1646305719.353241 0.012143 0.011480 -0.001761 0.000031 0.003312 -0.000513 0.999994
1646305719.403239 0.011016 0.011933 -0.000484 0.000073 0.003787 -0.000120 0.999993
1646305719.453237 0.008949 0.012972 -0.000600 -0.000155 0.003795 -0.000314 0.999993
1646305719.553233 0.007287 0.013061 0.000816 -0.000186 0.004048 -0.000262 0.999992
1646305719.653229 0.005799 0.013398 0.002127 -0.000204 0.004095 -0.000194 0.999992
1646305719.703227 0.004081 0.013682 0.001707 -0.000145 0.004043 -0.000366 0.999992
1646305719.778224 0.005545 0.013648 0.001855 -0.000196 0.004102 -0.000215 0.999992
1646305719.853221 0.006527 0.012339 0.001551 -0.000211 0.004090 -0.000192 0.999992
1646305719.953217 0.006951 0.011669 0.001520 -0.000227 0.004104 -0.000192 0.999992
1646305720.053213 0.006938 0.011390 0.001144 -0.000227 0.004114 -0.000184 0.999991
1646305720.103211 0.006560 0.011786 0.000667 -0.000206 0.004148 -0.000230 0.999991
1646305720.153209 0.006357 0.011820 0.000796 -0.000223 0.004061 -0.000171 0.999992
1646305720.203207 0.006382 0.012115 0.000766 -0.000217 0.004175 -0.000240 0.999991
1646305720.303204 0.006279 0.012335 0.001192 -0.000243 0.004152 -0.000209 0.999991
1646305720.403199 0.006515 0.012236 0.001556 -0.000184 0.004136 -0.000215 0.999991
1646305720.503196 0.006178 0.012387 0.001218 -0.000203 0.004125 -0.000225 0.999991
1646305720.603192 0.006312 0.011991 0.001183 -0.000226 0.004160 -0.000214 0.999991
1646305720.678189 0.006641 0.012124 0.001243 -0.000215 0.004115 -0.000216 0.999991
1646305720.728187 0.006290 0.012339 0.001071 -0.000227 0.004079 -0.000176 0.999992
1646305720.778185 0.006775 0.012624 0.001149 -0.000220 0.004112 -0.000209 0.999991
