# timestamp tx ty tz qx qy qz qw
1646305719.203247 -0.000716 0.000459 -0.000272 0.000030 -0.000204 0.000027 1.000000
1646305719.303243 -0.000622 0.000368 -0.000692 0.000080 -0.000200 -0.000030 1.000000
1646305719.378240 -0.000648 -0.000193 -0.000491 0.000181 -0.000102 -0.000005 1.000000
1646305719.478236 0.001939 0.003711 -0.000238 -0.000090 -0.000319 -0.000177 1.000000
1646305719.553233 -0.000298 0.006345 0.001420 0.000000 0.000375 0.000010 1.000000
1646305719.628230 -0.003065 0.007321 0.002085 0.000097 0.000203 0.000151 1.000000
1646305719.703227 -0.003917 0.009261 0.003021 -0.000039 0.000436 0.000112 1.000000
1646305719.753225 -0.004093 0.009278 0.003161 0.000155 0.000557 0.000279 1.000000
1646305719.803223 -0.004403 0.010284 0.002230 0.000004 0.000392 -0.000127 1.000000
1646305719.853221 -0.004872 0.010538 0.001688 0.000102 0.000477 0.000274 1.000000
1646305719.903219 -0.004629 0.010936 0.001706 0.000012 0.000373 -0.000141 1.000000
1646305719.953217 -0.004566 0.011088 0.001480 0.000054 0.000511 0.000285 1.000000
1646305720.003215 -0.004335 0.011591 0.000980 0.000058 0.000399 -0.000086 1.000000
1646305720.053213 -0.004128 0.011624 0.000783 0.000033 0.000505 0.000249 1.000000
1646305720.103211 -0.003837 0.011541 0.000601 0.000027 0.000366 -0.000185 1.000000
1646305720.153209 -0.003678 0.011336 0.000695 0.000033 0.000475 0.000201 1.000000
1646305720.203207 -0.003678 0.011228 0.000670 0.000006 0.000399 -0.000192 1.000000
1646305720.253206 -0.003657 0.011060 0.000836 0.000014 0.000483 0.000237 1.000000
1646305720.303204 -0.003771 0.011067 0.000956 -0.000028 0.000351 -0.000301 1.000000
1646305720.403199 -0.002392 0.009304 0.001310 0.000081 0.000467 0.000051 1.000000
1646305720.503196 -0.002134 0.008820 0.002131 0.000054 0.000493 0.000120 1.000000
1646305720.603192 -0.001364 0.007761 0.002289 0.000043 0.000546 0.000123 1.000000
1646305720.703188 -0.001618 0.007549 0.001917 0.000062 0.000531 0.000106 1.000000
1646305720.803184 -0.001645 0.007500 0.001998 0.000045 0.000531 0.000120 1.000000
1646305720.853182 -0.002379 0.007500 0.002043 0.000058 0.000538 0.000154 1.000000
1646305720.903180 -0.002640 0.007923 0.001739 0.000022 0.000527 -0.000044 1.000000
1646305720.953178 -0.003301 0.008702 0.001921 0.000058 0.000506 0.000174 1.000000
1646305721.003176 -0.003495 0.009415 0.001914 0.000022 0.000485 -0.000121 1.000000
1646305721.053178 -0.003868 0.010825 0.001728 0.000060 0.000515 0.000196 1.000000
1646305721.103176 -0.004063 0.012069 0.001307 0.000012 0.000442 -0.000146 1.000000
1646305721.153174 -0.004214 0.012894 0.001164 0.000026 0.000499 0.000213 1.000000
1646305721.203172 -0.004525 0.013538 0.001170 -0.000003 0.000413 -0.000216 1.000000
1646305721.253170 -0.004364 0.013529 0.001387 0.000059 0.000530 0.000226 1.000000
1646305721.303168 -0.004576 0.013534 0.001432 0.000005 0.000404 -0.000207 1.000000
1646305721.353166 -0.004317 0.013114 0.001654 0.000041 0.000536 0.000222 1.000000
1646305721.478161 -0.002338 0.009686 0.002101 0.000048 0.000515 0.000105 1.000000
1646305721.603157 -0.001041 0.007693 0.002171 0.000050 0.000547 0.000121 1.000000
1646305721.703153 -0.000939 0.006895 0.001971 0.000046 0.000522 0.000099 1.000000
1646305721.803149 -0.001483 0.007141 0.001565 0.000062 0.000548 0.000109 1.000000
1646305721.903145 -0.002303 0.008097 0.001554 0.000050 0.000515 0.000076 1.000000
1646305722.003142 -0.002593 0.009925 0.001630 0.000047 0.000490 0.000080 1.000000
1646305722.078139 -0.002587 0.010919 0.001628 0.000042 0.000499 0.000097 1.000000
1646305722.128137 -0.003000 0.011380 0.001687 0.000040 0.000521 0.000173 1.000000
1646305722.178135 -0.002653 0.011486 0.001857 0.000041 0.000506 0.000068 1.000000
1646305722.228133 -0.002810 0.012132 0.001634 0.000044 0.000548 0.000171 1.000000
1646305722.278131 -0.002468 0.011957 0.001778 0.000039 0.000516 0.000086 1.000000
1646305722.403126 -0.001965 0.010416 0.001846 0.000021 0.000549 0.000098 1.000000
1646305722.528121 -0.001847 0.009626 0.002054 0.000072 0.000540 0.000103 1.000000
1646305722.653117 -0.002154 0.008845 0.001855 0.000072 0.000508 0.000085 1.000000
1646305722.753113 -0.002437 0.009461 0.001558 0.000030 0.000493 0.000093 1.000000
1646305722.853109 -0.001660 0.009077 0.001705 0.000062 0.000515 0.000093 1.000000
1646305722.953105 -0.001496 0.008948 0.001940 0.000034 0.000509 0.000045 1.000000
