# timestamp tx ty tz qx qy qz qw
1646305719.297895 -0.000496 0.000284 -0.000235 0.000075 -0.000135 -0.000048 1.000000
1646305719.397889 -0.000541 0.000232 -0.000680 0.000174 -0.000177 -0.000016 1.000000
1646305719.497880 -0.000027 -0.000043 -0.000530 0.000140 0.000009 0.000012 1.000000
1646305719.597877 -0.000126 -0.000563 -0.000522 0.000160 -0.000015 0.000060 1.000000
1646305719.697882 0.000181 -0.000343 -0.000295 0.000134 0.000073 0.000025 1.000000
1646305719.797906 -0.000111 -0.000078 -0.000299 0.000152 -0.000042 0.000014 1.000000
1646305719.897927 -0.000458 -0.000068 -0.000276 0.000137 -0.000016 0.000014 1.000000
1646305719.997936 -0.000458 -0.000046 -0.000262 0.000140 -0.000044 0.000018 1.000000
1646305720.097930 -0.000218 -0.000027 -0.000274 0.000118 -0.000002 0.000024 1.000000
1646305720.197923 -0.000274 0.000027 -0.000320 0.000114 0.000004 0.000005 1.000000
1646305720.297922 -0.000149 -0.000025 -0.000322 0.000106 -0.000030 0.000023 1.000000
1646305720.397938 -0.000065 -0.000153 -0.000298 0.000148 -0.000050 0.000006 1.000000
1646305720.497954 -0.000238 -0.000169 -0.000299 0.000134 -0.000051 0.000002 1.000000
1646305720.597933 -0.000182 -0.000129 -0.000278 0.000122 -0.000023 0.000011 1.000000
1646305720.697879 -0.000144 -0.000104 -0.000250 0.000137 -0.000024 0.000033 1.000000
1646305720.797826 -0.000030 -0.000170 -0.000193 0.000127 -0.000031 0.000023 1.000000
1646305720.897794 -0.000117 -0.000222 -0.000223 0.000123 0.000040 0.000009 1.000000
1646305720.997796 -0.000261 -0.000248 -0.000289 0.000133 -0.000028 0.000034 1.000000
1646305721.097797 -0.000322 -0.000043 -0.000385 0.000125 -0.000022 0.000008 1.000000
1646305721.197816 -0.000244 0.000128 -0.000206 0.000113 -0.000064 0.000030 1.000000
1646305721.297843 -0.000205 0.000141 -0.000205 0.000131 -0.000016 0.000007 1.000000
1646305721.397852 -0.000293 0.000058 -0.000259 0.000138 0.000044 0.000009 1.000000
1646305721.497855 -0.000257 0.000331 -0.000121 0.000134 -0.000036 0.000003 1.000000
1646305721.597849 -0.000154 0.000639 -0.000160 0.000109 -0.000001 0.000017 1.000000
1646305721.697859 0.000082 0.001004 -0.000371 0.000117 -0.000026 0.000001 1.000000
1646305721.797879 0.000059 0.000832 -0.000333 0.000126 0.000006 0.000023 1.000000
1646305721.897900 -0.000318 0.000565 -0.000198 0.000135 -0.000021 0.000008 1.000000
1646305721.997895 -0.000362 0.000002 -0.000199 0.000130 -0.000046 0.000004 1.000000
1646305722.097870 -0.000392 -0.000254 -0.000278 0.000126 -0.000048 0.000019 1.000000
1646305722.197870 -0.000259 -0.000224 -0.000529 0.000121 -0.000018 0.000007 1.000000
1646305722.297536 -0.000199 -0.000003 -0.000492 0.000124 -0.000013 0.000018 1.000000
1646305722.397900 -0.000066 0.000074 -0.000166 0.000108 -0.000015 0.000026 1.000000
1646305722.497892 -0.000069 0.000051 -0.000186 0.000149 -0.000021 0.000025 1.000000
1646305722.597865 -0.000151 0.000194 -0.000280 0.000137 -0.000019 0.000029 1.000000
1646305722.697817 -0.000133 0.000334 -0.000573 0.000128 -0.000069 0.000001 1.000000
1646305722.797780 0.000017 0.000087 -0.000339 0.000128 0.000002 0.000029 1.000000
1646305722.897789 0.000080 -0.000158 -0.000264 0.000134 -0.000031 -0.000006 1.000000
1646305722.997801 -0.000172 -0.000114 -0.000148 0.000108 0.000014 0.000012 1.000000
1646305723.097791 -0.000114 0.000153 -0.000207 0.000131 0.000003 0.000017 1.000000
1646305723.197771 -0.000268 0.000461 -0.000203 0.000093 -0.000040 -0.000017 1.000000
1646305723.297751 -0.000262 0.000477 -0.000296 0.000118 -0.000073 -0.000021 1.000000
1646305723.397750 -0.000309 0.000292 -0.000358 0.000123 -0.000030 0.000014 1.000000
1646305723.497767 -0.000195 0.000275 -0.000472 0.000139 -0.000070 0.000011 1.000000
1646305723.597786 0.000008 0.000288 -0.000604 0.000139 -0.000077 0.000014 1.000000
1646305723.697745 0.000930 -0.000438 0.000542 -0.001622 -0.000594 -0.000901 0.999998
1646305723.797465 -0.001101 -0.008128 -0.046691 -0.005742 0.022476 -0.011649 0.999663
1646305723.897544 -0.003432 -0.009603 -0.148162 -0.003352 0.051287 -0.017008 0.998533
1646305723.998423 0.015156 0.014750 -0.275851 0.026756 0.012925 0.003775 0.999551
1646305724.099443 0.036670 0.070625 -0.422749 0.094744 -0.009462 0.053048 0.994042
1646305724.199276 0.054692 0.138946 -0.569154 0.149681 0.010543 0.105774 0.983004
1646305724.282830 0.071196 0.198206 -0.670913 0.177002 0.036114 0.137256 0.973924
1646305724.387556 0.110535 0.288881 -0.784490 0.192582 0.056943 0.147240 0.968499
1646305724.487327 0.146924 0.380130 -0.830915 0.182603 0.057891 0.151021 0.969792
1646305724.587875 0.181350 0.485676 -0.839227 0.166593 0.045178 0.173524 0.969585
1646305724.688688 0.222262 0.606875 -0.834787 0.094317 0.022006 0.228091 0.968811
1646305724.789837 0.254500 0.754981 -0.825067 0.003078 -0.017316 0.298332 0.954300
1646305724.891429 0.278429 0.924321 -0.850853 -0.071531 -0.077772 0.368840 0.923467
1646305724.992172 0.318091 1.072981 -0.902941 -0.188609 -0.130845 0.404026 0.885477
1646305725.092897 0.379836 1.197825 -0.940199 -0.330091 -0.167167 0.388478 0.843907
1646305725.193126 0.463721 1.300592 -0.956367 -0.421694 -0.153392 0.346452 0.823782
1646305725.292407 0.576844 1.374665 -0.961304 -0.438707 -0.129220 0.300649 0.836928
1646305725.391196 0.711826 1.414775 -0.951813 -0.405609 -0.100592 0.240931 0.875965
1646305725.490046 0.856185 1.423914 -0.939901 -0.323172 -0.067586 0.178868 0.926821
1646305725.590654 1.005666 1.415139 -0.927857 -0.244767 -0.018142 0.113828 0.962706
1646305725.691840 1.151115 1.408860 -0.931415 -0.185840 0.023245 0.071697 0.979685
1646305725.793575 1.293853 1.433212 -0.962251 -0.112847 0.063023 0.060365 0.989773
1646305725.893900 1.431382 1.489036 -1.009466 -0.009424 0.086335 0.083721 0.992697
1646305725.992961 1.559428 1.566084 -1.047879 0.084180 0.102590 0.117121 0.984211
1646305726.088061 1.674846 1.654875 -1.062146 0.155798 0.127744 0.152019 0.967625
1646305726.184749 1.785540 1.748046 -1.059087 0.172712 0.142724 0.178741 0.958046
1646305726.282188 1.896122 1.845451 -1.032539 0.139732 0.125812 0.200831 0.961412
1646305726.381419 2.003060 1.948265 -0.988942 0.087003 0.056211 0.237905 0.965749
1646305726.481198 2.107288 2.062584 -0.963120 0.048071 0.014608 0.277365 0.959450
1646305726.581390 2.206901 2.183062 -0.952136 -0.001687 0.021247 0.319706 0.947277
1646305726.684646 2.308612 2.305186 -0.951451 -0.040467 0.019427 0.359340 0.932126
1646305726.785487 2.409760 2.419737 -0.962862 -0.060564 -0.014141 0.397992 0.915278
1646305726.885828 2.506657 2.520761 -0.983454 -0.084391 -0.027475 0.405438 0.909804
1646305726.986318 2.609482 2.614295 -0.986310 -0.110757 -0.028653 0.394417 0.911782
1646305727.086386 2.723340 2.706282 -0.971336 -0.129313 -0.015305 0.367660 0.920798
1646305727.186789 2.847444 2.794370 -0.961340 -0.135734 -0.010807 0.322241 0.936814
1646305727.287805 2.978156 2.863075 -0.958748 -0.131389 -0.027027 0.256276 0.957251
1646305727.389678 3.103222 2.918085 -0.957324 -0.106481 -0.042467 0.190423 0.974986
1646305727.492416 3.224089 2.968715 -0.947760 -0.085506 -0.044319 0.140273 0.985418
1646305727.594844 3.336726 3.013707 -0.929744 -0.063719 -0.034866 0.116817 0.990494
1646305727.696185 3.445556 3.050523 -0.914547 -0.037022 -0.034514 0.113724 0.992222
1646305727.796369 3.547957 3.075065 -0.905209 -0.008290 -0.045708 0.108107 0.993053
1646305727.895459 3.647900 3.093387 -0.897989 0.007764 -0.050868 0.110371 0.992557
1646305727.993201 3.754394 3.103186 -0.888888 -0.002614 -0.043041 0.106433 0.993384
1646305728.087125 3.869873 3.114583 -0.877014 -0.003356 -0.041336 0.093231 0.994780
1646305728.161156 3.963916 3.114159 -0.877184 0.010194 -0.042608 0.073484 0.996334
1646305728.269401 4.119762 3.107767 -0.891619 0.025766 -0.039352 0.039981 0.998093
1646305728.373975 4.247334 3.112932 -0.910324 0.026185 -0.027110 0.022628 0.999033
1646305728.478789 4.357665 3.139282 -0.891796 0.026823 -0.005384 0.030255 0.999168
1646305728.584410 4.473671 3.174840 -0.875079 0.021041 -0.013488 0.073987 0.996946
1646305728.687025 4.598674 3.208303 -0.895710 0.005768 -0.030696 0.126580 0.991465
