# timestamp tx ty tz qx qy qz qw
1646305719.753225 -0.000232 0.011743 -0.000116 -0.000578 0.000160 0.000021 1.000000
1646305720.253206 -0.001146 0.004636 -0.000539 -0.000193 0.000248 -0.000033 1.000000
1646305721.203172 -0.008334 -0.003537 -0.003960 -0.000317 0.000308 -0.000049 1.000000
1646305722.153136 -0.009835 0.003255 -0.001866 -0.000300 0.000275 -0.000003 1.000000
1646305722.953105 -0.000558 0.008857 0.000588 -0.000322 0.000251 -0.000022 1.000000
1646305723.353090 0.002062 0.007526 0.000358 -0.000382 0.000124 -0.000072 1.000000
1646305724.003066 0.017824 0.020389 -0.275845 0.028251 0.011995 0.004909 0.999517
1646305724.253053 0.061485 0.185703 -0.639776 0.168045 0.026770 0.127426 0.977142
1646305724.328050 0.082405 0.244414 -0.719638 0.188511 0.046278 0.144078 0.970342
1646305725.353011 0.668273 1.446670 -0.958538 -0.421182 -0.116793 0.268604 0.858380
1646305725.603001 1.018451 1.436910 -0.921453 -0.237911 -0.013130 0.107725 0.965205
1646305726.152980 1.717976 1.696086 -1.038485 0.171106 0.140961 0.166049 0.960875
1646305726.452969 2.067621 2.014805 -0.980646 0.065833 0.026964 0.260937 0.962731
1646305727.302937 3.011979 2.909668 -0.963743 -0.128638 -0.029297 0.251045 0.958942
1646305727.902914 3.651029 3.142347 -0.901362 0.007336 -0.049821 0.109051 0.992760
1646305728.452884 4.291437 3.126152 -0.889315 0.026311 -0.012459 0.024659 0.999272
1646305729.202854 5.239588 3.267587 -0.954294 -0.236097 0.006399 0.085505 0.967939
1646305729.352848 5.463675 3.208870 -0.942684 -0.275648 -0.000465 -0.018069 0.961089
1646305729.502842 5.676426 3.156019 -0.913160 -0.290229 0.013497 -0.066267 0.954565
1646305729.577839 5.785039 3.132069 -0.907788 -0.276758 -0.012357 -0.058183 0.959097
1646305729.802830 6.083268 3.092801 -0.933275 -0.172219 0.011526 -0.017475 0.984836
1646305729.952825 6.286668 3.088429 -0.918855 -0.087331 0.051101 0.040239 0.994054
1646305730.027822 6.393142 3.075529 -0.910260 -0.048906 0.040049 0.053080 0.996588
1646305730.102818 6.502860 3.046888 -0.910974 -0.030525 0.021910 0.039398 0.998517
1646305730.352809 6.818103 2.877653 -0.921067 -0.055221 0.028258 -0.072156 0.995463
1646305730.652797 7.045494 2.496084 -0.930515 -0.032337 0.027134 -0.386554 0.921300
1646305731.402767 6.911841 2.962945 -0.917982 -0.032307 -0.005487 0.910614 0.411956
1646305731.602759 7.363806 3.127901 -0.919671 -0.040845 0.019055 0.669202 0.741713
1646305732.502719 8.534931 3.288440 -0.862084 -0.048397 0.136595 0.219950 0.964687
1646305732.677712 8.641663 3.333007 -0.694292 -0.042841 0.092068 0.242020 0.964943
1646305733.702672 8.764615 3.427568 0.059852 -0.001658 0.027911 0.150729 0.988180
1646305733.802668 8.789706 3.456713 0.063300 0.004485 0.018701 0.147491 0.988876
1646305734.452642 8.920715 3.601133 0.048211 0.005207 0.000800 0.155175 0.987873
1646305734.527639 8.914561 3.575833 0.064509 0.005169 -0.001963 0.153150 0.988187
1646305734.677633 8.870677 3.530209 0.078962 0.007183 -0.002979 0.154679 0.987934
1646305734.852626 8.829285 3.481556 0.086699 0.008463 -0.005830 0.153735 0.988059
1646305734.977621 8.819823 3.491025 0.080267 0.009251 -0.007968 0.153731 0.988037
1646305735.052618 8.822426 3.494299 0.077690 0.008889 -0.007130 0.154087 0.987992
1646305735.127615 8.836581 3.510409 0.079529 0.008888 -0.006382 0.153587 0.988075
1646305735.252610 8.849830 3.526031 0.080961 0.008793 -0.006143 0.153685 0.988062
1646305735.352606 8.855999 3.532919 0.083482 0.008909 -0.008921 0.153706 0.988036
1646305735.452602 8.855972 3.534151 0.085231 0.008432 -0.007989 0.153242 0.988120
1646305735.602596 8.850810 3.534691 0.086608 0.006919 -0.003890 0.154466 0.987966
1646305735.752590 8.853446 3.526307 0.087759 0.004301 -0.001730 0.153768 0.988096
1646305736.702544 8.839226 3.515954 0.093852 -0.003895 0.001254 0.153995 0.988063
1646305737.002533 8.841122 3.528844 0.091000 -0.004082 0.001340 0.155519 0.987824
1646305737.902497 8.844963 3.554894 0.081617 -0.003956 0.001518 0.155800 0.987780
1646305738.202485 8.847525 3.530878 0.087903 -0.004028 0.001595 0.155763 0.987785
1646305738.652468 8.850992 3.505337 0.095748 -0.004038 0.001504 0.155746 0.987788
1646305739.502432 8.841899 3.516801 0.096888 -0.003845 0.001371 0.155684 0.987798
1646305740.002412 8.841675 3.538711 0.088707 -0.003990 0.001395 0.155693 0.987797
1646305740.502393 8.846977 3.542126 0.084996 -0.004034 0.001390 0.155785 0.987782
1646305741.427356 8.850373 3.535713 0.086805 -0.003895 0.001442 0.155739 0.987789
1646305742.352320 8.844458 3.536107 0.093046 -0.003890 0.001403 0.155780 0.987783
1646305742.577311 8.844217 3.532560 0.090448 -0.004096 0.001412 0.155782 0.987782
1646305743.002294 8.847004 3.523767 0.087917 -0.004032 0.001372 0.155773 0.987784
1646305743.452269 8.848779 3.523852 0.090060 -0.004002 0.001356 0.155730 0.987791
1646305744.452228 8.842082 3.548250 0.093215 -0.003978 0.001264 0.155824 0.987776
1646305745.077202 8.839043 3.547190 0.090941 -0.003982 0.001304 0.155760 0.987786
1646305745.177198 8.844731 3.536602 0.091029 -0.004056 0.001324 0.155880 0.987767
1646305745.652179 8.796006 3.370323 -0.232906 -0.068467 -0.031659 0.062932 0.995163
1646305745.752175 8.784400 3.361137 -0.379021 -0.064209 -0.035507 0.045179 0.996281
1646305745.852170 8.775415 3.343396 -0.502813 -0.064565 -0.013689 0.000661 0.997819
1646305745.927167 8.775350 3.323421 -0.572166 -0.066926 0.004532 -0.039417 0.996969
1646305746.202156 8.788747 3.250559 -0.699894 -0.055801 0.055652 -0.199702 0.976682
1646305746.327151 8.793635 3.207581 -0.718173 -0.051532 0.052453 -0.307161 0.948813
1646305747.302114 8.754078 2.516478 -0.762821 0.020155 0.014761 -0.681939 0.730982
1646305747.402110 8.761941 2.464687 -0.773643 0.019608 0.004679 -0.697494 0.716307
1646305748.402069 8.825877 1.517768 -0.816965 0.061320 -0.017193 -0.689857 0.721139
1646305748.802052 8.883123 0.951781 -0.797748 0.033553 -0.001058 -0.697529 0.715769
1646305749.852009 8.951867 -0.633378 -0.748979 0.025215 -0.008748 -0.714388 0.699241
1646305750.101999 8.924315 -0.949819 -0.789107 0.012849 -0.038483 -0.693547 0.719268
1646305750.251993 8.911658 -1.091161 -0.807586 0.017709 -0.018956 -0.683016 0.729942
1646305750.851968 8.902813 -1.839878 -0.869164 -0.082664 0.075297 -0.671528 0.732494
1646305751.851937 8.995036 -3.212821 -0.870664 -0.019022 -0.010532 -0.664648 0.746840
1646305752.351917 9.149837 -3.827770 -0.855180 0.197017 -0.164463 -0.592323 0.763735
1646305752.501911 9.205548 -4.017025 -0.855461 0.144718 -0.161054 -0.605343 0.765949
1646305752.651906 9.233737 -4.172325 -0.872687 0.104890 -0.145757 -0.604845 0.775832
1646305752.751902 9.244016 -4.291872 -0.880278 0.070835 -0.101761 -0.606040 0.785712
1646305753.401876 9.167820 -5.098038 -0.907621 -0.134777 0.182117 -0.660661 0.715678
1646305753.601869 9.091241 -5.332213 -0.896206 -0.192814 0.231522 -0.724156 0.620337
1646305753.801861 8.924895 -5.488278 -0.862430 -0.211377 0.347700 -0.773970 0.485175
1646305754.801822 7.674715 -5.495174 -0.793136 -0.002140 -0.303472 0.942009 0.143246
1646305755.351800 6.807496 -5.362619 -0.856803 -0.037184 -0.156376 0.979862 0.118465
1646305756.101769 5.551922 -5.275713 -0.910104 -0.007930 -0.059305 0.997297 0.042650
1646305756.351759 5.136344 -5.341884 -0.897415 0.027756 0.035972 -0.998884 0.012928
1646305756.851740 4.380601 -5.452353 -0.891673 0.023701 0.041050 -0.997750 0.047422
1646305757.176727 3.982709 -5.535263 -0.919953 0.021303 0.008981 -0.996256 0.083305
