# timestamp tx ty tz qx qy qz qw
1646305719.753225 -0.000117 0.011616 -0.000046 -0.000837 0.000223 0.000024 1.000000
1646305720.053213 -0.000511 0.004092 -0.000393 -0.000277 0.000182 -0.000037 1.000000
1646305720.653190 0.002055 -0.004977 -0.001772 -0.000344 0.000172 -0.000098 1.000000
1646305721.353166 -0.003406 0.001851 -0.000434 -0.000300 0.000456 -0.000047 1.000000
1646305722.253132 -0.009665 0.012791 -0.001271 -0.000298 0.000486 -0.000090 1.000000
1646305722.353128 -0.001659 0.008246 -0.000746 -0.000491 0.000098 -0.000025 1.000000
1646305722.753113 0.012950 0.000121 0.000661 -0.000387 0.000196 -0.000059 1.000000
1646305723.553083 0.011094 -0.004515 0.000078 -0.000326 0.000287 -0.000152 1.000000
1646305724.003066 0.012940 0.020916 -0.277351 0.028271 0.012242 0.004880 0.999513
1646305724.503043 0.131460 0.406617 -0.829111 0.181782 0.057413 0.151669 0.969874
1646305725.153018 0.414050 1.288891 -0.949793 -0.384972 -0.163647 0.368017 0.830409
1646305725.453007 0.796780 1.440254 -0.945239 -0.353881 -0.080233 0.201669 0.909758
1646305725.652999 1.093662 1.410647 -0.921959 -0.208712 0.008428 0.085690 0.974179
1646305726.152980 1.738414 1.700393 -1.043693 0.170951 0.140842 0.166371 0.960864
1646305726.502967 2.119523 2.085588 -0.978063 0.042265 0.017454 0.280910 0.958644
1646305726.702960 2.320181 2.326947 -0.953123 -0.043226 0.014251 0.362749 0.930775
1646305727.552927 3.268961 3.014171 -0.935866 -0.075251 -0.038905 0.125224 0.988505
1646305727.752920 3.502750 3.077665 -0.911502 -0.020825 -0.038996 0.109989 0.992949
1646305728.002910 3.781785 3.110631 -0.886535 -0.003222 -0.042295 0.105111 0.993555
1646305728.402886 4.260287 3.110647 -0.893397 0.024625 -0.022514 0.024572 0.999141
1646305729.002862 4.948410 3.323180 -0.957083 -0.185059 0.017371 0.200708 0.961856
1646305729.352848 5.449438 3.239993 -0.947664 -0.275438 0.000081 -0.018081 0.961149
1646305729.502842 5.665839 3.169196 -0.912470 -0.290673 0.013936 -0.066415 0.954413
1646305730.102818 6.520928 3.029397 -0.918133 -0.031157 0.023708 0.039064 0.998469
1646305730.402807 6.879571 2.833989 -0.918426 -0.056167 0.030526 -0.101343 0.992796
1646305730.852789 6.905440 2.296567 -0.938695 0.002052 0.036721 -0.720986 0.691973
1646305731.102779 6.715921 2.448636 -0.920135 -0.002603 0.030410 -0.972089 0.232617
1646305731.552761 7.261995 3.111233 -0.927758 -0.045480 0.014982 0.738336 0.672731
1646305732.002743 7.996497 3.117042 -0.852343 -0.007252 0.028543 0.251445 0.967424
1646305732.302727 8.327962 3.213877 -0.938607 -0.007791 0.131249 0.184689 0.973962
1646305732.802707 8.704714 3.398846 -0.589801 -0.022442 0.069928 0.245626 0.966579
1646305733.252690 8.786589 3.456525 -0.146840 -0.028809 0.092910 0.213032 0.972191
1646305733.702672 8.828889 3.491620 0.017524 -0.001950 0.028017 0.150777 0.988169
1646305733.852666 8.843213 3.495780 0.028262 0.005124 0.018990 0.147185 0.988913
1646305734.002660 8.853630 3.506920 0.037354 0.003900 0.015651 0.147251 0.988968
1646305734.352646 8.872109 3.513728 0.053931 0.005439 0.001596 0.152113 0.988347
1646305735.002620 8.862738 3.521882 0.070500 0.009144 -0.007150 0.153572 0.988069
1646305735.152614 8.859688 3.513134 0.072508 0.008899 -0.005255 0.153165 0.988147
1646305735.252610 8.859218 3.513110 0.074817 0.008780 -0.005537 0.153529 0.988090
1646305735.352606 8.859327 3.515807 0.077237 0.008833 -0.008457 0.153657 0.988049
1646305735.552598 8.860811 3.519286 0.078859 0.007186 -0.005158 0.154012 0.988029
1646305736.402556 8.851965 3.526218 0.077725 -0.004562 0.001924 0.153578 0.988124
1646305736.602548 8.855948 3.514434 0.080347 -0.004631 0.001786 0.153570 0.988125
1646305736.902537 8.861266 3.501131 0.083352 -0.004685 0.001718 0.154043 0.988052
1646305737.902497 8.856360 3.501022 0.080324 -0.004546 0.002011 0.155528 0.987819
1646305738.602470 8.847413 3.524369 0.075328 -0.004601 0.002100 0.155544 0.987816
1646305739.452434 8.842566 3.535947 0.074639 -0.004489 0.002032 0.155476 0.987827
1646305740.302401 8.848256 3.530420 0.079579 -0.004445 0.001980 0.155471 0.987828
1646305741.052371 8.856835 3.517091 0.081253 -0.004562 0.002016 0.155545 0.987816
1646305741.452355 8.855227 3.513051 0.080903 -0.004526 0.001918 0.155578 0.987811
1646305741.702345 8.853876 3.516176 0.080526 -0.004632 0.001943 0.155581 0.987810
1646305742.552312 8.850114 3.527370 0.077870 -0.004519 0.002036 0.155498 0.987824
1646305742.802302 8.852771 3.520852 0.079760 -0.004615 0.001959 0.155591 0.987809
1646305742.902298 8.855312 3.514272 0.080870 -0.004602 0.001928 0.155573 0.987812
1646305743.902251 8.865042 3.489886 0.083901 -0.004602 0.001946 0.155506 0.987822
1646305744.177239 8.855870 3.513359 0.080136 -0.004582 0.001881 0.155533 0.987818
1646305744.302234 8.852860 3.522252 0.079324 -0.004567 0.001926 0.155583 0.987810
1646305744.527225 8.853161 3.522910 0.079380 -0.004600 0.001980 0.155587 0.987809
1646305744.677219 8.854750 3.517440 0.080505 -0.004602 0.001976 0.155570 0.987812
1646305745.177198 8.857232 3.507342 0.082009 -0.004584 0.001942 0.155520 0.987820
1646305745.302193 8.857914 3.509372 0.080756 -0.006483 -0.000090 0.155926 0.987748
1646305745.402189 8.858408 3.493207 0.046387 -0.013256 -0.039806 0.141390 0.989064
