# timestamp tx ty tz qx qy qz qw
1646305720.053213 -0.000731 0.000730 -0.000290 0.000037 -0.000060 0.000034 1.000000
1646305720.203207 -0.000464 -0.000808 -0.000171 0.000106 0.000193 -0.000065 1.000000
1646305720.953178 -0.000962 0.000045 -0.000699 0.000245 0.000400 0.000022 1.000000
1646305721.603157 -0.005788 0.002662 -0.000259 0.000219 0.000492 -0.000022 1.000000
1646305722.003142 -0.003824 0.003396 -0.000372 0.000139 0.000255 -0.000041 1.000000
1646305722.328129 0.000700 0.000348 0.000075 0.000140 0.000200 -0.000035 1.000000
1646305722.753113 0.002503 -0.000580 -0.000512 0.000176 0.000214 0.000019 1.000000
1646305723.253094 -0.000136 0.000576 0.000144 0.000165 0.000342 -0.000050 1.000000
1646305723.503084 -0.001202 0.000870 0.000345 0.000136 0.000160 -0.000023 1.000000
1646305723.753075 -0.000814 -0.003651 -0.015609 -0.004055 0.004459 -0.007591 0.999953
1646305724.128057 0.041166 0.090033 -0.466583 0.112290 -0.006472 0.068074 0.991320
1646305724.553041 0.169716 0.439703 -0.840142 0.176020 0.052783 0.160628 0.969757
1646305725.053022 0.350048 1.150197 -0.921136 -0.265135 -0.156155 0.400386 0.863140
1646305725.603001 1.012662 1.414572 -0.925503 -0.240364 -0.013279 0.108643 0.964492
1646305725.752996 1.232165 1.416554 -0.948728 -0.150223 0.045515 0.060800 0.985731
1646305726.002986 1.567727 1.567180 -1.055881 0.086062 0.104916 0.117734 0.983730
1646305727.002948 2.601406 2.646227 -1.006356 -0.112336 -0.028588 0.392912 0.912241
1646305727.227940 2.885305 2.827811 -0.971492 -0.136628 -0.015774 0.299953 0.943988
1646305727.802918 3.569845 3.065245 -0.877978 -0.007845 -0.045576 0.107272 0.993154
1646305728.352888 4.183685 3.101980 -0.886262 0.026123 -0.032898 0.030105 0.998664
1646305728.552880 4.436005 3.150037 -0.889684 0.022712 -0.010180 0.052457 0.998313
1646305728.852868 4.780578 3.284128 -0.950164 -0.098130 -0.012942 0.197353 0.975323
1646305729.002862 4.960559 3.324062 -0.966860 -0.186559 0.018464 0.200331 0.961625
1646305729.452844 5.589850 3.157810 -0.916951 -0.291048 0.017900 -0.063197 0.954451
1646305729.602839 5.813043 3.100246 -0.910258 -0.267940 -0.015573 -0.056388 0.961658
1646305729.852829 6.151741 3.089122 -0.944784 -0.140680 0.031532 0.004675 0.989542
1646305730.252813 6.690712 2.965750 -0.937518 -0.039898 0.010450 -0.018797 0.998972
1646305730.452805 6.930074 2.791045 -0.915488 -0.055941 0.032518 -0.137195 0.988428
1646305730.652797 7.042147 2.499418 -0.927494 -0.032587 0.027117 -0.386831 0.921176
1646305730.802791 6.967938 2.315604 -0.937749 -0.004812 0.038225 -0.645539 0.762755
1646305731.002783 6.785965 2.320204 -0.928499 0.010093 0.018345 -0.902436 0.430314
1646305732.027742 7.998215 3.100550 -0.873875 -0.005550 0.031246 0.238328 0.970666
1646305732.252729 8.278413 3.192762 -0.934243 -0.000992 0.112439 0.188888 0.975540
1646305733.052698 8.827029 3.493823 -0.310637 -0.041198 0.103815 0.225255 0.967877
1646305733.127695 8.837512 3.487044 -0.254605 -0.039299 0.101205 0.221593 0.969077
1646305733.302688 8.827505 3.473749 -0.141978 -0.023606 0.089014 0.205790 0.974253
1646305734.252650 8.682382 3.373096 -0.085347 0.002438 0.003836 0.144646 0.989473
1646305734.452642 8.688518 3.369420 -0.084568 0.002326 0.006424 0.153809 0.988077
1646305734.802628 8.713592 3.376228 -0.067066 0.004968 0.002339 0.151970 0.988370
1646305735.402604 8.735856 3.410649 -0.015720 0.006115 -0.003691 0.150103 0.988645
1646305735.652594 8.731826 3.419519 -0.005897 0.004023 0.002574 0.150313 0.988627
1646305735.827587 8.729558 3.394333 -0.009492 -0.000605 0.003657 0.149625 0.988736
1646305736.352558 8.701015 3.350289 -0.048130 -0.007195 0.007774 0.150468 0.988558
1646305736.952535 8.682709 3.358670 -0.080342 -0.007355 0.007882 0.151398 0.988414
1646305737.502513 8.696606 3.386638 -0.064041 -0.007247 0.008166 0.153084 0.988153
1646305738.052491 8.715261 3.396455 -0.032858 -0.007196 0.008084 0.152809 0.988197
1646305738.152487 8.723933 3.384817 -0.043881 -0.007119 0.007792 0.152780 0.988204
1646305738.352479 8.730844 3.376128 -0.055897 -0.007219 0.007778 0.152766 0.988205
1646305738.752464 8.721563 3.373976 -0.062629 -0.007271 0.008005 0.152782 0.988201
1646305739.502432 8.682265 3.378620 -0.051633 -0.007170 0.008061 0.152590 0.988231
1646305740.127407 8.686106 3.385087 -0.041201 -0.007148 0.007896 0.152704 0.988215
1646305740.252403 8.719465 3.385274 -0.046994 -0.007187 0.007768 0.152782 0.988203
1646305740.352398 8.739440 3.386490 -0.050297 -0.007226 0.007820 0.152720 0.988212
1646305740.477394 8.743825 3.385925 -0.050918 -0.007215 0.007785 0.152741 0.988209
1646305740.702385 8.731543 3.386100 -0.048036 -0.007181 0.007796 0.152763 0.988206
1646305741.002373 8.708358 3.385675 -0.044859 -0.007223 0.007851 0.152736 0.988209
1646305741.952336 8.653553 3.381902 -0.040797 -0.007215 0.007828 0.152912 0.988182
1646305742.252324 8.708486 3.381209 -0.049399 -0.007183 0.007894 0.152771 0.988204
1646305743.252277 8.806802 3.378895 -0.067069 -0.007282 0.008082 0.152561 0.988234
1646305744.102242 8.712617 3.373515 -0.056306 -0.007259 0.007941 0.152627 0.988225
1646305744.852211 8.639525 3.380409 -0.040398 -0.007216 0.007837 0.152768 0.988205
1646305745.402189 8.668312 3.361102 -0.075777 -0.015776 -0.033272 0.138640 0.989658
1646305745.902169 8.645473 3.237331 -0.629526 -0.069244 0.002070 -0.027416 0.997221
1646305746.802131 8.769921 2.934268 -0.715624 -0.013494 0.001802 -0.578105 0.815849
1646305747.402110 8.815533 2.463568 -0.745009 0.019418 0.004929 -0.697239 0.716559
1646305748.427068 8.864050 1.235191 -0.803013 0.058659 -0.019358 -0.691884 0.719361
1646305748.852050 8.878630 0.770057 -0.806139 0.033200 -0.000457 -0.692536 0.720618
1646305749.202036 8.921421 0.422920 -0.810193 0.026625 -0.005810 -0.677132 0.735357
1646305749.977004 8.919250 -0.420518 -0.777905 0.015641 -0.029658 -0.699325 0.714017
1646305750.776971 8.885766 -1.495730 -0.836891 -0.063425 0.069970 -0.687984 0.719555
1646305750.951964 8.937080 -1.735112 -0.866577 -0.088987 0.072092 -0.643824 0.756555
1646305751.401954 9.027644 -2.308456 -0.904318 -0.188073 0.151212 -0.616058 0.749824
1646305751.551948 9.022447 -2.494778 -0.886766 -0.149280 0.074722 -0.632928 0.755999
1646305751.651944 9.005853 -2.618144 -0.877004 -0.115842 0.037969 -0.650058 0.750042
1646305752.251921 9.066197 -3.381084 -0.868958 0.190096 -0.179487 -0.585221 0.767570
1646305752.801900 9.212025 -4.136229 -0.880732 0.047483 -0.074819 -0.604973 0.791300
1646305753.251882 9.230989 -4.694267 -0.907398 -0.087992 0.094075 -0.623315 0.771288
1646305753.651866 9.037112 -5.106205 -0.890392 -0.199552 0.252211 -0.741670 0.588638
1646305753.751863 8.937715 -5.170906 -0.872083 -0.207380 0.319421 -0.766769 0.516748
1646305753.826860 8.856287 -5.214163 -0.856114 -0.215237 0.359522 -0.775553 0.472160
1646305753.926856 8.745830 -5.278621 -0.843604 -0.225681 0.385148 -0.785388 0.428829
1646305754.001853 8.658180 -5.315165 -0.837434 -0.220600 0.392911 -0.802888 0.390292
1646305754.151847 8.482263 -5.350704 -0.815135 -0.196518 0.395086 -0.851141 0.284336
1646305754.251843 8.350677 -5.352308 -0.791240 -0.166423 0.406485 -0.876593 0.196618
1646305754.451836 8.097604 -5.321827 -0.767097 -0.107488 0.370777 -0.921311 0.046448
1646305754.526833 8.007861 -5.294820 -0.770627 -0.091780 0.343993 -0.934456 -0.006091
1646305755.301802 7.073436 -5.070331 -0.852934 -0.037649 -0.161787 0.979762 0.111683
1646305755.401798 6.976903 -5.023188 -0.848853 -0.030225 -0.145022 0.980629 0.128150
1646305756.401757 5.758898 -5.005580 -0.884632 0.023154 0.038874 -0.998890 0.013088
1646305757.201726 4.558917 -5.270135 -0.922434 0.025712 0.004098 -0.996079 0.084551
1646305757.451717 4.291662 -5.311656 -0.908444 0.037987 -0.019985 -0.997055 0.063554
1646305757.526714 4.233610 -5.319049 -0.906697 0.034502 -0.042917 -0.996338 0.065407
1646305757.701707 4.176060 -5.316009 -0.901894 0.031936 -0.072014 -0.991596 0.102624
1646305757.801703 4.151573 -5.331358 -0.895724 0.026372 -0.070590 -0.985018 0.155116
1646305758.651670 4.141249 -5.466953 -0.781328 -0.085211 -0.086705 -0.873672 0.471083
1646305758.901660 4.141968 -5.522866 -0.847231 0.054274 -0.165468 -0.859979 0.479699
1646305759.051654 4.123486 -5.548215 -0.888278 0.179007 -0.241046 -0.829960 0.470126
1646305759.951619 4.329638 -5.713512 -0.744570 0.249988 -0.360886 -0.657489 0.612353
1646305760.051611 4.384784 -5.734320 -0.751496 0.262542 -0.358434 -0.635747 0.631207
1646305760.426597 4.565666 -5.834772 -0.772319 0.277232 -0.308298 -0.566029 0.712535
1646305760.551592 4.616778 -5.892044 -0.770205 0.269674 -0.296267 -0.543400 0.737711
1646305760.776583 4.724810 -6.037387 -0.770114 0.251255 -0.278728 -0.520133 0.767232
1646305760.851580 4.779062 -6.098083 -0.768142 0.253261 -0.274672 -0.515654 0.771048
1646305761.051572 4.893526 -6.291370 -0.774927 0.220740 -0.248886 -0.551489 0.764977
1646305761.151568 4.953487 -6.385341 -0.789372 0.197677 -0.241407 -0.566711 0.762552
1646305761.251564 5.005382 -6.477318 -0.807367 0.180803 -0.223535 -0.574955 0.766008
1646305761.501554 5.082746 -6.757396 -0.837607 0.064509 -0.111133 -0.612712 0.779790
1646305761.701547 5.092262 -6.989632 -0.869751 -0.079690 -0.001595 -0.640890 0.763484
1646305762.601511 4.614480 -7.723761 -0.830114 -0.116134 0.313593 -0.891863 0.304555
1646305763.001496 4.423785 -7.790396 -0.679434 -0.065301 0.116480 -0.985434 0.105297
1646305763.151489 4.404850 -7.781722 -0.639324 -0.026927 0.063729 -0.995898 0.058312
1646305763.251486 4.400065 -7.779230 -0.625430 -0.000170 0.026862 -0.998234 0.052987
1646305763.401480 4.360745 -7.797085 -0.597281 0.043567 -0.007924 -0.997395 0.056937
1646305763.551474 4.267218 -7.831882 -0.543037 0.079636 -0.015281 -0.995141 0.055853
