# timestamp tx ty tz qx qy qz qw
1646305719.203247 -0.000730 -0.000343 0.000401 0.000117 -0.000168 -0.000074 1.000000
1646305719.303243 0.000976 0.001547 0.001653 0.003394 -0.000697 -0.001852 0.999992
1646305719.378240 0.001491 0.001967 0.001948 0.003364 -0.000812 -0.001862 0.999992
1646305719.453237 0.001369 0.001811 0.002169 0.003381 -0.000742 -0.001811 0.999992
1646305719.503235 0.002531 -0.000116 0.002129 0.003375 -0.000751 -0.001781 0.999992
1646305719.553233 0.001465 0.001607 0.002078 0.003376 -0.000747 -0.001844 0.999992
1646305719.653229 0.000928 0.003334 0.002718 0.003370 -0.000742 -0.001794 0.999992
1646305719.753225 0.001114 0.003353 0.002795 0.003405 -0.000759 -0.001816 0.999992
1646305719.803223 0.001309 0.002647 0.002546 0.003369 -0.000744 -0.001865 0.999992
1646305719.853221 0.001233 0.002175 0.002165 0.003370 -0.000767 -0.001837 0.999992
1646305719.903219 0.001423 0.001660 0.001797 0.003364 -0.000769 -0.001835 0.999992
1646305720.003215 0.001493 0.001681 0.001663 0.003387 -0.000765 -0.001821 0.999992
1646305720.103211 0.001528 0.002289 0.001946 0.003358 -0.000728 -0.001811 0.999992
1646305720.253206 0.001115 0.004098 0.002024 0.003352 -0.000727 -0.001825 0.999992
1646305720.353202 0.001374 0.003346 0.002175 0.003357 -0.000754 -0.001819 0.999992
1646305720.453198 0.001331 0.002547 0.002656 0.003382 -0.000760 -0.001835 0.999992
1646305720.503196 0.001284 0.002131 0.002832 0.003359 -0.000783 -0.001837 0.999992
1646305720.553194 0.001163 0.002040 0.002806 0.003373 -0.000748 -0.001814 0.999992
1646305720.603192 0.001372 0.001509 0.002761 0.003343 -0.000742 -0.001828 0.999992
1646305720.653190 0.001043 0.001421 0.002548 0.003382 -0.000760 -0.001818 0.999992
1646305720.703188 0.001228 0.001470 0.002351 0.003367 -0.000745 -0.001841 0.999992
1646305720.753186 0.001143 0.001840 0.002335 0.003372 -0.000762 -0.001809 0.999992
1646305720.803184 0.001319 0.001906 0.002321 0.003353 -0.000760 -0.001814 0.999992
1646305720.853182 0.000973 0.002155 0.002431 0.003369 -0.000742 -0.001815 0.999992
1646305720.953178 0.001397 0.002578 0.002445 0.003372 -0.000735 -0.001839 0.999992
1646305721.053178 0.001530 0.002814 0.002261 0.003377 -0.000752 -0.001842 0.999992
1646305721.153174 0.001371 0.002897 0.002158 0.003362 -0.000763 -0.001827 0.999992
1646305721.203172 0.001291 0.002898 0.002329 0.003342 -0.000778 -0.001830 0.999992
1646305721.253170 0.001089 0.002931 0.002638 0.003398 -0.000744 -0.001819 0.999992
1646305721.303168 0.001089 0.002347 0.002707 0.003356 -0.000767 -0.001812 0.999992
1646305721.403164 0.000816 0.002001 0.002264 0.003375 -0.000679 -0.001824 0.999992
1646305721.503160 0.001182 0.002782 0.001925 0.003387 -0.000788 -0.001841 0.999992
1646305721.553159 0.001327 0.002698 0.001827 0.003338 -0.000769 -0.001821 0.999992
1646305721.653155 0.001503 0.002531 0.002348 0.003378 -0.000737 -0.001802 0.999992
1646305721.728152 0.001747 0.002410 0.002382 0.003366 -0.000753 -0.001851 0.999992
1646305721.853147 0.001617 0.002836 0.002269 0.003372 -0.000699 -0.001848 0.999992
1646305721.953143 0.001442 0.002807 0.002183 0.003361 -0.000756 -0.001818 0.999992
1646305722.053140 0.001263 0.002671 0.002364 0.003372 -0.000762 -0.001834 0.999992
1646305722.153136 0.001175 0.002272 0.002253 0.003371 -0.000771 -0.001814 0.999992
1646305722.203134 0.000803 0.002874 0.002290 0.003346 -0.000744 -0.001843 0.999992
1646305722.253132 0.000892 0.002596 0.002372 0.003370 -0.000754 -0.001825 0.999992
1646305722.303130 0.000922 0.002023 0.002348 0.003365 -0.000750 -0.001823 0.999992
1646305722.353128 0.000964 0.001427 0.002472 0.003361 -0.000754 -0.001817 0.999992
1646305722.403126 0.001209 0.001560 0.002565 0.003339 -0.000716 -0.001817 0.999993
1646305722.453125 0.001206 0.001894 0.002584 0.003380 -0.000747 -0.001815 0.999992
1646305722.553121 0.001276 0.002625 0.002770 0.003403 -0.000740 -0.001814 0.999992
1646305722.603119 0.001360 0.002846 0.002642 0.003359 -0.000750 -0.001821 0.999992
1646305722.653117 0.001297 0.003010 0.002472 0.003391 -0.000763 -0.001828 0.999992
1646305722.703115 0.001274 0.003075 0.002356 0.003349 -0.000783 -0.001828 0.999992
1646305722.803111 0.001331 0.002928 0.002188 0.003377 -0.000727 -0.001813 0.999992
1646305722.878108 0.001551 0.002760 0.001858 0.003369 -0.000754 -0.001821 0.999992
1646305722.928107 0.001530 0.002536 0.001937 0.003352 -0.000737 -0.001849 0.999992
1646305722.978105 0.001305 0.002444 0.002080 0.003356 -0.000750 -0.001835 0.999992
1646305723.078101 0.001308 0.002740 0.002047 0.003368 -0.000752 -0.001815 0.999992
1646305723.128099 0.001588 0.002853 0.002032 0.003368 -0.000723 -0.001842 0.999992
1646305723.178097 0.001224 0.002677 0.002267 0.003345 -0.000753 -0.001843 0.999992
1646305723.228095 0.001158 0.002747 0.002472 0.003379 -0.000764 -0.001823 0.999992
1646305723.328091 0.001158 0.002994 0.002678 0.003366 -0.000808 -0.001845 0.999992
1646305723.378089 0.000790 0.004127 0.002285 0.003355 -0.000756 -0.001826 0.999992
1646305723.428087 0.000929 0.003927 0.002213 0.003354 -0.000754 -0.001808 0.999992
1646305723.478086 0.001212 0.003576 0.002170 0.003358 -0.000768 -0.001836 0.999992
1646305723.528084 0.001466 0.003054 0.002103 0.003354 -0.000762 -0.001855 0.999992
1646305723.578082 0.001556 0.002647 0.002023 0.003364 -0.000763 -0.001824 0.999992
1646305723.628080 0.001802 0.002626 0.002023 0.003347 -0.000771 -0.001825 0.999992
1646305723.678078 0.002347 0.002082 0.004002 0.002987 -0.000997 -0.001888 0.999993
1646305723.728076 0.002903 -0.000702 -0.001145 0.002940 0.000360 -0.006578 0.999974
1646305723.778074 -0.002081 -0.005738 -0.026311 0.003244 0.009132 -0.011773 0.999884
1646305723.828072 -0.006581 -0.008998 -0.062964 -0.000383 0.033919 -0.016467 0.999289
1646305723.878070 -0.008510 -0.008582 -0.119270 -0.000035 0.048553 -0.018892 0.998642
1646305723.928068 -0.000323 -0.002417 -0.176952 0.006370 0.042003 -0.015336 0.998979
1646305723.978066 0.014179 0.011232 -0.240189 0.020701 0.020760 -0.004678 0.999559
1646305724.053060 0.032404 0.048562 -0.351048 0.065583 -0.005950 0.026458 0.997479
1646305724.103058 0.041727 0.080719 -0.426869 0.101399 -0.011049 0.053071 0.993368
1646305724.153056 0.049392 0.115471 -0.503517 0.131481 -0.004253 0.081168 0.987981
1646305724.253053 0.066768 0.186280 -0.637481 0.170442 0.024879 0.126293 0.976924
1646305724.303051 0.078216 0.223955 -0.689054 0.185785 0.039140 0.139196 0.971893
1646305724.353049 0.092245 0.263904 -0.735523 0.194055 0.048776 0.144129 0.969118
1646305724.453045 0.131885 0.348874 -0.798980 0.187341 0.055420 0.146632 0.969707
1646305724.503043 0.152618 0.394869 -0.816091 0.185210 0.054978 0.150181 0.969598
1646305724.553041 0.171683 0.446501 -0.826071 0.179787 0.049855 0.159656 0.969382
1646305724.603039 0.192784 0.500685 -0.829992 0.164441 0.041323 0.176509 0.969585
1646305724.653037 0.214477 0.560968 -0.829495 0.131747 0.029680 0.202471 0.969932
1646305724.778033 0.260527 0.738579 -0.817898 0.022700 -0.010973 0.283209 0.958727
1646305724.828031 0.274460 0.821673 -0.822196 -0.017396 -0.040019 0.319152 0.946698
1646305724.878029 0.283656 0.904273 -0.836345 -0.052565 -0.068925 0.353699 0.931334
1646305724.928027 0.296818 0.982785 -0.855181 -0.102370 -0.096425 0.380146 0.914173
1646305725.053022 0.355983 1.154120 -0.902968 -0.264793 -0.157512 0.397055 0.864536
1646305725.103020 0.391497 1.213733 -0.916231 -0.334200 -0.168391 0.383280 0.844424
1646305725.153018 0.432371 1.270763 -0.935013 -0.389296 -0.162266 0.362263 0.831194
1646305725.203017 0.480854 1.319633 -0.943061 -0.421304 -0.152538 0.340513 0.826611
1646305725.303013 0.601532 1.396064 -0.947126 -0.434083 -0.127075 0.292738 0.842454
1646305725.353011 0.669984 1.417319 -0.943717 -0.423699 -0.113805 0.262655 0.859384
1646305725.403009 0.739921 1.431112 -0.937126 -0.392798 -0.096945 0.230727 0.884916
1646305725.503005 0.885482 1.430304 -0.920888 -0.308971 -0.063304 0.169043 0.933785
1646305725.603001 1.031140 1.417186 -0.907700 -0.235566 -0.014287 0.106350 0.965916
1646305725.652999 1.102546 1.414295 -0.910102 -0.205600 0.006774 0.083717 0.975025
1646305725.752996 1.242584 1.422858 -0.935022 -0.145927 0.043665 0.058885 0.986576
1646305725.852992 1.382430 1.465281 -0.981742 -0.052912 0.075693 0.069807 0.993276
1646305725.902990 1.449398 1.494496 -1.005675 -0.003062 0.084743 0.084187 0.992835
1646305726.002986 1.574914 1.570743 -1.033886 0.090458 0.102208 0.116944 0.983715
1646305726.102982 1.693698 1.661388 -1.035012 0.161038 0.127939 0.152346 0.966690
1646305726.202979 1.808640 1.756478 -1.023072 0.170614 0.139972 0.177835 0.958996
1646305726.302975 1.921911 1.855212 -1.003192 0.135999 0.115604 0.202337 0.962912
1646305726.352973 1.976792 1.908192 -0.992049 0.108802 0.081890 0.220644 0.965801
1646305726.402971 2.029592 1.962164 -0.980999 0.087130 0.046537 0.240245 0.965673
1646305726.452969 2.081776 2.019406 -0.968331 0.068040 0.024538 0.260000 0.962896
1646305726.502967 2.132735 2.076307 -0.955692 0.044407 0.014473 0.279758 0.958934
1646305726.602963 2.231787 2.195018 -0.935842 -0.003157 0.020701 0.322188 0.946444
1646305726.652961 2.280877 2.255258 -0.929546 -0.021892 0.021798 0.341020 0.939548
1646305726.702960 2.333015 2.313465 -0.926363 -0.040347 0.010832 0.360998 0.931630
1646305726.752958 2.384723 2.373585 -0.931479 -0.051066 -0.005321 0.381980 0.922743
1646305726.802956 2.435291 2.430750 -0.934713 -0.058372 -0.018170 0.397193 0.915696
1646305726.852954 2.483196 2.484247 -0.943332 -0.069910 -0.024236 0.402038 0.912628
1646305726.902952 2.533594 2.533814 -0.950194 -0.085557 -0.030736 0.402000 0.911116
1646305726.952950 2.583605 2.581645 -0.954261 -0.098746 -0.031903 0.396727 0.912052
1646305727.077945 2.722237 2.694595 -0.944585 -0.124329 -0.019386 0.369931 0.920499
1646305727.127944 2.783339 2.737458 -0.940192 -0.128988 -0.014051 0.349970 0.927732
1646305727.177942 2.845558 2.782768 -0.938289 -0.130909 -0.012791 0.327668 0.935592
1646305727.227940 2.911086 2.820391 -0.935444 -0.133109 -0.018616 0.296790 0.945437
1646305727.277938 2.978036 2.852012 -0.933071 -0.128928 -0.026639 0.264220 0.955435
1646305727.327936 3.043863 2.878719 -0.929841 -0.120296 -0.035363 0.229146 0.965283
1646305727.377934 3.105712 2.905685 -0.927033 -0.106749 -0.042515 0.198142 0.973415
1646305727.427932 3.165365 2.931856 -0.920292 -0.094406 -0.046069 0.169661 0.979888
1646305727.477930 3.223135 2.955409 -0.913810 -0.084675 -0.046071 0.146296 0.984533
1646305727.527928 3.280574 2.977749 -0.905116 -0.077096 -0.043328 0.127946 0.987830
1646305727.577926 3.335253 3.000599 -0.896341 -0.064121 -0.037981 0.117558 0.990266
1646305727.627924 3.391029 3.019587 -0.888510 -0.052858 -0.035107 0.113786 0.991477
1646305727.677923 3.445489 3.038772 -0.881472 -0.038887 -0.035487 0.112288 0.992280
1646305727.727921 3.499736 3.055721 -0.877133 -0.024703 -0.037838 0.109645 0.992943
1646305727.777919 3.552892 3.072096 -0.872021 -0.009755 -0.044402 0.106224 0.993302
1646305727.827917 3.606381 3.084840 -0.868628 0.001384 -0.050942 0.105883 0.993072
1646305727.877915 3.656551 3.097733 -0.865386 0.009685 -0.052867 0.107110 0.992793
1646305727.927913 3.708691 3.106126 -0.859706 0.009005 -0.050235 0.107559 0.992888
1646305728.027909 3.818201 3.113477 -0.851447 -0.001498 -0.043026 0.099609 0.994095
1646305728.152896 3.964449 3.113674 -0.849022 0.010290 -0.044279 0.075701 0.996094
1646305728.202894 4.024377 3.113705 -0.852261 0.017617 -0.044554 0.061991 0.996926
1646305728.252892 4.080406 3.109370 -0.857766 0.022748 -0.042091 0.050117 0.997597
1646305728.302890 4.140107 3.109180 -0.863033 0.030325 -0.040130 0.036697 0.998060
1646305728.352888 4.201319 3.109322 -0.866709 0.029685 -0.034850 0.027618 0.998570
1646305728.402886 4.262980 3.112638 -0.867351 0.028127 -0.024742 0.021983 0.999056
1646305728.452884 4.325626 3.119636 -0.863365 0.029580 -0.014142 0.023453 0.999187
1646305728.552880 4.456536 3.141748 -0.848423 0.026299 -0.012120 0.050592 0.998299
