# time(s), pre_rot_eig1, pre_rot_eig2, pre_rot_eig3, pre_trans_eig1, pre_trans_eig2, pre_trans_eig3, post_rot_eig1, post_rot_eig2, post_rot_eig3, post_trans_eig1, post_trans_eig2, post_trans_eig3, level_avg_total_rows[L3], level_avg_total_rows[L2], level_avg_total_rows[L1], level_avg_total_rows[L0]
0.000000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
0.000000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.010000000, 0.000000000, 0.000000000, 0.000000000, 0.000000000
0.255397797, 0.000000730, 0.000008658, 0.000010272, 0.000011698, 0.000016907, 0.000034723, 0.000000730, 0.000008658, 0.000010272, 0.000011698, 0.000016907, 0.000034723, 0.000000000, 0.000000000, 0.000000000, 0.000000000
0.305395842, 0.000000781, 0.000003407, 0.000005471, 0.000009991, 0.000011625, 0.000017073, 0.000000395, 0.000003364, 0.000004367, 0.000009172, 0.000011445, 0.000015674, 256.000000000, 256.000000000, 256.000000000, 256.000000000
0.355393648, 0.000000421, 0.000001933, 0.000002294, 0.000007414, 0.000010588, 0.000015613, 0.000000188, 0.000001121, 0.000001335, 0.000000582, 0.000001429, 0.000008969, 1344.000000000, 1344.000000000, 1344.000000000, 1344.000000000
0.455389977, 0.000000119, 0.000000278, 0.000000712, 0.000002432, 0.000003032, 0.000004834, 0.000000065, 0.000000208, 0.000000302, 0.000000357, 0.000000451, 0.000001259, 3008.000000000, 3008.000000000, 3008.000000000, 3008.000000000
0.505388021, 0.000000264, 0.000000435, 0.000001147, 0.000000896, 0.000001094, 0.000001958, 0.000000137, 0.000000338, 0.000000577, 0.000000400, 0.000000539, 0.000001382, 2048.000000000, 2048.000000000, 2048.000000000, 2048.000000000
0.555386066, 0.000000080, 0.000000083, 0.000000145, 0.000000906, 0.000001143, 0.000001981, 0.000000057, 0.000000073, 0.000000129, 0.000000298, 0.000000529, 0.000001486, 2304.000000000, 2304.000000000, 2304.000000000, 2304.000000000
0.655381918, 0.000000033, 0.000000044, 0.000000075, 0.000000882, 0.000001206, 0.000001430, 0.000000028, 0.000000039, 0.000000060, 0.000000178, 0.000000324, 0.000000601, 4672.000000000, 4672.000000000, 4672.000000000, 4672.000000000
0.755378246, 0.000000012, 0.000000015, 0.000000038, 0.000000596, 0.000000800, 0.000001007, 0.000000011, 0.000000014, 0.000000036, 0.000000252, 0.000000404, 0.000000623, 3008.000000000, 3008.000000000, 3008.000000000, 3008.000000000
0.805376053, 0.000000022, 0.000000027, 0.000000146, 0.000000611, 0.000000811, 0.000000942, 0.000000021, 0.000000025, 0.000000124, 0.000000285, 0.000000399, 0.000000789, 3136.000000000, 3136.000000000, 3136.000000000, 3136.000000000
